source_ordinal	json_pointer	surface_id_exact	source_record_id_exact	record_semantic_sha256	archive_object_uuid	raw_record_uuid	trace_root_legacy_id	tier_presence	tier_exact_value	research_disposition	workflow_reason	import_disposition	parse_error	quarantine_id
4949	/surfaces/4949	SURF-IR1970R035	IR1970R035	47221bc967cfa21db326cdd042a4b9d8556b90b6efa25dff76e03a69dc90bf73	6c51ea7a-1f65-5397-97d6-8ac86895829e	7c2558d8-3764-5a41-b4c4-bce15420c5b1	TRN-OBJ-39A73A2D1A0255	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4950	/surfaces/4950	SURF-IR1970R036	IR1970R036	075a25e80efa45a9bb02528167582a5c5b7cfd21a919bb79686dedb4cb3a2184	d71cb62c-ca08-5b46-a0c0-550f681c8197	df828822-3fd3-568d-969b-983e432e40dc	TRN-OBJ-EF2A8FBAD12BE1	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4951	/surfaces/4951	SURF-IR1970R040	IR1970R040	0fc02b4faace7ae603ab7be49f1024a02720a8c858a2a09c9dd8fb3bb9fd0757	0409008e-26a9-5b48-81fb-c8aa67161d34	67472c86-ef44-5a99-9359-bcb21bb66607	TRN-OBJ-8EABF22B9C7582	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4952	/surfaces/4952	SURF-IR1970R041	IR1970R041	c4480fb392a1eebe9d2a28ab970560f4a8a548f92307aff5cef05acd7c63000b	5ca587f5-83f1-579c-a36c-fd2598cd40cd	07701389-e3a1-5877-96b3-063e94e5da56	TRN-OBJ-D16DAFDD23BB11	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4953	/surfaces/4953	SURF-IR1970R043	IR1970R043	b565bd2dcdb86a432051bd873a7376868fa43353d4359eeb27e1fbfa632b3961	1c029351-0513-522c-be12-4e790876ebf8	7415edcf-feb0-570a-b7ea-105735dcf905	TRN-OBJ-C2DA64D0F64866	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4954	/surfaces/4954	SURF-IR1970R044	IR1970R044	27da469f58136ea299626aaa6e8f3e322009c056993f90c0a1866fe2acd2ae82	6aee3cb4-c349-5260-a2fe-592b646c72e9	56bb4f2f-e824-50fb-b729-871c8446ef75	TRN-OBJ-6F0D1C34ACE35E	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4955	/surfaces/4955	SURF-LOCTRACE2026I1250E76E620D41	LOCTRACE2026I1250E76E620D41	71972712fabafebd113274c9b6eb549fe3890a85c61745af033c72d3e57f7bba	99a6a2ea-259f-57a8-a7ce-161858dd4b0f	b5f1a105-530a-5edd-b2dc-a21aeca31898	TRN-OBJ-1250E76E620D41	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4956	/surfaces/4956	SURF-LOCTRACE2026I185B5173F9D7BD	LOCTRACE2026I185B5173F9D7BD	a6d96542e4083c2255525eb6086503d77055597bbe981920ea0ec38b3b558d95	b1967968-6db6-5e70-b9a8-587af10bfe5d	36dc0319-7a8e-580b-9084-2b5d1ae218f3	TRN-OBJ-185B5173F9D7BD	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4957	/surfaces/4957	SURF-LOCTRACE2026I362442B88C13ED	LOCTRACE2026I362442B88C13ED	3737df940d11b73712159c9bb0ce04a213ab061d96f0d7f2e409b5ba72a12203	a7fc3598-5f0b-59bb-9ff8-9b3a222d9a1b	b7ea35dc-ed03-5b36-850e-54b3720c11f6	TRN-OBJ-362442B88C13ED	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4958	/surfaces/4958	SURF-LOCTRACE2026I5873580A812D66	LOCTRACE2026I5873580A812D66	cc552c661364e2c4a499ada9827b4df5790bcff8ac432fc2e4e65b76a206875a	ce1a0244-7b8f-5ace-a491-6bebc646217c	0cbbc309-9608-5187-af4e-d5d570b637b9	TRN-OBJ-5873580A812D66	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4959	/surfaces/4959	SURF-LOCTRACE2026I6143DD49CD2931	LOCTRACE2026I6143DD49CD2931	ef75d345641fe8e10a179606f3477630ea2105a60529a3d5f8943265e09d4e4c	cb1e752d-a934-553b-be36-f7714d3769fe	f604e262-a263-56b6-a200-4d5dc5c0f6d9	TRN-OBJ-6143DD49CD2931	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4960	/surfaces/4960	SURF-LOCTRACE2026I6623FA782B6E3A	LOCTRACE2026I6623FA782B6E3A	f6935fc959ad1db981d93c71e66d869bb1e9786d5cc68771891ceeb5f6da0ec8	7ee4c473-2934-5348-8716-ba67d4a59df9	c98e28a0-6c7f-58f4-ba38-030268c24012	TRN-OBJ-6623FA782B6E3A	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4961	/surfaces/4961	SURF-LOCTRACE2026IA0854B2428DFFE	LOCTRACE2026IA0854B2428DFFE	88689ecb971ff028d4a24fa9952942f005671da96aeb995fcd01ac076aa6f189	6fb30ecc-63db-5470-bc06-d0c30f2b043d	1fef9eac-df2f-5690-a6d7-d61ec8d18ed9	TRN-OBJ-A0854B2428DFFE	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4962	/surfaces/4962	SURF-LOCTRACE2026R00041	LOCTRACE2026R00041	4be154f0981a7fed5ec8babafe245d3a8bc8f2dfd9a3aa7d83bc1e63542994bc	d3936dab-72c3-5a74-82ab-f0a085b680eb	f2e428dc-3548-5f1d-be5d-be7825304392	TRN-OBJ-FAE39B3DE7EFFB	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4963	/surfaces/4963	SURF-LOCTRACE2026R00042	LOCTRACE2026R00042	d96c1bb7a976e7ca5ac821d98d1b45c413e273eddbd6a1426844ab09a74024eb	176cb7c2-ebad-5cc7-9640-9fa13bd994ca	976f737b-60b6-5cd0-9109-1fdd5446dcd5	TRN-OBJ-9B6E2E652A96EC	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4964	/surfaces/4964	SURF-MC1930R060	MC1930R060	6d3ed3967b96f9be2a5b1bc831df676d33834882be8f878cfaec5f5d0553ba61	2da18234-9b95-55eb-86a0-1c25c1e0296b	074acc3a-b393-5b85-ab60-a6591c3c69d6	TRN-OBJ-B69E8B4AD8CCA5	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4965	/surfaces/4965	SURF-MDAFATRACE2026R0012	MDAFATRACE2026R0012	e04047d673599e1a9d7a3671c5fa2818e9e92f48a732983ecb7ba8782646afb3	16887feb-9bcd-59c6-8722-47a8802ef2af	8edef4d3-e835-5db6-974f-5b8efbbf56aa	TRN-OBJ-0DE8FB21B0C177	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4966	/surfaces/4966	SURF-NBPOSTERTRACE2026V1R0016	NBPOSTERTRACE2026V1R0016	82e0ae191b0691f10eb65225b0f059d42b464013c95221d6560134de4e7357dc	1524dad3-ff85-5052-bbb5-d21bc0363bf9	dae2bdb4-2643-57d4-9a17-c7750f22d778	TRN-OBJ-618E7F46D664A5	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4967	/surfaces/4967	SURF-NBPOSTERTRACE2026V1R0026	NBPOSTERTRACE2026V1R0026	b3ee9a5f0b092fc76bafe8c93887d63693162c2a888e296b8e653e74fe7adb05	33be60c8-cf43-5ea8-8205-09c6a4cfc28f	b7982778-cc6f-57d2-9aab-8c5f905f8e7a	TRN-OBJ-E44EEAD03552E6	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4968	/surfaces/4968	SURF-NBPOSTERTRACE2026V1R0072	NBPOSTERTRACE2026V1R0072	df3e06169ed52b5d05f6c4b9a71f1ec5be1a729905ed2c57b4671eb74c49f94c	7dd4bf1d-a703-5da9-a8e1-138336c141d0	cf8ab489-8e04-5c80-9730-373e53586ea1	TRN-OBJ-1AB21EDD6C9A75	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4969	/surfaces/4969	SURF-NBPOSTERTRACE2026V1R0107	NBPOSTERTRACE2026V1R0107	207127661a379531af8d17b839abef05bbfa8d05ffbcb584d97d8cbe64c4b448	b8c30227-feb9-5a1d-b302-528bd623087f	c97b5347-21c1-545a-8726-03d10d19d2e9	TRN-OBJ-0A630D81C132AF	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4970	/surfaces/4970	SURF-NBPOSTERTRACE2026V1R0202	NBPOSTERTRACE2026V1R0202	809057ec944832f59042e524923032d5869c35c7c2f0eecfa2998884bba44987	a16b4af8-ed15-53ca-bc8f-09c9bcc492f8	4a9a99b5-3b5b-53d3-a912-2a1232f038a3	TRN-OBJ-D8C217747771BB	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4971	/surfaces/4971	SURF-NBPOSTERTRACE2026V1R0205	NBPOSTERTRACE2026V1R0205	e4c7f12a12538591459360f43805a227dea3273d356e67f7b6063a20f693a2d4	13f08eb3-e9d3-5bf3-b59a-64a3724d8100	51f19078-d506-54c5-80ad-fa1d130879ba	TRN-OBJ-4D882EF3AC6F5E	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4972	/surfaces/4972	SURF-NBPOSTERTRACE2026V1R0241	NBPOSTERTRACE2026V1R0241	349dea42bd142a25a1143f6be93d54cd23cd0f22333d7951afbee8a62c23bc64	5f2c5f20-3607-5f69-92f5-5a3b2fdbddf8	2204f817-aaf2-50b6-8e11-2ddc4b9e4903	TRN-OBJ-073E8EF102DE3E	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4973	/surfaces/4973	SURF-NBPOSTERTRACE2026V2R0093	NBPOSTERTRACE2026V2R0093	9a3258aa7cbd0bb73ae4de2d63611c720f4687702b8b97e5538b5e30d0ea44ca	144e5c1b-41f4-5645-b6b1-54b897fcb835	304ea958-0e11-51e9-891b-729838f8675b	TRN-OBJ-8B35053AFF520F	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4974	/surfaces/4974	SURF-NBPOSTERTRACE2026V2R0187	NBPOSTERTRACE2026V2R0187	761bfe6ddfda02ed39d90483f77f149b75906de6d8ad9f47372fdab111927eb7	06250d03-d6ea-549e-b97a-4d928beefacf	544dd48d-3cf0-51ae-be11-35bf4a497505	TRN-OBJ-242970ABFFF0A7	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4975	/surfaces/4975	SURF-NMKTRACE2026R00358	NMKTRACE2026R00358	1a15212f9cedf2d9a151783071c362fd663f87b0121d7f07d8c2b5c32631ef22	36a59369-ff2b-577f-9cfd-2cc307dc426b	404d221f-48f1-5ba8-92ef-01d264e91fa9	TRN-OBJ-E4DC248C6312C4	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4976	/surfaces/4976	SURF-PUL1970R041	PUL1970R041	8373b32f64aab12afa946d36eb8197576bad05b22cdc574f0ed67fa507da1baa	2935c2e1-6b65-5dd2-8b9e-89befe319e00	6fe284ba-d5f2-51ff-b796-c8fb7d7e22bd	TRN-OBJ-4C406CF436498D	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4977	/surfaces/4977	SURF-VAM20K-03070	VAM20K-03070	2fc884375aa68da1642819f419d11d329824e8dfb66c2e4af4b5782196408f65	0632b138-554b-581a-83cb-d41cd55b5a36	bd8c31c4-f976-5f5b-b17a-993be3c48d24	TRN-OBJ-2156620CCAB172	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4978	/surfaces/4978	SURF-VAM20K-03071	VAM20K-03071	ad5e8ba34afa376ea5074896ee1709ecc0a8c877efddbfc0aaa0de901dcf4d73	7530b193-1a3d-5775-ad01-91c99034d049	36674e66-e791-59fe-904c-fd3fc5a23148	TRN-OBJ-D160A956D84307	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4979	/surfaces/4979	SURF-VAM20K-03073	VAM20K-03073	419f2437114d12817cb83e5e494b586f3659bf64c71ebeee014bc4ddd459a2fa	09b200f0-b8f3-5cb9-a476-1e3bec84ff97	58404716-c8e1-5b85-b87e-0e4657110034	TRN-OBJ-365378926DACDC	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4980	/surfaces/4980	SURF-VAM20K-03074	VAM20K-03074	393005ca3f9d7e979daa45d849021081e4b09080af43e02b8d3068ba0acc70c1	caa8fddd-bffd-57f5-b980-51c2005848ed	a141d695-d4a4-5d4d-a481-ef799653fa89	TRN-OBJ-18739A0F5BF0DC	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4981	/surfaces/4981	SURF-VAM20K-03075	VAM20K-03075	26309bc4fda8b876c7c179d54237bc5ebf8dfbbd8b6f71cd3f50cf712d2dc1d8	ff560c52-78d5-58d9-8d21-edb7268ed4e8	8907a12e-0f62-557d-84b9-fb92858a3bef	TRN-OBJ-0C8FE3B1F225EB	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4982	/surfaces/4982	SURF-VAM20K-03077	VAM20K-03077	7903582ae963d286ef8af8e6c93f1d053773d279aaad9a497be199eb223ea85c	1238fea6-bab9-52dc-b4ec-28bd618d3657	a2855ea1-0eda-54c8-bd87-0fad06f0f905	TRN-OBJ-AB47180FBE8F00	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4983	/surfaces/4983	SURF-VAM20K-03078	VAM20K-03078	7e59b8ca86cd7f438fb635c4a4bf1476c5db3a57c49f172f9f3c7bfc142dd5a7	d11905e8-23f7-57d4-8422-568a614a4618	334bf946-7d87-5e85-8cd2-a8adbd2edbe1	TRN-OBJ-3D53CBD1B477B3	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4984	/surfaces/4984	SURF-VAM20K-03079	VAM20K-03079	3fd74f37519e3ddf67176b19b4bf71c643f6af7e4535e96fc7ec3fd80e25e0c8	fb2b3976-dc3a-5c03-b19d-8506aa951a60	baf7a71c-89ef-5bcc-b9b5-d2d25e193e21	TRN-OBJ-1D2002947691DF	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4985	/surfaces/4985	SURF-VAM20K-03080	VAM20K-03080	4214f8fc3bf59d061316e7e6e2ed284495bde04dbedb33771c3e4dcbb7224c09	ea9c0960-017d-502a-97da-ab0229ed6482	bd02b3d8-e2ca-5475-ad6f-857edb3ac3f2	TRN-OBJ-2E3B23C339F2CB	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4986	/surfaces/4986	SURF-VAM20K-03081	VAM20K-03081	88694d44ae27b9bdb50c378fe4da9980ccca65bfc1e5173fbb851fc9bfe3c56d	99270ce1-9728-5344-8351-f3be8c753c83	d50454b0-2378-5df0-a8b2-0bf72802766e	TRN-OBJ-62113F7A2B6D24	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4987	/surfaces/4987	SURF-YRGAP-REGION-0002	YRGAP-REGION-0002	f616edbf6614d89b2e53e348549751440f9ee902146e3c4d350052b141253e3c	0dbb07f4-1a94-5fd6-80c4-bd6b4f23b55d	dcd06c4e-904f-52e3-aec8-081cf86bb34f	TRN-OBJ-93D84EA9CA419E	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4988	/surfaces/4988	SURF-YRGAP-REGION-0004	YRGAP-REGION-0004	98cd61349f4609bca86d040f017da86a2413f512ee1d6fc9ce1646764acfb9be	7f586bf9-cd80-5fc7-9ad2-73ea1e6a5fdf	2c8ad943-8f82-5451-b8e3-90f76974ec9a	TRN-OBJ-429AD8DD0A5714	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4989	/surfaces/4989	SURF-YRGAP-REGION-0008	YRGAP-REGION-0008	6441433f6baf083f69dfa5b3d39959837889b6e07c203ff8c19b100ced696c8a	8633ab93-709d-5f96-b1a4-d11088c7dcf7	8175d398-dfd6-56c8-8219-5254e53ef85e	TRN-OBJ-0E47FF82F14605	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4990	/surfaces/4990	SURF-YRGAP-REGION-0010	YRGAP-REGION-0010	c295be1b87afd4187ad831714e70eebcb76bacc4675badc1edc73d85a085ada4	fd647c91-3489-591d-a175-b8e4c4914953	4a1d4832-e353-500f-b792-08ca9906212d	TRN-OBJ-C257FE2C20AA26	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4991	/surfaces/4991	SURF-YRGAP-REGION-0012	YRGAP-REGION-0012	c0f2c198592e621938a2c2951c75e62a34598e77b40b2d7bf3b2805decb83bd5	36dee810-8590-5aac-84a9-a80b696aba2e	014ba1ff-ebb4-52e9-b958-9bba1c652471	TRN-OBJ-06A99234228B67	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4992	/surfaces/4992	SURF-YRGAP-REGION-0082	YRGAP-REGION-0082	13b44e24188140c0b317336dadd69d164afc9bdbc82563c3ed7fc7d8bd8bad41	04f086f9-38e1-5663-abb6-aa68f013e1e9	f40815d0-4ceb-598f-905c-36b903897498	TRN-OBJ-2F5B6BC7FD24AD	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4993	/surfaces/4993	SURF-CAW2026R00339	CAW2026R00339	673a36ed37afbb84edbc62ec7864c969849ba66f1bd21011e910b1b79b41c80a	e87fbc9f-1fa7-5a3a-953a-adee6ac4dce3	fc04fcbb-27a4-5547-97aa-bd94757627a1	TRN-OBJ-A7D9556A9CEEAC	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
4994	/surfaces/4994	SURF-CAW2026R02322	CAW2026R02322	fc991b137851c17714be70716341845368415ae36518c292c99d763d7704557f	11da932d-962d-5ed4-b44a-25ba197fbb5f	6c992560-dd1b-54ef-9384-4cb3e8a7dc2b	TRN-OBJ-375A0F56A2DD94	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
4995	/surfaces/4995	SURF-CAW2026R02323	CAW2026R02323	b5e4096d60d55f68c6ad3164c43a7d6fdc489774ffb723f5e5ee5c0a5d9d7867	f068ed56-d451-52ab-8ddf-c8b417bfabd5	5de7cc87-6e39-5629-9bf8-152e1cdb5d13	TRN-OBJ-0EC26E47D25872	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
4996	/surfaces/4996	SURF-CAW2026R02326	CAW2026R02326	cc42f52601b06fedd2136111bb6d494b5ad32dee5c49c47b1dd5a69ec554cfe6	2cf061cd-47c6-5146-97ec-595a377c6c55	9822d9df-0d4f-5e28-bb9e-5252764e4500	TRN-OBJ-153C0BDC7DA229	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
4997	/surfaces/4997	SURF-CAW2026R02328	CAW2026R02328	b3b7e01669234cdd141135c41afc4f670aa12b771c95ce620eeb1fd40b4ff4b8	644ac8b6-4331-52f2-8e76-fbf9054bc75a	e54d14d7-c9e7-55b6-9a38-1b4094c952a3	TRN-OBJ-630DC273BF0E95	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
4998	/surfaces/4998	SURF-CAW2026R02329	CAW2026R02329	a3f096915f87bfbdcb0ddb3a4f9ea62c10243203568f2773176e6604b48e872a	d7f5a35f-d1d6-5153-853a-d64e89198f0d	be3d0c91-d801-5fe8-9cde-35c20780924e	TRN-OBJ-ACD4AAE9B28502	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
4999	/surfaces/4999	SURF-CAW2026R02335	CAW2026R02335	9094d1caace202e76d81ef0f73e9673e79f50860f2647ee762416eea8c367b45	898fbfaf-2a8f-5e13-891a-72bab6fd2977	537e5cd5-5950-5ceb-808d-01a628a46af0	TRN-OBJ-9B70F4B56A383A	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5000	/surfaces/5000	SURF-CAW2026R02336	CAW2026R02336	54f05d97f6460a69457b4f89edad461c91a27d42cabf238feea8e639754aa889	dd104b05-83e3-56b0-b670-2095024ea5ad	4a7861aa-5e3b-50aa-9e08-d1d837b271ff	TRN-OBJ-A4C91276F16CE6	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
5001	/surfaces/5001	SURF-CCE2026R00039	CCE2026R00039	f94103602f117a01ce53db6360e3d12d6a1c85413f439c8f4ffd1bc8825697fc	c0747e1f-815b-5c27-a56e-d3b93b4d684a	b0edae09-819f-5b25-b3af-63c722128835	TRN-OBJ-2138EC26A99831	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5002	/surfaces/5002	SURF-CCE2026R00040	CCE2026R00040	076701b5082b82308ef5e594679ff0389bb131c8b9d734be38caa276ecd0ca6f	62a33655-9c69-5b4b-aea0-27c4c8c4d2ca	300c1b62-29c8-5ac8-8ae3-7d9b0a152795	TRN-OBJ-FAC6294F3E6365	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5003	/surfaces/5003	SURF-CCE2026R00569	CCE2026R00569	c2045027b9e6879b999968d4ed69760addee957e2899b6b890e6966d221ad97f	bbcf8d07-6415-5b8f-9cef-d60654965aaf	dd8b338d-b584-5afb-81b4-d0b520740bc6	TRN-OBJ-9A9D79DB6E026F	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
5004	/surfaces/5004	SURF-CCE2026R00570	CCE2026R00570	2d833db21710fddd53719f4fb4337591799f054199a57cea7d049698f28d5528	e65edbe1-adf2-533f-853a-1b136e9469ea	ca63fd7a-7bb2-5115-b5ac-79534d7ce6e0	TRN-OBJ-9916D4C6315C19	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5005	/surfaces/5005	SURF-CCE2026R00571	CCE2026R00571	708260091035007b6909306eb72826d3255ba94905ef2f71bae73b76255d3c4b	157c9554-e832-5318-9998-779fe6dc4c23	67b7f8da-62f6-5e69-9ace-4719ead3f5ef	TRN-OBJ-BF637EE0026816	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5006	/surfaces/5006	SURF-CCE2026R00572	CCE2026R00572	fbf19240b2cede69e5e41c59a029f56e124745ba2c4f31fadc6c1dfabdffaf0f	ee6a9595-6a35-5d10-965b-a071825a12e0	fc1cb9ab-5a58-5242-a1f6-ccd5b33a3225	TRN-OBJ-EB8B197BF097D1	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5007	/surfaces/5007	SURF-CCE2026R00573	CCE2026R00573	01665815365bbf963e0d87dbdaf7a273d5e01719ba2c091fdc7ba28bb62d8aa9	8fd88c2e-d6e1-580f-a540-b0d998be0c11	cad8813b-2548-5c76-8a01-19e40e78052d	TRN-OBJ-EF491BBF238FE6	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5008	/surfaces/5008	SURF-CCE2026R00574	CCE2026R00574	245445839b38dc49cad9cea036592bd178d94fc56462d5d72f0ae12d9785ecf0	d7a34739-b72c-51ab-a596-021c56d5a094	201245f2-d644-5728-bc27-5f9ecd166ef3	TRN-OBJ-FE72339213CE5D	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5009	/surfaces/5009	SURF-CCE2026R00575	CCE2026R00575	d27a1dcff9f07429a934b43780617f31c8626face4bfcc91c495a368e2005654	cfbf9c61-14f3-5a05-a579-d2b3fc190541	f2b8ec02-09af-528f-b332-69c705a0633e	TRN-OBJ-4154F64EA8FFB5	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5010	/surfaces/5010	SURF-CCE2026R00576	CCE2026R00576	4f1774e0dad8fe6a780ad08973562c0657f3ad9943ea4cc2c3260e784906e2d3	f3ec310d-7cd6-5b2a-8677-55f5c82b3149	06b57a80-f9f7-5928-af29-4fa58f9702a2	TRN-OBJ-2DD4430DFF94CE	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5011	/surfaces/5011	SURF-CCE2026R00577	CCE2026R00577	86199d9027cb5a83accf1e23be4924ee88b709c50036469199cf88684729a341	0c6d1c91-0657-50b9-a673-cb5f4ccc5bc2	c2edef9a-c843-50ea-a809-3c0857c68b18	TRN-OBJ-75E6C89023DAB8	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5012	/surfaces/5012	SURF-CCE2026R00578	CCE2026R00578	c5f4f605b009ad51fc822c9f81b68078075870a3edfa691a8359694fe871aaf9	c7f2a96b-80d7-5da1-9855-7433c1f6b253	b704e8e7-5342-5b90-9b97-df3287bb7539	TRN-OBJ-E4F8E35EFD75BC	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5013	/surfaces/5013	SURF-CCT2026R00219	CCT2026R00219	284f7415c12ab7e694757e854c0ee314bb94c649269da5f437c9e0760017062d	24bf5b2c-a2c7-5cf7-ab7e-9e86a971707a	7ed61106-d139-5abd-bb38-eb430fcafb2a	TRN-OBJ-BC404FD0E0A6E8	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5014	/surfaces/5014	SURF-CCT2026R00220	CCT2026R00220	8ca554b62f1e88dab04302a708b85c407b3ff48a10a740ca1383bdbd1c319bf3	5c861460-5c45-578b-9bac-a9962ee05565	54406e50-340f-54a6-b371-5154ceedd16f	TRN-OBJ-486CA30E9D4057	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5015	/surfaces/5015	SURF-CCT2026R02140	CCT2026R02140	3a69fa14e9a91f4891dcac006e51a51e2dc6e5cbe3e6e191e9274112b75c82f1	a1444818-382c-52ff-a3fe-fa08952c1757	11b5ba70-a98b-5cd3-82ca-a62a903ec90d	TRN-OBJ-FC18BB473B3086	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
5016	/surfaces/5016	SURF-CCT2026R02141	CCT2026R02141	7faef3f86712067433861e1b6cc59c9765985047b6132cf01e8cff1b69379e71	0163f207-3e91-52c0-9ea8-9acbf15e9513	65e81b2d-16a1-5f47-8a2a-916efaa6981d	TRN-OBJ-265B4DD8329906	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
