rule_id	source	field_role	phrase_or_hash	support	denominator	decision	reason	removal_scope	version	rule_type	token_count
NLP-BP-B438757E26D345EB10D5	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:b11d67bca7b48fbd83c1d19e0ad6d2dc6cbf181c260712f25d9e44677adce0bd	50	67	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-B47E272BB27718A14606	V&A Collections API	SOURCE_IDENTITY	sha256:d74e3191cfe8eed30917406cf8a2e59515b6e2dad836ddffc39a3618fda4aa3c	3505	3505	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	4
NLP-BP-B65725C23759AA476700	Pacific Community Digital Library	OBJECT_SUBJECT_TERMS	sha256:dd8e0f8a8f29fe9b1bf1f3c6fd5c6f2442b0b2beccb5f3308cc2e1c869a7e866	10	165	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-B7313B0C7AAF71C6D34C	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_IDENTITY	sha256:172d598390f2f52a30eb3c16909274b8d52765582f8994d8d56f687e55c445b0	96	96	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	4
NLP-BP-B9EE99D83CF50291DDD1	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:05ab5efd942278d4822485a7ae15cb1d985e8adfefcfcfc50cf6e90976128c76	114	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-BA9229C8B677106CD5C7	Digital Commonwealth / Boston Public Library	SOURCE_IDENTITY	sha256:d320766fd6eff8ec52354ee47097f57b38cd35ef59e1d351cfc066322a2fb71c	2	2	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	5
NLP-BP-BAF75B6F946B8818027D	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:dcaeb9d754f3af03211fae51ac3cbc7720d08480ea6f19ec36d0fbf4b19b293f	107	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-BBBEDF811A1E537B687C	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:e7966022d9c2db71affe48be7bf0bae288b63171601db941e363c8d7807dd9d6	16	76	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-C28F3B366A4A4B7E7066	Malaysia Design Archive	OBJECT_SUBJECT_TERMS	sha256:4e085fe909686f43eb17cb9b5ca6b6065fa3ad89a2809b904b36829db35285c1	23	48	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-C3A89D585BD005BEB651	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:c63480cfa47b25b36f401c828c4b6eef8ada588c63558be4975003b1f24d83d4	31	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-CC0E37BC9388DD96017B	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:3596b9b3a7f62bdf60a2077bfc99321f46bf577affa76463e5035ef5e039bc15	5	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-CC16AAF4122D7AEDB839	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:16562b0495f6d173abea882f8c88065547b310f975b97dc05bc9b632a5713b5d	103	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-CEEE86A89F419F709ED4	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:6db66cb12964c890f2e3319c0ff3592c71705716f809c09ad621f88d9f6a30f3	6	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-D2860B09B692774C7F96	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:5bc10a776d880b8e1df3231717a1961c666050865635c9e751ee31a8e6393e58	30	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-D3F199BBCD329A3AC865	Library of Congress Prints and Photographs API	SOURCE_NARRATIVE	sha256:062688a4a8fe547d1b3c5dbb0ef277959bd3244ee030aafea7a0fe65233bc588	1257	2300	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-D56D8DD6BC0101BB2175	National Library of Norway Catalogue API	SOURCE_IDENTITY	sha256:a375698b35c51f84a264e592bb453907023b72df0e146480e1068e5705b34715	522	522	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	6
NLP-BP-D60902CE07249633AD1C	Pacific Community Digital Library	OBJECT_SUBJECT_TERMS	sha256:36e5f4f538855552f13705f430b12de782b8b9aefbb79ae5a3bad620227b0df1	109	165	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-D809900738E7EC288F2A	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:6d2b1dc4060ad823cffb7d313957466245a71971a1c54e3292cd6b744553ffcd	95	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-DAA1EA9937051931B444	Nasjonalmuseet Design collection / DigitaltMuseum	OBJECT_SUBJECT_TERMS	sha256:d78a0d9e4282946908ba8c0d6f80438908c3a1f39841b11eea0e2e2d875a4297	5	96	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-DBAA8FB8173AD0EF1C7F	Library of Congress Prints and Photographs API	SOURCE_NARRATIVE	sha256:8ad5bb40d52cc38987916bbf09573295124319e5a2deb4bb810960b56c1f1482	371	2300	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-DD78CE61354B73442EEE	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:42815938dd100257d53b6fb0dc17010b2e95f7ed5999482eea861e28c4b93e5b	19	76	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-DEB325F6E4B185879434	Victoria and Albert Museum Collections API	SOURCE_NARRATIVE	sha256:7b33ea543936ecdb3df088dc64d759ec5f30ed1b3c701489ce18a9f6280b1d89	79	82	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-DF40B19B72DB1B20D6E0	Library of Congress loc.gov API	SOURCE_NARRATIVE	sha256:c3210d8a34dbbaba519788fbc4942fd4a9ede72fde98b2f7fe8edcab323c11fe	19	41	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-E30E52D574C574D02050	Library of Congress loc.gov API	OBJECT_SUBJECT_TERMS	sha256:65a98e746dec120de15999935c0f1b2bfee976f850151161639b93bb0a0d4395	4	39	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-E543351B0B3F9895A63C	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:dbc6c93332898e7ab4f282363b8a35323a539ab805ada3d642cf40d3c9587b80	16	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-E6C3EC22882E24F80614	Nasjonalmuseet Design collection / DigitaltMuseum	OBJECT_SUBJECT_TERMS	sha256:9f48c685b0821c2f83da44600ce77a000f0b4ed0b6a827f4849d9cd1c4cb3a26	7	96	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-E7B3DD2A5C21B3BF6C80	V&A Collections API	OBJECT_SUBJECT_TERMS	sha256:6f451f1a6f440b71ba7fe25666a8c4be0f74ee67d25c0c78baeebc4f82b20872	3458	3503	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-EB06B59FBC6110090819	Library of Congress loc.gov API	SOURCE_NARRATIVE	sha256:2f3571b989d925d9e94c9bde71d7befd8605bd2dd8ed01548ce32b9693b2ebc0	19	41	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-ED8F77D26958CCC9B8A6	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:466c00a51dbd9f2196f2b85b0223cbb3719d38b46bdcb970bf37c69820203ef8	102	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-F026E46AFBD52A45AF11	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:936638f690ceb62982557809037f919631f656c90c5f635e830834e7e0d7b6db	108	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-F165DF81C066BCA020A3	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:21711626cdd331a7390bc04003e75c18d686be6de176f574b922d3d3d329568f	17	67	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-FD0B0AFD58F4359D9512	National Library of Norway Catalogue API	OBJECT_SUBJECT_TERMS	sha256:f6a2c5fa932c274855180e64d6e8c4b52de9bbcb05e99b8aaead93468be23bbe	522	522	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
