validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes,calibration_priority,calibration_group,calibration_question
MSTV0164,SURF-DNZ1970R031-GROUP,DNZ1970R031-GROUP,strong_soft_anchor,1905,1900_1913,Aotearoa New Zealand,Midcentury modern graphic communication,; ; Unknown,IMG03,DigitalNZ,DigitalNZ,"Untitled Illustration grouped records, 1903-1905",work_or_packet_anchor_candidate,keep_main,,packet_anchor,none,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0165,SURF-GAX1970R094-GROUP,GAX1970R094-GROUP,strong_soft_anchor,1912,1900_1913,France,Midcentury modern graphic communication,1 photogr. nég. sur verre ; 13 x 18 cm (sup.); image/jpeg; Nombre total de vues : 1,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Paris, église de la rue Réaumur [de nombreuses affiches publicitaires sur les murs du bâtiment] : [photographie de presse] / [Agence Rol] grouped records, 1912",work_or_packet_anchor_candidate,keep_main,,packet_anchor,none,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0167,SURF-GA1970R027,GA1970R027,strong_soft_anchor,1914,1914_1945,France,Midcentury modern graphic communication,Nombre total de vues : 121,IMG02,Gallica / BnF APIs,Gallica / BnF APIs,L'Étoile du Nord (Roubaix),work_or_packet_anchor_candidate,keep_main,,packet_anchor,low,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0170,SURF-MX1970R042,MX1970R042,strong_soft_anchor,1939,1914_1945,France,Modern typography and layout,digitized text / periodical,IMG02,Internet Archive / text and periodical collections,Internet Archive,How To Draw Comics And Commercial Art,periodical_or_issue,keep_main,,packet_anchor,low,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0221,SURF-MC1930R020,MC1930R020,support_or_card_review,1936,1914_1945,United States,New Deal and civic poster programs,"1 print on board (poster) : silkscreen, color.",IMG01,Library of Congress loc.gov API,Library of Congress,"Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums.",false_positive_candidate,exclude_or_deprioritize,,manual_relation_review,none,natural_history_geology_false_positive,pass,high,natural_history_or_geology_false_positive_is_not_graphic_design_main,natural_history_geology; large_cluster; no_subsheet_relation,Natural-history/geology drift should not carry main-sheet authority in a graphic design archive.,pending,,30,natural_history_geology_false_positive,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0200,SURF-DNZPOSTR024,DNZPOSTR024,strong_soft_anchor,1981,1970_1989,Aotearoa New Zealand,Travel and transport poster culture,; Object; Unknown,IMG02,DigitalNZ,DigitalNZ,Ansett Australia advertising and baggage labels and various prestamped and philatelic envelopes,commemorative_source_witness,card_context,Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|1980s,commemorative_context_for_packet,none,stamp_or_commemorative_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,stamp_or_philatelic; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,50,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0212,SURF-CAW2026R00622,CAW2026R00622,support_or_card_review,1890,1850_1899,Latin America,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / El Salvador 1893 50c Seebeck essay red orange.jpg / page 79674130,Wikimedia Commons,El Salvador 1893 50c Seebeck essay red orange.jpg,commemorative_source_witness,card_context,Latin America|Modern typography and layout|Wikimedia Commons file source / El Salvador 1893 50c Seebeck essay red orange.jpg / page 79674130|1890s,commemorative_context_for_packet,low,stamp_or_commemorative_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0213,SURF-CAW2026R00501,CAW2026R00501,support_or_card_review,1887,1850_1899,Mexico,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Mexico 1887 10c Sc206 used.jpg / page 79052672,Wikimedia Commons,Mexico 1887 10c Sc206 used.jpg,commemorative_source_witness,card_context,Mexico|Modern typography and layout|Wikimedia Commons file source / Mexico 1887 10c Sc206 used.jpg / page 79052672|1880s,commemorative_context_for_packet,low,stamp_or_commemorative_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0214,SURF-CAW2026R00697,CAW2026R00697,support_or_card_review,1895,1850_1899,South Africa,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Stamp of Transvaal - 1895 - Colnect 414634 - Wagon with One Shaft.jpeg / page 115843982,Wikimedia Commons,Stamp of Transvaal - 1895 - Colnect 414634 - Wagon with One Shaft.jpeg,commemorative_source_witness,card_context,South Africa|Modern typography and layout|Wikimedia Commons file source / Stamp of Transvaal - 1895 - Colnect 414634 - Wagon with One Shaft.jpeg / page 115843982|1890s,commemorative_context_for_packet,low,stamp_or_commemorative_manual; weak_commons_only_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; stamp_or_philatelic; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0230,SURF-IR1970R016,IR1970R016,support_or_card_review,1940,1914_1945,Unresolved region,Midcentury modern graphic communication,Posters; Lithographs,IMG02,Wellcome Collection Catalogue API,Wellcome Collection,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",commemorative_source_witness,card_context,Unresolved region|Midcentury modern graphic communication|Wellcome Collection Catalogue API|1940s,commemorative_context_for_packet,medium,stamp_or_commemorative_manual; unresolved_region_or_theme_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,unresolved_region_or_theme; stamp_or_philatelic; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0231,SURF-CRG2026R1100,CRG2026R1100,support_or_card_review,1943,1914_1945,Global / transnational,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Stamp of Aegean Islands - 1943 - Colnect 413978 - Pro assistenza Egeo.jpeg / page 115644847,Wikimedia Commons,Stamp of Aegean Islands - 1943 - Colnect 413978 - Pro assistenza Egeo.jpeg,commemorative_source_witness,card_context,Global / transnational|Modern typography and layout|Wikimedia Commons file source / Stamp of Aegean Islands - 1943 - Colnect 413978 - Pro assistenza Egeo.jpeg / page 115644847|1940s,commemorative_context_for_packet,medium,stamp_or_commemorative_manual; transnational_geography_manual; weak_commons_only_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; transnational_region; stamp_or_philatelic; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0232,SURF-CRG2026R0670,CRG2026R0670,support_or_card_review,1933,1914_1945,Italy,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / ITA 1933 MiNr0450 pm B002.jpg / page 63425166,Wikimedia Commons,ITA 1933 MiNr0450 pm B002.jpg,commemorative_source_witness,card_context,Italy|Modern typography and layout|Wikimedia Commons file source / ITA 1933 MiNr0450 pm B002.jpg / page 63425166|1930s,commemorative_context_for_packet,low,stamp_or_commemorative_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0254,SURF-CGS2026R0215,CGS2026R0215,support_or_card_review,1963,1946_1969,Argentina,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Stamp of Indonesia - 1963 - Colnect 302602 - Indonesia stamps overprinted `Irian Barat`.jpeg / page 114673975,Wikimedia Commons,Stamp of Indonesia - 1963 - Colnect 302602 - Indonesia stamps overprinted `Irian Barat`.jpeg,commemorative_source_witness,card_context,Argentina|Modern typography and layout|Wikimedia Commons file source / Stamp of Indonesia - 1963 - Colnect 302602 - Indonesia stamps overprinted `Irian Barat`.jpeg / page 114673975|1960s,commemorative_context_for_packet,low,stamp_or_commemorative_manual,revise,medium,stamp_or_commemorative_record_is_manual_card_candidate,commons_file_source; stamp_or_philatelic; no_subsheet_relation,Commemorative/philatelic material may be useful context but should not become main without design-specific justification.,pending,,35,stamp_or_commemorative_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0219,SURF-CAW2026R01139,CAW2026R01139,support_or_card_review,1912,1900_1913,Uruguay,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / A Portrait-of Sun Duoci by Xu Beihong.jpg / page 39356414,Wikimedia Commons,A Portrait-of Sun Duoci by Xu Beihong.jpg,image_file_source_witness,card_context,Uruguay|Modern typography and layout|Wikimedia Commons file source / A Portrait-of Sun Duoci by Xu Beihong.jpg / page 39356414|1910s,context_or_source_witness_for_packet,low,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,commons_file_source; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0224,SURF-SI1970R011,SI1970R011,support_or_card_review,1925,1914_1945,United States,Midcentury modern graphic communication,ink on paper; H x W: 9 × 6 in. (22.9 × 15.2 cm),IMG03,Smithsonian Open Access,Smithsonian Open Access,Advertisement card for gospel singer Rev. Isaac C. Reddie,work_record_candidate,card_context,United States|Midcentury modern graphic communication|Smithsonian Open Access|1920s,context_or_source_witness_for_packet,low,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0242,SURF-IR1970R034,IR1970R034,support_or_card_review,1949,1946_1969,France,Midcentury modern graphic communication,Posters; Lithographs,IMG02,Wellcome Collection Catalogue API,Wellcome Collection,"A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949.",work_record_candidate,card_context,France|Midcentury modern graphic communication|Wellcome Collection Catalogue API|1940s,context_or_source_witness_for_packet,none,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0263,SURF-DNZPOSTR035,DNZPOSTR035,support_or_card_review,1985,1970_1989,Aotearoa New Zealand,Modern typography and layout,"Paper, Photographic; ; Unknown",IMG02,DigitalNZ,DigitalNZ,Nathalie Brown,work_record_candidate,card_context,Aotearoa New Zealand|Modern typography and layout|DigitalNZ|1980s,context_or_source_witness_for_packet,none,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0264,SURF-GSU2026R015,GSU2026R015,support_or_card_review,1974,1970_1989,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Southwest - general [Mexico maps and tourist information and Gulf of Mexico industry], 1972-1974, undated",source_cluster_member,card_context,Georgia|Midcentury modern graphic communication|Georgia State University Library Digital Collections / CONTENTdm|1970s,context_or_source_witness_for_packet,low,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,large_cluster; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0266,SURF-SBC1970R0021,SBC1970R0021,support_or_card_review,1986,1970_1989,Mexico,Corporate identity and design systems,Documents,IMG02,Los Angeles Public Library Tessa / CONTENTdm,Los Angeles Public Library Tessa / CONTENTdm,African American Images Reception,work_record_candidate,card_context,Mexico|Corporate identity and design systems|Los Angeles Public Library Tessa / CONTENTdm|1980s,context_or_source_witness_for_packet,none,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0268,SURF-MC1930R094,MC1930R094,support_or_card_review,1970,1970_1989,United Kingdom,Midcentury modern graphic communication,Poster,IMG02,V&A Collections API,V&A Collections API,There flows from Latin America,work_record_candidate,card_context,United Kingdom|Midcentury modern graphic communication|V&A Collections API|1970s,context_or_source_witness_for_packet,none,none,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,0,support:card_context,Would moving this to card hide any significant research path?
MSTV0004,SURF-ER1830R065,ER1830R065,anchor_if_editorial_text_added,1918,1914_1945,France,World War and public-information graphics,Color lithograph on paper,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,To the Amputees—Join the Workforce,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0005,SURF-MC1930R051,MC1930R051,anchor_if_editorial_text_added,1944,1914_1945,Germany,World War and public-information graphics,Stencil,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,The Search for Human Resources in Germany,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0006,SURF-MC1930R006,MC1930R006,anchor_if_editorial_text_added,1932,1914_1945,United States,World War and public-information graphics,Color lithograph on cream wove paper,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,By the Rushy - Fringed Bank,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0011,SURF-PUL1970R038,PUL1970R038,anchor_if_editorial_text_added,1945,1914_1945,United States,World War and public-information graphics,Posters; Caricatures; 1 poster : color ; 38 x 50 cm; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,[Anti-Nazi propaganda poster depicting Hitler and Mussolini creating a Frankenstein-like monster].,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0012,SURF-PUL1970R039,PUL1970R039,anchor_if_editorial_text_added,1945,1914_1945,United States,World War and public-information graphics,Posters; Caricatures; 1 poster : color ; 36 x 51 cm; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,"[Anti-Nazi propaganda poster depicting Hitler as a snake charmer playing a tune for snakes in top hats, which are rising out of a basket labeled ""Fascisti Repubblicani""] / [United States Office of War Information].",work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0017,SURF-IR1970R047,IR1970R047,anchor_if_editorial_text_added,1953,1946_1969,United Kingdom,World War and public-information graphics,Encoded moving images,IMG00,Wellcome Collection Catalogue API,Wellcome Collection,Onwards to victory.,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0026,SURF-GSU2026R014,GSU2026R014,anchor_if_editorial_text_added,1972,1970_1989,Puerto Rico,Postwar exhibition and cultural posters,application/pdf;; application/pdf;; Stillimage,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Poster: Mar y Sol; Easter in the Caribbean with Music and Friends, The First International Puerto<br>Rican Pop Festival, April 1-3, 1972",work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0029,SURF-LPC2026R008,LPC2026R008,anchor_if_editorial_text_added,1984,1970_1989,Aotearoa New Zealand,World War and public-information graphics,poster / printed public communication,IMG00,Te Papa Collections Online,Te Papa,"Poster, ""We begin bombing in five minutes""",source_cluster_member,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; large_cluster; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,78,transnational_geography_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0202,SURF-ER1830R023,ER1830R023,support_or_card_review,1880,1850_1899,Unresolved region,Midcentury modern graphic communication,1 print : color wood engraving ; sheet 6.5 x 11.7 cm.,IMG01,Library of Congress loc.gov API,Library of Congress,"[Winter scene with horse team hauling logs on a sledge past a windmill, with snow covered landscape, under a full moon]",work_record_candidate,card_context,Unresolved region|Midcentury modern graphic communication|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,medium,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0203,SURF-ER1830R030,ER1830R030,support_or_card_review,1890,1850_1899,Unresolved region,Midcentury modern graphic communication,1 print : chromolithograph ; sheet 7.8 x 12.6 cm.,IMG03,Library of Congress loc.gov API,Library of Congress,"Cats can, but Bon Ami can not scratch for it lacks grit",work_record_candidate,card_context,Unresolved region|Midcentury modern graphic communication|Library of Congress loc.gov API|1890s,context_or_source_witness_for_packet,low,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0204,SURF-ER1830R018,ER1830R018,support_or_card_review,1880,1850_1899,Unresolved region,Midcentury modern graphic communication,1 item.,IMG04,Library of Congress loc.gov API,Library of Congress,[Pearsall Photography Studio trade card],work_record_candidate,card_context,Unresolved region|Midcentury modern graphic communication|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,medium,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0205,SURF-ER1830R020,ER1830R020,support_or_card_review,1880,1850_1899,Unresolved region,Travel and transport poster culture,1 print : color wood engraving ; sheet 11.3 x 6.8 cm.,IMG01,Library of Congress loc.gov API,Library of Congress,"[Ship at sea, under full sail, with five men in a rowboat under a partially obscured full moon]",work_record_candidate,card_context,Unresolved region|Travel and transport poster culture|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,low,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0206,SURF-ER1830R026,ER1830R026,support_or_card_review,1886,1850_1899,Unresolved region,Corporate identity and design systems,"1 print : lithograph, color.",IMG03,Library of Congress loc.gov API,Library of Congress,Acorn stoves and ranges,work_record_candidate,card_context,Unresolved region|Corporate identity and design systems|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,low,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0207,SURF-ER1830R022,ER1830R022,support_or_card_review,1880,1850_1899,Unresolved region,Midcentury modern graphic communication,1 print : color wood engraving ; sheet 6.5 x 11.7 cm.,IMG01,Library of Congress loc.gov API,Library of Congress,"[Winter scene with frozen waterwheel, a man with horse team and load of logs, and a church in the distance, under a full moon]",work_record_candidate,card_context,Unresolved region|Midcentury modern graphic communication|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,medium,unresolved_region_or_theme_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0208,SURF-ER1830R021,ER1830R021,support_or_card_review,1880,1850_1899,Unresolved region,World War and public-information graphics,1 print : color wood engraving ; sheet 6.5 x 11.7 cm.,IMG01,Library of Congress loc.gov API,Library of Congress,[Winter outing with people riding in horse-drawn sleighs across a snow covered landscape toward a church in the distance],work_record_candidate,card_context,Unresolved region|World War and public-information graphics|Library of Congress loc.gov API|1880s,context_or_source_witness_for_packet,low,unresolved_region_or_theme_manual; transnational_geography_manual,revise,medium,support_card_with_blocker_stays_manual_or_card,unresolved_region_or_theme; transnational_region; no_subsheet_relation,"The row should not carry main authority, but blocker type requires human confirmation before application.",pending,,35,unresolved_region_or_theme_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0256,SURF-CAW2026R02415,CAW2026R02415,support_or_card_review,1953,1946_1969,Malaysia,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Malaya Today (Photo Poster Set ""D"") - NARA - 5730028.jpg / page 22045276",Wikimedia Commons,"Malaya Today (Photo Poster Set ""D"") - NARA - 5730028.jpg",image_file_source_witness,card_context,"Malaysia|Modern typography and layout|Wikimedia Commons file source / Malaya Today (Photo Poster Set ""D"") - NARA - 5730028.jpg / page 22045276|1950s",context_or_source_witness_for_packet,low,weak_commons_only_manual,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,commons_file_source; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,30,weak_commons_only_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0287,SURF-CRB2026V2R0150,CRB2026V2R0150,support_or_card_review,2006,2000_2009,Uzbekistan,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Stamps of Uzbekistan, 2006-072.jpg / page 31126588",Wikimedia Commons,"Stamps of Uzbekistan, 2006-072.jpg",image_file_source_witness,card_context,"Uzbekistan|Modern typography and layout|Wikimedia Commons file source / Stamps of Uzbekistan, 2006-072.jpg / page 31126588|2000s",context_or_source_witness_for_packet,low,weak_commons_only_manual,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,commons_file_source; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,30,weak_commons_only_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0301,SURF-CAW2026R04300,CAW2026R04300,support_or_card_review,2018,2010_2019,Serbia,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Ariljevdan 2018 - Čudesna šuma - plakat.jpg / page 153797182,Wikimedia Commons,Ariljevdan 2018 - Čudesna šuma - plakat.jpg,image_file_source_witness,card_context,Serbia|Modern typography and layout|Wikimedia Commons file source / Ariljevdan 2018 - Čudesna šuma - plakat.jpg / page 153797182|2010s,context_or_source_witness_for_packet,low,weak_commons_only_manual,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,commons_file_source; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,30,weak_commons_only_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0312,SURF-CCT2026R01227,CCT2026R01227,support_or_card_review,2025,2020_2026,China / Hong Kong,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Advertising - old china (54446812886).jpg / page 164283633,Wikimedia Commons,Advertising - old china (54446812886).jpg,image_file_source_witness,card_context,China / Hong Kong|Modern typography and layout|Wikimedia Commons file source / Advertising - old china (54446812886).jpg / page 164283633|2020s,context_or_source_witness_for_packet,low,weak_commons_only_manual,pass,high,support_or_card_review_without_blocker_can_be_card_candidate,commons_file_source; no_subsheet_relation,The row is already in support/card review and lacks blockers that would require manual hold.,pending,,30,weak_commons_only_manual,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
