rank,source_name,candidate_objects,weighted_gap_points,source_visible_gap_objects,verified_open_gap_objects,img03_unreviewed_objects,img02_objects,img01_objects,img00_objects,img04_objects,top_required_action,example_surface_ids
205,"""Alexandru and Aristia Aman"" County Library, Craiova",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0210
206,"""Branko Ćopić"" National Library in Brod",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0009
207,"""Dr. Ljubo Mihić"" National Library in Ljubinje",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0010
208,"""Gheorghe Asachi"" County Library in Iași",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0204
209,"""Octavian Goga"" Cluj County Library",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0212
210,"""Vuk Karadžić"" National Library in Modriča",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0011
211,101 Art Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0080
212,11/07/95 Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0175
213,4 - ti may - 1897,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0184
214,"4 Library for adults, Ternopil",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0227
215,8Q SAM,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0482
216,AIDSSH,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0160
217,ASTRA National Museum Complex,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0027
218,Abderrahmane Benhamida library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0102
219,Acatushun museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0232
220,Adam Mickiewicz Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0478
221,Afriart Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0490
222,Afronova,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0126
223,Aishti Foundation,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0473
224,Akbank Sanat,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0582
225,Akenten Appiah-Menka University of Skills Training and Entrepreneurial Development,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0110
226,Al Qarara Cultural Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0077
227,Al-Maktaba Al-Shamela Al-Djazairiyya,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0096
228,Al-Rawdha Al-Haidarya Library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0579
229,Albany Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0128
230,Alexander Nevsky Cathedral,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0019
231,Alianza Francesa Sucre,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0267
232,Aliwal Arts Centre,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0087
233,Alliance Française de Dhaka,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0375
234,Alliance Française de Karachi,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0378
235,Alliance française Stara Zagora,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0181
236,Alsharekh Archive,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0357
237,Alwaraq,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0580
238,Amadeo León Collection,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0076
239,Ameen Rihani Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0353
240,American corner in Novi Sad,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0213
241,Andrés Guacurarí Historical-Archaeological Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0231
242,Angels and Muse,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0120
243,Anglo-Boer War Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0127
244,Anibal Bergallo Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0015
245,Anibal Cambas Regional Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0016
246,Ankara University School of Pharmacy Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0372
247,Ann Bryant Art Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0123
248,Apparte del Arte,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0278
249,Arab Image Foundation,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-ESR1931R029
250,Aram Khachaturian Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0161
251,Archaeological Museum of Matrouh,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0403
252,Archaeological Museum of North Macedonia,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0201
253,Archaeological Museum of Đerdap,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0220
254,"Archaeological museum, Plovdiv",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0185
255,Archive of Vojvodina,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0228
256,Archive of the Serbian Orthodox Church,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0217
257,Archivo Histórico del Departamento del Atlántico,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0452
258,Archivo Zitarrosa,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0341
259,Argentina Data Portal,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0239
260,Argentine Olympic Committee Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0237
261,Armenian Center for Contemporary Experimental Art,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0163
262,Arquivo Nacional Brasil,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-ESR1931R025
263,Arruabarrena Palace Municipal Regional Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0018
264,Art Museum in Piatra Neamț,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0207
265,Art Plural Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0486
266,Art55 gallery in Niš,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0218
267,ArtScience Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0389
268,Artemartis,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0111
269,Asenovgrad history museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0431
270,Atchugarry Museum of Contemporary Art,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0337
271,August House,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0130
272,Automobile museum in Belgrade,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0216
273,Ayala Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0481
274,Ayyam Gallery,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0476
275,Aznavour Center,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0162
276,Azret-Sultan,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0148
277,Baan Kudichin Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0485
278,Baku Museum of Miniature Books,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0168
279,Bangkok Doll Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0401
280,Bangkok National Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0484
281,Bariloche Paleontological Association,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0020
282,Bartolomeu Dias Museum Complex,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0134
283,Bačka Palanka City Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0225
284,Bee-Farming Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0233
285,Beer Museum in Zrenjanin,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0221
286,Beirut Art Center,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0361
287,Beitou Hot Spring Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0419
288,Belgrade City Library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0054
289,Belmond Andean Explorer,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0320
290,Belogradchik Fortress,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0430
291,Belogradchik History Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0195
292,Beneficial Microbes Museum and Tourism Factory,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0152
293,BiblioAsia,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-ESR1931R038
294,Biblioteca - Mediateca del Centro Cultural del España en Guatemala,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0070
295,Biblioteca Central y Centro de Documentación Perito Francisco P. Moreno,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0017
296,Biblioteca Departamental Jorge Garcés Borrero,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0287
297,Biblioteca Max Von Buch,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0238
298,Biblioteca Nacional Digital Brasil,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-ESR1931R026
299,Biblioteca Nuestros Hijos,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0338
300,Biblioteca Pedagógica Eudoro Díaz,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0240
301,Biblioteca Pedro Mir,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0312
302,Biblioteca Pública Barrial Fernando Gómez Martinez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0279
303,Biblioteca Pública Municipal Domingo Sabio,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0504
304,Biblioteca Pública Municipal Donaldo Ortiz Sierra,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0503
305,Biblioteca Pública Municipal Dr. HermesDuarte Arias- Municipio de Vetas,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0502
306,Biblioteca Pública Municipal Eduardo Cote Lamus,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0505
307,Biblioteca Pública Municipal Eladio Segundo Sarmiento Garavito,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0506
308,Biblioteca Pública Municipal Eulises Rivera,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0508
309,Biblioteca Pública Municipal Ezequiel Oviedo Nieto,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0507
310,Biblioteca Pública Municipal Fernando Díaz Herazo De Galeras,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0509
311,Biblioteca Pública Municipal Fernando Enrique Mancilla Silva,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0510
312,Biblioteca Pública Municipal Francisco Antonio Gómez García,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0511
313,Biblioteca Pública Municipal Gabriel García Marquez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0512
314,Biblioteca Pública Municipal German Guzmán Campos,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0047
315,Biblioteca Pública Municipal Gilma Castellanos,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0516
316,Biblioteca Pública Municipal Gregorio Gutiérrez Gónzalez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0519
317,Biblioteca Pública Municipal Guillermo Salamanca Pacheco,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0514
318,Biblioteca Pública Municipal Helcías Martán Góngora,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0513
319,Biblioteca Pública Municipal José Concepción Machado Ruiz,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0518
320,Biblioteca Pública Municipal José Francisco Rojas Guerra,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0517
321,Biblioteca Pública Municipal José Félix Yela Mejía,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0515
322,Biblioteca Pública Municipal José Gustavo Pava Peña,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0522
323,Biblioteca Pública Municipal José Lorenzo Celedon Benjumea,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0520
324,Biblioteca Pública Municipal Juan Crisostomo de Echavarria,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0521
325,Biblioteca Pública Municipal Juan De Jesús Wilches,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0526
326,Biblioteca Pública Municipal La Cacica María,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0525
327,Biblioteca Pública Municipal Luis Carlos Loucurture Daza,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0529
328,Biblioteca Pública Municipal Luis Eduardo Paéz Courvel,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0528
329,Biblioteca Pública Municipal Luis José Barros Quintero,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0527
330,Biblioteca Pública Municipal Luruaco,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0524
331,Biblioteca Pública Municipal Madre Laura Montoya Upegui,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0523
332,Biblioteca Pública Municipal Mamá Yeya,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0530
333,Biblioteca Pública Municipal Miguel Ángel López Hernández,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0532
334,Biblioteca Pública Municipal Milcíades Mariela Del Nilo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0281
335,Biblioteca Pública Municipal Monseñor José Joaquin Salcedo Guarin,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0533
336,Biblioteca Pública Municipal Monseñor Juan José Díaz Plata,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0531
337,Biblioteca Pública Municipal Pedro Medina Avendaño,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0534
338,Biblioteca Pública Municipal Placido Hernández,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0537
339,Biblioteca Pública Municipal Prado Tolima,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0050
340,Biblioteca Pública Municipal Rafael Antonio Ariza Ariza,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0540
341,Biblioteca Pública Municipal Salón Wilches,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0539
342,Biblioteca Pública Municipal Samuel Coneo Ayola,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0536
343,Biblioteca Pública Municipal San Cayetano,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0535
344,Biblioteca Pública Municipal Santa Ana,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0538
345,Biblioteca Pública Municipal Senderos del Saber,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0049
346,Biblioteca Pública Municipal Tiberio Venegas Pinzón,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0542
347,Biblioteca Pública Municipal Tulio Manuel Castro Gil,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0543
348,Biblioteca Pública Municipal de Buesaco,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0541
349,Biblioteca Pública Municipal de La Salina,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0545
350,Biblioteca Pública Municipal de Macanal,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0051
351,"Biblioteca Pública Municipal de Malambo ""Pedro Dionicio Narvaez Miranda""",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0053
352,Biblioteca Pública Municipal de Manatí,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0546
353,Biblioteca Pública Municipal de Mutatá,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0547
354,Biblioteca Pública Municipal de Paz De Rio,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0544
355,Biblioteca Pública Municipal de Pelaya,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0052
356,Biblioteca Pública Municipal de Pisba Pilosísima,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0548
357,Biblioteca Pública Municipal de Ponedera,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0056
358,Biblioteca Pública Municipal de Restrepo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0550
359,Biblioteca Pública Municipal de Rio Iro,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0552
360,Biblioteca Pública Municipal de Rio de Oro,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0059
361,Biblioteca Pública Municipal de Riohacha Comuna 10,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0058
362,Biblioteca Pública Municipal de Rondón,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0551
363,Biblioteca Pública Municipal de Sabanas de San Ángel,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0060
364,Biblioteca Pública Municipal de Samaca,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0549
365,Biblioteca Pública Municipal de San Pelayo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0061
366,Biblioteca Pública Municipal de San Zenón,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0064
367,Biblioteca Pública Municipal de Santa Lucia,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0553
368,Biblioteca Pública Municipal de Santa Rosa del Sur,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0556
369,Biblioteca Pública Municipal de Siachoque,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0555
370,Biblioteca Pública Municipal de Soledad,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0554
371,Biblioteca Pública Municipal de Susacón,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0557
372,"Biblioteca Pública Municipal de Tiquisio ""La Luz del saber""",1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0558
373,Biblioteca Pública Municipal de Turbaco,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0063
374,Biblioteca Pública Municipal de Une,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0560
375,Biblioteca Pública Municipal de Uramita,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0559
376,Biblioteca Pública Municipal de Utica,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0561
377,Biblioteca Pública Municipal de Yumbo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0282
378,Biblioteca Pública Municipal del Municipio De Arjona,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0562
379,Biblioteca Pública Municipal del Municipio De Matanza,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0563
380,Biblioteca Pública Municipal del Municipio De Miranda,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0566
381,Biblioteca Pública Municipal del Municipio De Morales,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0565
382,Biblioteca Pública Municipal del Municipio De San Fernando,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0564
383,Biblioteca Pública Municipal del Municipio De Santuario,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0062
384,Biblioteca Pública Municipal del Municipio de Panqueba,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0567
385,Biblioteca Pública Odilia Camacho Gómez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0568
386,Biblioteca Pública Popular Fronteriza,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0569
387,Biblioteca Pública Rafaél Rangel Gómez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0570
388,Biblioteca Pública Ramiro Rivadeneira Chavez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0571
389,Biblioteca Pública Ricardo Quintero Nieto,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0283
390,Biblioteca Pública Samuel Velásquez Botero,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0572
391,Biblioteca Pública Seferino Cotrina,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0574
392,Biblioteca Pública Walberto Ordoñez Hernandez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0573
393,Biblioteca Público Municipal José Armando Curbelo Pérez,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0068
394,Biblioteca Rafael Meza Ayau,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0316
395,Biblioteca del Centro Cultural de España en Lima,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0323
396,Biblioteca del Centro Cultural de España en Montevideo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0344
397,Biblioteca popular Cachilo,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0242
398,Biblioteca y Centro Multimedia. Facultad de Ciencias Veterinarias. Universidad de Buenos Aires,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0498
399,Bibliotheca Alexandrina,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0108
400,Bishop's Basilica of Philippopolis,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0196
401,Black Church Archives and Library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0209
402,Blue Penny Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0410
403,Bob Marley Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0317
404,Bogotá Museum of Modern Art,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0289
405,Bolivian Air Force Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0264
406,Botswana Craft,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0001
407,Bowen University Library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0121
408,Boyan Penev - 1949,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0190
409,Boyana Church,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0193
410,Branch State Archive of the Ukrainian Institute of National Memory,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0235
411,Brașov County Museum of History,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0211
412,Brokk'Art,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0099
413,Brukenthal National Museum,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0433
414,Bucharest Metropolitan Library,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0208
415,Budilnik - 1898,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0497
416,Buenos Aires Museum of Modern Art,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0243
