category,macro,country,object_term,depth,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
Category:2007 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,2,1,1,3250,8322.3
Category:2008 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,1,3250,8324.8
Category:2009 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,3,3250,8326.8
Category:2010 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,1,3250,8328.5
Category:2011 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,1,3250,8330.5
Category:2012 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,1,0,3250,8348.8
Category:2013 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,1,1,2,3251,8383.5
Category:2014 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,2,0,1,3253,8386.3
Category:2015 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,1,0,0,3254,8388.1
Category:2016 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,1,0,0,3255,8389.9
Category:2017 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,1,3255,8391.6
Category:2018 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,1,0,3255,8410.5
Category:2019 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,1,1,1,3256,8446.1
Category:2021 film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,3,completed,0,0,1,3256,8449.0
Category:1930 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3256,8451.8
Category:1931 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,1,3256,8453.4
Category:1933 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,0,0,3257,8456.0
Category:1934 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3257,8474.5
Category:1935 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,1,1,3258,8498.1
Category:1937 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,1,3258,8499.9
Category:1950 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,0,0,3259,8501.6
Category:1951 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,0,3261,8504.4
Category:1953 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,4,0,3,3265,8507.3
Category:1954 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3265,8525.3
Category:1955 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,1,6,3266,8561.8
Category:1956 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,8,3268,8564.5
Category:1957 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,0,11,3269,8566.9
Category:1958 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,11,3271,8569.5
Category:1959 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,6,3273,8571.8
Category:1960 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3273,8589.8
Category:1961 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,16,3273,8626.2
Category:1962 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,24,3276,8630.1
Category:1963 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,15,3279,8633.6
Category:1964 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,4,0,27,3283,8637.8
Category:1965 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,31,3286,8642.1
Category:1966 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3286,8659.9
Category:1967 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,1,19,3289,8679.1
Category:1968 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,5,0,35,3294,8684.6
Category:1969 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,4,0,42,3298,8690.4
Category:1970 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,6,0,29,3304,8694.6
Category:1971 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,4,0,46,3308,8699.4
Category:1972 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3308,8717.2
Category:1973 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,1,48,3310,8743.1
Category:1974 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,4,0,46,3314,8747.4
Category:1975 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,0,35,3315,8751.3
Category:1976 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,42,3317,8755.5
Category:1977 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,26,3320,8758.9
Category:1978 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3320,8776.8
Category:1979 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,1,1,3321,8800.6
Category:1980 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,2,3324,8802.7
Category:1981 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3324,8804.5
Category:1983 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3324,8806.1
Category:1984 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3324,8807.7
Category:1986 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3324,8826.4
Category:1987 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,1,2,3326,8860.6
Category:1988 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,3,0,2,3329,8863.1
Category:1989 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,3,3329,8864.8
Category:1992 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,2,0,4,3331,8867.0
Category:1993 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,0,0,3332,8869.0
Category:1999 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3332,8886.8
Category:2022 film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,1,1,0,3333,8923.4
Category:1957 film posters of South Korea,East Asia,Korea,film poster,3,completed,1,0,0,3334,8925.1
Category:1958 film posters of South Korea,East Asia,Korea,film poster,3,completed,1,0,1,3335,8927.0
Category:20th-century film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3335,8929.6
Category:21st-century film posters of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,0,0,3335,8931.7
Category:Film posters by the Advertising House of Iran,Middle East and North Africa,Iran,film poster,3,completed,0,1,0,3335,8949.2
Category:21st-century film posters of South Korea,East Asia,Korea,film poster,3,completed,0,1,0,3335,8983.4
Category:1947 postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,3,completed,9,0,10,3344,8986.4
Category:1947 postage stamps of Chile,Latin America / Caribbean,Chile,postage stamp,3,completed,3,0,0,3347,8988.4
Category:1899 postage stamps of Algeria,Africa,Algeria,postage stamp,3,completed,5,0,0,3352,8991.4
Category:1912 postage stamps of Algeria,Africa,Algeria,postage stamp,3,completed,5,0,0,3357,8993.9
Category:1864 postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,3,completed,0,1,0,3357,9011.7
Category:1868 postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,3,completed,0,1,6,3357,9046.3
Category:1878 postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,3,completed,0,0,4,3357,9048.0
Category:1882 postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,3,completed,0,0,5,3357,9050.0
Category:1935 postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,3,completed,2,0,2,3359,9051.8
Category:1867 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,12,0,8,3371,9055.1
Category:1868 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3371,9073.0
Category:1870 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,5,1,0,3376,9107.8
Category:1871 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,6,3376,9110.3
Category:1878 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,17,3376,9113.1
Category:1887 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,1,0,5,3377,9115.5
Category:1890 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,7,3377,9118.0
Category:1891 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3377,9136.3
Category:1893 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,7,3377,9160.8
Category:1894 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,17,3377,9164.6
Category:1897 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,1,3385,9168.0
Category:1899 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,7,0,8,3392,9172.1
Category:1901 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,5,0,2,3397,9175.0
Category:1906 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3397,9192.7
Category:1910 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,6,1,0,3403,9228.8
Category:1911 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,5,0,1,3408,9231.8
Category:1912 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,2,0,7,3410,9234.5
Category:1913 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,2,3418,9237.6
Category:1914 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,1,3426,9240.7
Category:1916 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3426,9258.6
Category:1917 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,3,3426,9283.2
Category:1918 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,2,0,0,3428,9284.9
Category:1919 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,7,3428,9287.8
Category:1920 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,3,3428,9290.6
Category:1923 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,13,3428,9294.8
Category:1924 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3428,9313.1
Category:1925 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,29,1,7,3457,9351.4
Category:1927 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,16,3457,9355.0
Category:1928 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,4,0,11,3461,9358.2
Category:1930 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,29,0,3,3490,9362.6
Category:1931 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,0,3498,9365.5
Category:1932 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,0,3498,9383.6
Category:1933 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,11,3498,9402.6
Category:1935 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,25,0,0,3523,9406.8
Category:1937 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,14,0,8,3537,9411.1
Category:1938 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,17,0,4,3554,9415.2
Category:1939 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,24,0,5,3578,9419.9
Category:1940 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,2,0,3578,9453.8
Category:1941 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,0,3586,9462.1
Category:1942 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,12,0,1,3598,9465.1
Category:1943 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,28,0,0,3626,9469.5
Category:1944 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,8,0,2,3634,9471.7
Category:1945 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,18,3634,9475.7
Category:1946 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,2,0,3634,9511.0
Category:1947 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,20,3634,9520.6
Category:1948 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,15,3634,9523.9
Category:1950 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,27,3634,9527.9
Category:1951 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,50,3634,9533.8
Category:1952 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,25,3634,9540.1
Category:1953 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,2,0,3634,9575.1
Category:1954 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,15,3634,9584.7
Category:1955 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,15,3634,9588.5
Category:1956 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,2,3634,9590.2
Category:1957 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,36,3634,9595.3
Category:1960 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,50,3634,9600.8
Category:1961 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,2,0,3634,9635.1
Category:1962 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,41,3634,9646.3
Category:1963 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,13,3634,9649.7
Category:1966 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,38,3634,9654.3
Category:1968 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,47,3634,9659.4
Category:1969 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,1,3634,9661.1
Category:1970 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,1,8,3634,9698.4
Category:1971 postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,3,completed,0,0,6,3634,9701.6
Category:1945 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,1,0,5,3635,9703.8
Category:1946 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,2,0,8,3637,9706.2
Category:1949 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,3,0,1,3640,9708.2
Category:1950 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,1,0,3640,9726.2
Category:1951 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,1,4,3640,9760.8
Category:1952 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,2,0,8,3642,9763.4
Category:1954 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,0,2,3642,9765.4
Category:1957 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,0,2,3642,9767.2
Category:1962 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,1,0,1,3643,9768.9
Category:1965 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,1,0,3643,9787.2
Category:1966 postage stamps of Egypt,Africa,Egypt,postage stamp,3,completed,0,1,2,3643,9822.2
Category:1917 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,2,0,23,3645,9828.5
Category:1918 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,18,0,0,3663,9832.1
Category:1919 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,8,0,0,3671,9835.4
Category:1920 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,13,3671,9839.8
Category:1923 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,0,3671,9857.5
Category:1924 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,11,3671,9879.8
Category:1931 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,27,3671,9886.4
Category:1932 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,11,0,8,3682,9891.3
Category:1934 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,18,3682,9895.8
Category:1936 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,2,3682,9897.7
Category:1941 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,0,3682,9915.4
Category:1942 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,22,3682,9942.1
Category:1948 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,21,3682,9947.5
Category:1949 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,4,0,11,3686,9950.1
Category:1951 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,3,0,1,3689,9952.3
Category:1953 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,1,0,3,3690,9954.3
Category:1955 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,0,3690,9972.2
Category:1956 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,3,1,0,3693,10007.5
Category:1957 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,15,0,0,3708,10012.5
Category:1958 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,3,0,9,3711,10016.7
Category:1959 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,5,0,17,3716,10023.0
Category:1961 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,0,3731,10045.6
Category:1963 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,5,0,27,3753,10074.8
Category:1964 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,6,0,21,3759,10080.5
Category:1965 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,10,0,37,3769,10088.0
Category:1966 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,4,0,32,3773,10094.9
Category:1967 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,14,1,36,3787,10124.3
Category:1968 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,8,0,21,3795,10130.0
Category:1969 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,6,0,39,3801,10137.5
Category:1970 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,50,3801,10147.4
Category:1971 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,4,0,46,3805,10157.2
Category:1972 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,1,0,3805,10175.0
Category:1973 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,31,3805,10187.2
Category:1974 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,3,0,14,3808,10192.4
Category:1975 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,14,0,30,3822,10200.4
Category:1976 postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,3,completed,0,0,27,3822,10206.6
Category:1907 postage stamps of Nepal,South Asia,Nepal,postage stamp,3,completed,2,0,1,3824,10208.2
Category:1969 postage stamps of Nepal,South Asia,Nepal,postage stamp,3,completed,1,1,1,3825,10242.4
Category:2000 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,3,0,0,3828,10244.5
Category:2001 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,3,3828,10246.6
Category:2011 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,43,3828,10251.4
Category:2012 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,1,0,10,3829,10253.9
Category:2013 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,1,0,3829,10272.6
Category:2014 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,1,6,3829,10307.7
Category:2015 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,18,3829,10310.8
Category:2016 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,1,0,12,3830,10313.9
Category:2017 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,1,0,40,3831,10318.5
Category:2018 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,4,3831,10320.5
Category:2019 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,1,0,3831,10338.6
Category:2020 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,1,7,3831,10362.4
Category:2021 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,39,3831,10367.5
Category:2022 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,30,3831,10371.4
Category:2023 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,22,3831,10374.5
Category:2024 postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,3,completed,0,0,12,3831,10376.6
Category:1924 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,1,0,3831,10394.2
Category:1934 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,1,10,3831,10420.4
Category:1963 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,3,3831,10422.2
Category:1964 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,2,3831,10424.1
Category:1974 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,2,3831,10425.5
Category:1985 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,4,3831,10427.2
Category:1986 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,1,0,3831,10444.7
Category:1987 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,1,3,3831,10479.2
Category:1990 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,8,3831,10481.5
Category:1995 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,4,3831,10483.2
Category:1999 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,7,3831,10485.2
Category:2000 postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,3,completed,0,0,1,3831,10486.9
Category:1913 stamps of Australia,Oceania / Pacific,Australia / Indigenous,postage stamp,3,completed,0,1,0,3831,10504.3
Category:1855 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,1,1,5,3832,10538.9
Category:1858 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,3832,10540.6
Category:1871 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,2,3832,10542.3
Category:1874 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,3,3832,10543.8
Category:1882 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,1,0,11,3833,10546.3
Category:1898 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,3833,10564.1
Category:1900 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,1,3833,10598.0
Category:Joint issues of Indonesia by subject,Southeast Asia,Indonesia,postage stamp,3,completed,0,0,0,3833,10599.4
Category:Joint issues of Indonesia by year,Southeast Asia,Indonesia,postage stamp,3,completed,0,0,0,3833,10601.0
"Category:Sheets of stamps of Azerbaijan, 2002",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,9,3833,10603.0
"Category:Sheets of stamps of Azerbaijan, 2003",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,12,3833,10605.1
"Category:Sheets of stamps of Azerbaijan, 2004",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,1,0,3833,10622.8
"Category:Sheets of stamps of Azerbaijan, 2005",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,2,0,3833,10656.6
"Category:Sheets of stamps of Azerbaijan, 2006",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,7,3833,10658.6
"Category:Sheets of stamps of Azerbaijan, 2007",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,9,3833,10660.5
"Category:Sheets of stamps of Azerbaijan, 2008",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,7,3833,10662.4
"Category:Sheets of stamps of Azerbaijan, 2009",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,4,3833,10664.0
"Category:Sheets of stamps of Azerbaijan, 2010",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,11,3833,10666.3
"Category:Sheets of stamps of Azerbaijan, 2011",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,2,0,3833,10699.9
"Category:Sheets of stamps of Azerbaijan, 2012",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,13,3833,10719.4
"Category:Sheets of stamps of Azerbaijan, 2013",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,4,3833,10721.2
"Category:Sheets of stamps of Azerbaijan, 2014",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,5,3833,10722.8
"Category:Sheets of stamps of Azerbaijan, 2015",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,9,3833,10724.8
"Category:Sheets of stamps of Azerbaijan, 2020",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,0,2,3833,10726.7
"Category:Sheets of stamps of Azerbaijan, 2023",Eastern Europe / Caucasus,Azerbaijan,postage stamp,3,completed,0,2,0,3833,10760.6
Category:2009 postage stamp sheets of Kazakhstan,Central Asia,Kazakhstan,postage stamp,3,completed,0,0,3,3833,10778.8
"Category:Sheets of stamps of Ukraine, 1996",Eastern Europe / Caucasus,Ukraine,postage stamp,3,completed,0,0,5,3833,10780.6
