cluster_key,source_family,family_class,region,theme,five_year_bucket,cluster_size,packet_relation_lane,packet_confidence,eligible_rows,anchor_rows,member_or_sub_rows,scope_status,scope_reason,blocking_dimensions,manual_resolution_path,seed_priority,sample_titles
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|1980-1984,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Postwar exhibition and cultural posters,1980-1984,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Philitelic exhibition poster | Summer City poster, Asia Pacific Festival Kite Day"
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|2010-2014,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Postwar exhibition and cultural posters,2010-2014,4,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Gardensity poster | Poster advertising Ian Scott exhibition, 1978 | Exhibition Poster 2012 | Over 200 shows, exhibitions and festivals open here every year. It's an art keeping up."
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|2015-2019,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Postwar exhibition and cultural posters,2015-2019,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Exhibition poster on museum
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|2020-2024,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Postwar exhibition and cultural posters,2020-2024,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Max Gimblett Ocean Wheel exhibition poster on bollard
Aotearoa New Zealand|Public health and social communication|DigitalNZ|2010-2014,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Public health and social communication,2010-2014,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Smokefree poster
Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|1950-1954,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Travel and transport poster culture,1950-1954,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"""Air-conomy Tours of New Zealand New Zealand's International Airline"" | Bus advertising photographers Belwood Studio, 1952"
Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|1955-1959,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Travel and transport poster culture,1955-1959,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Advertising poster for Tasman Empire Airways
Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|1980-1984,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Travel and transport poster culture,1980-1984,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Ansett Australia advertising and baggage labels and various prestamped and philatelic envelopes
Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|2005-2009,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Travel and transport poster culture,2005-2009,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Tourist poster
South Africa|Modern typography and layout|GALA Queer Archive|2025-2029,GALA Queer Archive,design_or_cultural_institution,South Africa,Modern typography and layout,2025-2029,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Open Call: 2025 GALA Internship
France|Midcentury modern graphic communication|Gallica / BnF APIs|1830-1834,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1830-1834,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Théâtre dirigé par M. Dorsay ci-devant Mad.e Saqui Boulevard du Temple en face le jardin turc tous les jours, excepté le Dimanche, Jane Gray Drame historique en 3 actes et 5 tableaux de M. Leblanc, musique de M. Bellon, décors de M. Rascalon mise en scène de M"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1835-1839,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1835-1839,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Journal spécial de la typographie, imprimerie, gravure, fonderie, papeterie et librairie"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1840-1844,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1840-1844,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Spécimen typographique de l'Imprimerie royale
France|Midcentury modern graphic communication|Gallica / BnF APIs|1845-1849,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1845-1849,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"(25 Juin) République Française [...] Pouvoir exécutif Soldats, Le salut de la Patrie vous réclame ! [...] | Annuaire de la typographie parisienne et départementale / par E. M. Prétod | Spécimen typographique de l'Imprimerie royale"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1850-1854,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1850-1854,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Typographie : exemples (TR) | Orfèvrerie et couverts de la Fabrique de Ch.s Christofle & C.ie de Paris : [estampe, affiche publicitaire] / H. Walter Lith."
France|Midcentury modern graphic communication|Gallica / BnF APIs|1855-1859,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1855-1859,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Les pantins de Violette. Bouffes-Parisiens. Opérette-bouffe en un acte. Paroles de M. Léon Battu. Musique de Ad. Adam : [affiche] / lithographie de Léon Loire
France|Midcentury modern graphic communication|Gallica / BnF APIs|1860-1864,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1860-1864,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Industrie du batiment...[placard d'annonces publicitaires pour différents commerces] : [affiche] / [non identifié] | Paris, quartier de la Bastille : [placard d'annonces publicitaires pour différents commerces] : [femme en rouge] : [affiche] ([Variante d'image : femme en rouge]) / [non identifié] | Théâtre des Champs-Élysées. Les trois Normandes. Opérette-bouffe en un acte.... Paroles de Pol Mercier, musique de Fédéric Barbier... : [affiche] / signature illsible"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1865-1869,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1865-1869,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Théâtre des Bouffes-Parisiens. Didon. Opéra-bouffe en deux actes et un prologue... Paroles de M. Ad. Belot. Musique de Blangini fils : [affiche] / lithographie de Henry-Alfred Darjou
France|Midcentury modern graphic communication|Gallica / BnF APIs|1870-1874,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1870-1874,5,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier] | Traité de la typographie (3e édition corrigée et augmentée) / par Henri Fournier,... | Manuel de l'apprenti compositeur : typographie (2e édition revue, corrigée et augmentée) / par Jules Claye,... | Bouffes-Parisiens. Bagatelle. Opéra-comique en un acte de H. Crémieux et E. Blum. Musique de J. Offenbach : [affiche] / lithographie de Stop | Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industriels / par Hippolyte"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1875-1879,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1875-1879,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Réclame pour le jeu du congrès : [jeu de cartes, estampe] | La Belle Hélène : [dessin]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1880-1884,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1880-1884,6,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Noir et blanc (Paris. 1883) | Théâtre des fixions : [estampe] ([1er état, avec le texte typographié]) / R, [Félicien Rops] | Catalogue de livres anciens, livres modernes, gravures anciennes, gravures modernes de tous styles et de toutes époques, décorations, architecture, fêtes publiques, orfèvrerie, meubles, bronzes, ornements, costumes, typographie, etc. suite de gravures des XVII | Le Cercle de la librairie, de l'imprimerie, de la papeterie, du commerce de la musique et des estampes : notice historique et descriptive | Plus de dos ronds. Breveté [...], 134 rue de Rivoli, 134, Bretelle américaine. : [affiche] / F. Ménétrier lith."
France|Midcentury modern graphic communication|Gallica / BnF APIs|1885-1889,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1885-1889,15,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Cartes patriotiques : [esquisse pour l'affiche publicitaire d'un jeu boulangiste] : [jeu de cartes, dessin] / Dufour inv. | Pavillon de l'Imprimerie : [photographie] / [Hippolyte Blancard] | Cartes patriotiques : [affiche publicitaire d'un jeu boulangiste] : [jeu de cartes, estampe] ([Épreuve coloriée]) / Dufour inv. ; J.H.S. del. 1889 | Cartes patriotiques : [affiche publicitaire d'un jeu boulangiste] : [jeu de cartes, estampe] ([Épreuve en noir]) / Dufour inv. ; J.H.S. del. 1889 | Valentines : [épreuves d'imprimerie] / Jean de Noves"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1890-1894,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1890-1894,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,De Pompéi à Tours : [chanson réclame] / [signé : J. R [J. Rogeron?]] | Théâtre des Bouffes-Parisiens. Cercle funambulesque. Coeur brisé. Pantomime en un acte de M. Arbel. Musique de Georges Hüe : [affiche] / lithographie de Lucien Lefèvre
France|Midcentury modern graphic communication|Gallica / BnF APIs|1895-1899,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1895-1899,4,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Lise Fleuron. Athénée-Comique. Cocher, rue Boudreau ! Rôle de la Réclame. Décembre 1897 : [photographie] | Lise Fleuron. Athénée. Cocher, rue Boudreau ! Rôle de la Réclame. Décembre 1897 : [photographie] | Réclame de MM. Fossorier : [estampe] / H. Bellery-Desfontaines | ""Le pays vous réclame / Allez, jeunes conscrits..."" : [billet de conscription] : [estampe]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1900-1904,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1900-1904,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"[Croisement de routes et publicité murale] | Collection Charles Cros. Affiches, manuels et documentation. Affiches (média : image fixe). Affiches publicitaires. Musée de la parole : monde sonore, histoire vivante. Phonothèque nationale"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1910-1914,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1910-1914,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"L'Étoile du Nord (Roubaix) | Paris, église de la rue Réaumur [de nombreuses affiches publicitaires sur les murs du bâtiment] : [photographie de presse] / [Agence Rol] grouped records, 1912"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1925-1929,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1925-1929,13,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Typographie [imprimerie Charaire à Sceaux] : [photographie de presse] / [Agence Rol] | Histoire de l'imprimerie par l'image. Tome II, La lettre d'imprimerie / Marius Audin | Publicité [la cressonnée, absinthe ?] : [photographie de presse] / [Agence Rol] | Catalogue d'une collection importante de médailles et jetons portugais ou ayant un rapport au Portugal formée par un amateur portugais distingué, résidant à Paris, une série remarquable de Charles II d'Angleterre et de Catherine de Bragance, suites intéressant | Contrat social en 8 heures, De Foe et J.-J. Rousseau, par A. et A... Intérêt de réalisation : essai de synthèse moderne de différents auteurs ayant traité le même sujet. Robinson Crusoé... : [affiche] / [non signé] ; bois gravé, non signé"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1930-1934,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1930-1934,8,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"[Croisement de routes et publicité murale] | Boutique : réclame originale : [photographie de presse] / Agence Mondial | [Représentations de groupes folkloriques au théâtre Nippon-Seinenkan à Tokyo, du 13 au 15 avril] : [affiche] / [non identifié] | Art et Action. Laboratoire de théâtre. Les Essais de Montaigne. [Adaptation de Eduard Autant]. Théâtre Universitaire... : [affiche] / bois gravé par [Joé Chaine] | Le second Faust de Goethe. Théâtre du Livre... Art et Action. [traduction de Gérard de Nerval] : [affiche] / bois gravé par [Joé Chaine]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1940-1944,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1940-1944,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Semaine du livre français, demandez les livres ""Hachette"" pour les enfants : [affiche] / A. Pécoud | [Nouvel opéra : projet de typographie] | Théâtre National de l'Opéra. Vendredi 20 décembre 1940... Grand gala organisé par Paris-soir, au bénéfice du Secours National d'hiver et des enfants victimes de l'exode avec le concours de toutes les vedettes... : [affiche] / [non identifié]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1945-1949,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1945-1949,5,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,La leçon de flûte / Lancret ; [photogr. des] Arts Graphiques de la Cité | Assemblée dans un parc / A. Watteau ; [photogr. des] Arts Graphiques de la Cité | Assemblée dans un parc : [détail] / A. Watteau ; [photogr. des] Arts Graphiques de la Cité | Le port de Toulon : détail / J. Vernet ; [photogr. des] Arts Graphiques de la Cité | Les chanteurs ambulants / Hubert Robert ; [photogr. des] Arts graphiques de la Cité
France|Midcentury modern graphic communication|Gallica / BnF APIs|1950-1954,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1950-1954,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Sécurité Sociale. Air pur - Lumière. Joie et santé de l'enfance. : [affiche] / A. Pécoud | Bal de l'X, le 11 mai 1950, à l'Opéra sous la présidence de Monsieur Vincent Auriol : [affiche] / lithographie de Louis Touchagues | La nuit des Centraux. Palais de Chaillot, vendredi 7 mai 1954... avec les ballets de l'Opéra... Bal... : [affiche] / lithographie de C.D."
France|Midcentury modern graphic communication|Gallica / BnF APIs|1955-1959,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1955-1959,4,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"[Marcel Maillard à côté d'une bouteille, réclame de cognac Brugerolle] | [Marcel Maillard à côté d'une bouteille, réclame de cognac Brugerolle] | CELLE QUE JE RECLAME / Louis AMADE - Jack FULTEN - L. STEELE. LA FONTAINE DES AMOURS : du film ""La fontaine des amours"" / René ROUZAUD - J. STYNE ; John WILLIAM - orch. dir. WAL-BERG | 68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1960-1964,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1960-1964,4,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"74e Bal de l'X, à l'Opéra, 14 novembre 63... : [affiche] / lithographie de Gîre | La danse dans l'art, de l'impressionnisme à nos jours. Galerie André Weil, 26 Avenue Matignon, Paris VIII, 15 juin-22 juillet 1961 : [affiche] / [non signé] | 72e Bal de l'X, à l'Opéra, 30 novembre 1961... : [affiche] / lithographie de M.-L. Lorin | 75e Bal de l'X, à l'Opéra, 26 novembre 1964... : [affiche] / [non signé]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1965-1969,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1965-1969,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"[Mai 1968]. Oui à la Révolution, Comité d'action des publicitaires : [affiche] / [non identifié] | [Mai 1968]. Fer de lance de l'exploitation. La publicité, [août 1968]. Atelier populaire : [affiche] / [non identifié] | Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1970-1974,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1970-1974,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"La Publicité , par Bernard de Plas et Henri Verdier. 10e édition mise à jour | La typographie (2e éd. mise à jour) / par Victor Letouzey,..."
France|Modern typography and layout|Gallica / BnF APIs|1950-1954,Gallica / BnF APIs,library_archive_or_aggregator,France,Modern typography and layout,1950-1954,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Cinq siècles d'affiches illustrées françaises : exposition... Bibliothèque nationale, juillet-septembre 1953 / [catalogue par Jean Adhémar, Charles Pérussaux et Jacqueline Amingeat ; préface par Julien Cain]"
France|Postwar exhibition and cultural posters|Gallica / BnF APIs|1950-1954,Gallica / BnF APIs,library_archive_or_aggregator,France,Postwar exhibition and cultural posters,1950-1954,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Festival mundial de danzas y cantos folkloricos. Pamplona-Biarritz. Espana - Francia del 9 al 15 de julio 1953 : [affiche] / [non identifié] | Igor Strawinsky. The Rake's progress. La Biennale di Venezia. XIV festival internazionale di musica contemporanea. Prima esecuzione mondiale dell' opera diretta dall'autore e presentata dal complesso del teatro alla Scala di Milano, al teatro la Fenice di Vene"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1930-1934,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1930-1934,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Georgia Education Journal, 1932-02"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1945-1949,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1945-1949,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Ross correspondence, ca 1940s"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1950-1954,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1950-1954,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Daily Tarheel: African-Americans, segregation in North Carolina, 1951-1952, undated | The Union and Winter Soldiers: the Story of a Conspiracy Against the Schools (with an article by M. H. Ross), 1943, 1954"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1970-1974,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1970-1974,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"News articles (New York Times, New Yorker), 1967-1971 | Equal Employment Opportunity Commission | Southwest - general [Mexico maps and tourist information and Gulf of Mexico industry], 1972-1974, undated"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1975-1979,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1975-1979,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Pipestem, [folder 1 of 2], ca 1950s-1970s | Career Counseling, undated"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1980-1984,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1980-1984,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"GAE Update, 1982-04"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Update, 1987-09"
Georgia|Midcentury modern graphic communication|Georgia State CONTENTdm|1990-1994,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Midcentury modern graphic communication,1990-1994,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Update, 1994-03"
Georgia|Modern typography and layout|Georgia State CONTENTdm|1990-1994,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Modern typography and layout,1990-1994,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"American Association of University Women scrapbook 3, 1965-1975 1990"
