coverage_id,node_id,region_id,coverage_status,priority,known_entry_points,source_needs,rights_risk,research_note
COV0001,HN001,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0178,HN013,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0179,HN014,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0180,HN015,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0181,HN001,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0182,HN002,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0183,HN003,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0184,HN004,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0185,HN005,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0186,HN006,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0187,HN007,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0188,HN008,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0189,HN009,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0190,HN010,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0191,HN011,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0192,HN012,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0193,HN013,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0194,HN014,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0195,HN015,REG013,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0196,HN001,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0197,HN002,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0198,HN003,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0199,HN004,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0200,HN005,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0201,HN006,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0202,HN007,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0203,HN008,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0204,HN009,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0205,HN010,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0206,HN011,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0207,HN012,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0208,HN013,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0209,HN014,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0210,HN015,REG014,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0211,HN001,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0212,HN002,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0213,HN003,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0214,HN004,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0215,HN005,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0216,HN006,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0217,HN007,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0218,HN008,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0219,HN009,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0220,HN010,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0221,HN011,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0222,HN012,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0223,HN013,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0224,HN014,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0225,HN015,REG015,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
