validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes
MSTV0085,SURF-CRB2026V2R0340,CRB2026V2R0340,soft_anchor_review,1889,1850_1899,Ukraine,World War and public-information graphics,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Haus der Deutschen Kunst, Nazi Germany Grundsteinlegung 15.10.1933 House of German Art foundation stone. Hilter, Esser, Nuntius Vasallo di Torregrossa. Heute versteh ich Sie. NSDAP...",Wikimedia Commons,"Haus der Deutschen Kunst, Nazi Germany Grundsteinlegung 15.10.1933 House of German Art foundation stone. Hilter, Esser, Nuntius Vasallo di Torregrossa. Heute versteh ich Sie. NSDAP Propaganda Reichstagswahl 12 Nov Election poster xx1990.tif",image_file_source_witness,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0086,SURF-CRB2026V2R0339,CRB2026V2R0339,soft_anchor_review,1889,1850_1899,Ukraine,World War and public-information graphics,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Haus der Deutschen Kunst, Nazi Germany Grundsteinlegung 15.10.1933 House of German Art foundation stone. Hilter, Esser, Nuntius Vasallo di Torregrossa. Heute versteh ich Sie. NSDAP...",Wikimedia Commons,"Haus der Deutschen Kunst, Nazi Germany Grundsteinlegung 15.10.1933 House of German Art foundation stone. Hilter, Esser, Nuntius Vasallo di Torregrossa. Heute versteh ich Sie. NSDAP Propaganda Reichstagswahl 12 Nov Election poster xx199.jpg",image_file_source_witness,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0087,SURF-CAW2026R01089,CAW2026R01089,soft_anchor_review,1909,1900_1913,Aotearoa New Zealand,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / MA I291872 TePapa Odontria-rufescens-Given full.jpg / page 101551997,Wikimedia Commons,MA I291872 TePapa Odontria-rufescens-Given full.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0088,SURF-CAW2026R00885,CAW2026R00885,soft_anchor_review,1901,1900_1913,China / Hong Kong,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif / page 67806973,Wikimedia Commons,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0089,SURF-CAW2026R00787,CAW2026R00787,soft_anchor_review,1900,1900_1913,Ghana,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Light yellow-white human figures over early X-ray paintings - Google Art Project.jpg / page 21881631,Wikimedia Commons,Light yellow-white human figures over early X-ray paintings - Google Art Project.jpg,image_file_source_witness,main_needs_text,SURF-CAW2026R00787,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0090,SURF-CCE2026R00151,CCE2026R00151,soft_anchor_review,1907,1900_1913,India,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Grimaults cigarette ad.jpg / page 26819367,Wikimedia Commons,Grimaults cigarette ad.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0091,SURF-CAW2026R01038,CAW2026R01038,soft_anchor_review,1906,1900_1913,Lebanon,Travel and transport poster culture,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / How to ""make good"" in the ice cream pyramid and cone business - DPLA - f714cd3739109437fb3b9d4255a1e7dc (page 45).jpg / page 161891518",Wikimedia Commons,"How to ""make good"" in the ice cream pyramid and cone business - DPLA - f714cd3739109437fb3b9d4255a1e7dc (page 45).jpg",image_file_source_witness,main_needs_text,SURF-CAW2026R01038,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0092,SURF-COM1970R017,COM1970R017,soft_anchor_review,1913,1900_1913,United Kingdom,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,At the R.A. by the Underground.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R017,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0093,SURF-COM1970R018,COM1970R018,soft_anchor_review,1913,1900_1913,United Kingdom,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Up River by the Underground.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0094,SURF-CRG2026R0370,CRG2026R0370,soft_anchor_review,1919,1914_1945,Australia / Indigenous,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / The Fremantle Wharf Crisis of 1919—Disputes Committee.png / page 5130411,Wikimedia Commons,The Fremantle Wharf Crisis of 1919—Disputes Committee.png,image_file_source_witness,main_needs_text,SURF-CRG2026R0370,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0095,SURF-COM1970R048,COM1970R048,soft_anchor_review,1931,1914_1945,France,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Enfants ne jouez pas à la guerre.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R048,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0096,SURF-COM1970R055,COM1970R055,soft_anchor_review,1938,1914_1945,France,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Affiche Teatro Pacini.png,image_file_source_witness,manual_hold,,manual_relation_review,medium,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0097,SURF-COM1970R040,COM1970R040,soft_anchor_review,1930,1914_1945,France,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Promesses et réalités - Travailleur contre les démagogues socialo-bourgeois.jpg,image_file_source_witness,manual_hold,,manual_relation_review,medium,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0098,SURF-COM1970R077,COM1970R077,soft_anchor_review,1940,1914_1945,France,World War and public-information graphics,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Plougonvelin - Musée Mémoires 39-45 22.jpg,image_file_source_witness,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0099,SURF-COM1970R041,COM1970R041,soft_anchor_review,1930,1914_1945,Germany,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Rolf Niczky - Garmisch-Partenkirchen. Heilklimatischer Kurort.png,source_cluster_member,sub_under_packet,Germany|Midcentury modern graphic communication|Wikimedia Commons|1930s,member_of_source_cluster_packet,medium,none,revise,medium,soft_anchor_in_large_cluster_needs_parent_review,commons_file_source; large_cluster; no_subsheet_relation,"Large cluster membership suggests packet relation, but parent selection remains unresolved.",pending,
MSTV0100,SURF-COM1970R035,COM1970R035,soft_anchor_review,1930,1914_1945,Germany,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Jupp Wiertz Köln.jpg,source_cluster_member,sub_under_packet,Germany|Midcentury modern graphic communication|Wikimedia Commons|1930s,member_of_source_cluster_packet,medium,none,revise,medium,soft_anchor_in_large_cluster_needs_parent_review,commons_file_source; large_cluster; no_subsheet_relation,"Large cluster membership suggests packet relation, but parent selection remains unresolved.",pending,
MSTV0101,SURF-CAW2026R02074,CAW2026R02074,soft_anchor_review,1940,1914_1945,India,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Sakunthala 1940 filmposter.jpg / page 110938344,Wikimedia Commons,Sakunthala 1940 filmposter.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0102,SURF-CAW2026R01955,CAW2026R01955,soft_anchor_review,1940,1914_1945,India,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Matchbox label - Blue Bird - India (circa 1940s) - MBP1453385015.jpg / page 189898660,Wikimedia Commons,Matchbox label - Blue Bird - India (circa 1940s) - MBP1453385015.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0103,SURF-COM1970R090,COM1970R090,soft_anchor_review,1943,1914_1945,Switzerland,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,CH-NB Poster Collection SNL POL 371.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R090,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0104,SURF-COM1970R070,COM1970R070,soft_anchor_review,1940,1914_1945,United States,World War and public-information graphics,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Jugoslavia's merchant seamen fight - DPLA - ede392cde2103cae518df99095c3d962.jpg,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0105,SURF-COM1970R087,COM1970R087,soft_anchor_review,1942,1914_1945,United States,World War and public-information graphics,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,THE FLOOR IS FOR WALKING NOT TO BREAK A FALL - NARA - 515595.jpg,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0106,SURF-COM1970R060,COM1970R060,soft_anchor_review,1939,1914_1945,United States,New Deal and civic poster programs,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,R.U.R. by Karel Čapek 1939.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R060,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0107,SURF-COM1970R085,COM1970R085,soft_anchor_review,1942,1914_1945,United States,World War and public-information graphics,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Absent without reason...Is this you^ - NARA - 513749.jpg,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0108,SURF-COM1970R061,COM1970R061,soft_anchor_review,1940,1914_1945,United States,World War and public-information graphics,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,"""For Liberty and Peace on Earth Give War Bonds"" - NARA - 514290.jpg",source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0109,SURF-CAW2026R01272,CAW2026R01272,soft_anchor_review,1917,1914_1945,United States,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Lest they perish Campaign for $30,000,000 - American Committee for Relief in the Near East-Armenia-Greece-Syria-Persia - - W.B. King ; Conwell Graphic Companies, N.Y. LCCN2002711981.jpg...",Wikimedia Commons,"Lest they perish Campaign for $30,000,000 - American Committee for Relief in the Near East-Armenia-Greece-Syria-Persia - - W.B. King ; Conwell Graphic Companies, N.Y. LCCN2002711981.jpg",image_file_source_witness,main_needs_text,SURF-CAW2026R01272,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0110,SURF-CAW2026R02363,CAW2026R02363,soft_anchor_review,1952,1946_1969,Aotearoa New Zealand,World War and public-information graphics,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Glass form (AM 1987.753-5).jpg / page 83838471,Wikimedia Commons,Glass form (AM 1987.753-5).jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0111,SURF-CAW2026R02683,CAW2026R02683,soft_anchor_review,1965,1946_1969,Aotearoa New Zealand,World War and public-information graphics,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Poster (reproduction) (AM 614940-2).jpg / page 65667493,Wikimedia Commons,Poster (reproduction) (AM 614940-2).jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0112,SURF-CGS2026R0469,CGS2026R0469,soft_anchor_review,1947,1946_1969,Brazil,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Poster promocional de Querida Susana (1947).jpg / page 192882477,Wikimedia Commons,Poster promocional de Querida Susana (1947).jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0113,SURF-PWC2026R004,PWC2026R004,soft_anchor_review,1968,1946_1969,China / Hong Kong,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Comrade Bethune's Unselfish Spirit poster.png,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0114,SURF-CRB2026V2R0274,CRB2026V2R0274,soft_anchor_review,1950,1946_1969,Georgia,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / ""Pastures For Habersham County"" brochures by S. C. Gunnels, county agent - DPLA - 61e5c0f2980eaf4b457ddd178e0fce34.jpg / page 99330601",Wikimedia Commons,"""Pastures For Habersham County"" brochures by S. C. Gunnels, county agent - DPLA - 61e5c0f2980eaf4b457ddd178e0fce34.jpg",image_file_source_witness,main_needs_text,SURF-CRB2026V2R0274,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0115,SURF-CAW2026R02344,CAW2026R02344,soft_anchor_review,1952,1946_1969,Latin America,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Jacket, formal (AM 2017.66.10-12).jpg / page 83524245",Wikimedia Commons,"Jacket, formal (AM 2017.66.10-12).jpg",image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0116,SURF-COM1970R097,COM1970R097,soft_anchor_review,1950,1946_1969,United States,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,"Farrell Lines ""Happy Ships"".jpg",image_file_source_witness,main_needs_text,SURF-COM1970R097,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0117,SURF-COM1970R094,COM1970R094,soft_anchor_review,1950,1946_1969,United States,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,"""Grain Is Food – Keep It Clean."" Program (FDA053) (7039710465).jpg",image_file_source_witness,main_needs_text,SURF-COM1970R094,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0118,SURF-PWC2026R008,PWC2026R008,soft_anchor_review,1972,1970_1989,Germany,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Olympic games 1972 gymnastics 0532.JPG,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0119,SURF-PWC2026R007,PWC2026R007,soft_anchor_review,1972,1970_1989,Germany,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Olympic games 1972 cycling 0533.JPG,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0120,SURF-PWC2026R011,PWC2026R011,soft_anchor_review,1972,1970_1989,Germany,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Olympic games 1972 pictogramms swimming hall 0525 a.jpg,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0121,SURF-PWC2026R009,PWC2026R009,soft_anchor_review,1972,1970_1989,Germany,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Olympic games 1972 pictogramms olympic station 0877 a.jpg,source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; large_cluster; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0122,SURF-CRG2026R2818,CRG2026R2818,soft_anchor_review,1975,1970_1989,India,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Political data of special interest to women in Indiana - DPLA - 0369d184e3de8df07df2340e0d826c24 (page 6).jpg / page 117371470,Wikimedia Commons,Political data of special interest to women in Indiana - DPLA - 0369d184e3de8df07df2340e0d826c24 (page 6).jpg,image_file_source_witness,main_needs_text,SURF-CRG2026R2818,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0123,SURF-CRG2026R3558,CRG2026R3558,soft_anchor_review,1980,1970_1989,Iran,World War and public-information graphics,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Iranian military propaganda aimed at Iraqi soldiers (1).png / page 123371486,Wikimedia Commons,Iranian military propaganda aimed at Iraqi soldiers (1).png,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0124,SURF-CRB2026V2R0455,CRB2026V2R0455,soft_anchor_review,1979,1970_1989,Iran,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / PMOI Poster (1).jpg / page 117022662,Wikimedia Commons,PMOI Poster (1).jpg,image_file_source_witness,main_needs_text,SURF-CRB2026V2R0455,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0125,SURF-CAW2026R03108,CAW2026R03108,soft_anchor_review,1988,1970_1989,Syria,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / Ta'lim al-lugha bayna al-waqi' wal-tumuh (Dār Ṭalās, 1988) Book Cover.jpg / page 186657348",Wikimedia Commons,"Ta'lim al-lugha bayna al-waqi' wal-tumuh (Dār Ṭalās, 1988) Book Cover.jpg",image_file_source_witness,main_needs_text,SURF-CAW2026R03108,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0126,SURF-CRG2026R2945,CRG2026R2945,soft_anchor_review,1976,1970_1989,United States,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Nelson Royal - WRESTLING PROGRAM NWA n.260 1976 magazine cover.jpg / page 76963122,Wikimedia Commons,Nelson Royal - WRESTLING PROGRAM NWA n.260 1976 magazine cover.jpg,periodical_or_issue,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0127,SURF-CAW2026R03401,CAW2026R03401,soft_anchor_review,1999,1990_1999,Bulgaria,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Book of Mormon - Bulgarian.jpg / page 90943547,Wikimedia Commons,Book of Mormon - Bulgarian.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0128,SURF-PWC2026R015,PWC2026R015,soft_anchor_review,1996,1990_1999,China / Hong Kong,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,1940 Chinese Propaganda Poster Depicting the Collapse of the KMT–CCP United Front and the Merger of the Provisional and Reformed Governments.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0129,SURF-PWC2026R014,PWC2026R014,soft_anchor_review,1996,1990_1999,China / Hong Kong,World War and public-information graphics,poster / pictogram / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,1937 great typhoon of hong kong poster.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,soft_anchor_with_blocker_requires_manual_review,commons_file_source; transnational_region; no_subsheet_relation,"The row may be anchor-worthy, but blocker risk prevents automatic role assignment.",pending,
MSTV0130,SURF-CAW2026R03345,CAW2026R03345,soft_anchor_review,1996,1990_1999,Fiji,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / The Venetian (5779341737).jpg / page 24269169,Wikimedia Commons,The Venetian (5779341737).jpg,image_file_source_witness,main_needs_text,SURF-CAW2026R03345,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0131,SURF-CRB2026V2R0697,CRB2026V2R0697,soft_anchor_review,1998,1990_1999,Indonesia,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Sts131 crewposter.jpg / page 13250218,Wikimedia Commons,Sts131 crewposter.jpg,image_file_source_witness,main_needs_text,SURF-CRB2026V2R0697,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,
MSTV0132,SURF-CCE2026R00841,CCE2026R00841,soft_anchor_review,1990,1990_1999,Poland,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Tramwaj Dziennik Dolnośląski.jpg / page 14865752,Wikimedia Commons,Tramwaj Dziennik Dolnośląski.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
MSTV0133,SURF-CCT2026R01737,CCT2026R01737,soft_anchor_review,1991,1990_1999,Serbia,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Radoslav Zecevic Lek od breskvinog lisca cover 1991.jpg / page 188354787,Wikimedia Commons,Radoslav Zecevic Lek od breskvinog lisca cover 1991.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,
