source_name,region,object_count,first_year,last_year
Private collection scan via Wikimedia Commons,Nepal,2,1881,1881
Private collection scan via Wikimedia Commons,Pakistan,2,1962,1984
Private collection scan via Wikimedia Commons,Palestine / transnational,2,1928,1940
Private collection scan via Wikimedia Commons,Poland,2,1937,1939
Private collection scan via Wikimedia Commons,Samoa,2,1900,1900
Private collection scan via Wikimedia Commons,Turkmenistan,2,1990,1990
Private collection scan via Wikimedia Commons,Vietnam,2,1980,2010
Private collection scan via Wikimedia Commons,Zimbabwe,2,2006,2006
Roseberys auction via Wikimedia Commons,Iran,2,1850,1850
Science History Institute via Wikimedia Commons,Peru,2,1865,1865
Stamp Mall via Wikimedia Commons,Brazil,2,1943,1943
U.S. National Archives via Wikimedia Commons,China / Hong Kong,2,1948,1948
U.S. National Archives via Wikimedia Commons,Philippines,2,1943,1950
U.S. National Archives via Wikimedia Commons,Vietnam,2,1950,1952
Ukraine Post via Wikimedia Commons,Ukraine,2,1994,2018
V&A Collections API,Egypt,2,1942,1987
V&A Collections API,Mexico,2,1950,2013
V&A Collections API,Vietnam,2,1969,1975
WNS Stamps via Wikimedia Commons,Tajikistan,2,2004,2006
Wikimedia Commons contributor record via Wikimedia Commons,Ghana,2,1874,1968
Wikimedia Commons contributor record via Wikimedia Commons,Iran,2,1972,2012
Wikimedia Commons contributor record via Wikimedia Commons,Nicaragua,2,1984,1984
Wikimedia Commons contributor record via Wikimedia Commons,Peru,2,2009,2010
Wikimedia Commons contributor record via Wikimedia Commons,Russia,2,1917,1930
Wikimedia Commons contributor record via Wikimedia Commons,Senegal,2,2007,2007
Wikimedia Commons contributor record via Wikimedia Commons,Serbia,2,1913,1980
Yale University Art Gallery Linked Art,Georgia,2,2001,2002
Yale University Art Gallery Linked Art,Korean Peninsula,2,2002,2004
Yale University Art Gallery Linked Art,United Kingdom,2,2000,2002
cinemaportuguesmemoriale.pt via Wikimedia Commons,Portugal,2,1934,1935
eBay via Wikimedia Commons,Tunisia,2,1992,1992
film.ua via Wikimedia Commons,Ukraine,2,2019,2019
flickr.com via Wikimedia Commons,Algeria,2,1950,1954
flickr.com via Wikimedia Commons,Aotearoa New Zealand,2,1935,2015
flickr.com via Wikimedia Commons,Germany,2,1930,1940
flickr.com via Wikimedia Commons,India,2,1933,2009
flickr.com via Wikimedia Commons,Iran,2,1979,2009
flickr.com via Wikimedia Commons,Morocco,2,2008,2019
flickr.com via Wikimedia Commons,Philippines,2,1930,2013
flickr.com via Wikimedia Commons,Uganda,2,2004,2009
flickr.com via Wikimedia Commons,Ukraine,2,1941,1941
gmic.co.uk via Wikimedia Commons,Bulgaria,2,1877,1918
mavka.ua via Wikimedia Commons,Ukraine,2,2021,2021
media.iwm.org.uk via Wikimedia Commons,United Kingdom,2,1939,1940
mydvdlist.co.kr via Wikimedia Commons,Korean Peninsula,2,1957,1958
people.cohums.ohio-state.edu via Wikimedia Commons,China / Hong Kong,2,1948,1949
philaseiten.de via Wikimedia Commons,Iraq,2,1960,1960
stoa.usp.br via Wikimedia Commons,Iran,2,1963,1978
2001-2009.state.gov via Wikimedia Commons,Tunisia,1,2008,2008
Art Institute of Chicago API,Austria,1,2003,2003
Art Institute of Chicago API,Brazil,1,2018,2018
Art Institute of Chicago API,Ireland,1,2011,2011
Art Institute of Chicago API,Poland,1,1960,1960
Art Institute of Chicago API,Puerto Rico,1,2005,2005
Art Institute of Chicago API,Switzerland,1,1921,1921
Bibliothèques spécialisées de Paris via Wikimedia Commons,Palestine / transnational,1,1898,1898
Bophana Audiovisual Resource Center,China / Hong Kong,1,2015,2015
Cleveland Museum Open Access API,Belgium,1,1897,1897
Cleveland Museum Open Access API,Germany,1,1923,1923
Cleveland Museum Open Access API,United Kingdom,1,1876,1876
Colnect via Wikimedia Commons,China / Hong Kong,1,1998,1998
Colnect via Wikimedia Commons,Cuba / transnational,1,1969,1969
Colnect via Wikimedia Commons,Iran,1,1972,1972
Colnect via Wikimedia Commons,Kazakhstan,1,1970,1970
Colnect via Wikimedia Commons,Manchukuo,1,1943,1943
Colnect via Wikimedia Commons,North Macedonia,1,1997,1997
Colnect via Wikimedia Commons,Palestine / transnational,1,1949,1949
Colnect via Wikimedia Commons,Philippines,1,1982,1982
Colnect via Wikimedia Commons,Qatar,1,1971,1971
Colnect via Wikimedia Commons,Serbia,1,1966,1966
Colnect via Wikimedia Commons,Singapore,1,1942,1942
Colnect via Wikimedia Commons,Solomon Islands,1,1971,1971
Colnect via Wikimedia Commons,Sri Lanka,1,1969,1969
Colnect via Wikimedia Commons,Turkey,1,1950,1950
Cooper Hewitt Collection GraphQL API,Australia,1,2009,2009
Cooper Hewitt Collection GraphQL API,Austria,1,1830,1830
Cooper Hewitt Collection GraphQL API,Estonia,1,1990,1990
Cooper Hewitt Collection GraphQL API,Greece,1,1990,1990
Cooper Hewitt Collection GraphQL API,Netherlands,1,1969,1969
Cooper Hewitt Collection GraphQL API,Norway,1,2010,2010
Cooper Hewitt Collection GraphQL API,Russia,1,1925,1925
Cooper Hewitt Collection GraphQL API,Spain,1,1925,1925
Cooper Hewitt Collection GraphQL API,Sweden,1,1990,1990
Cooper Hewitt Collection GraphQL API,Zimbabwe,1,1901,1901
Creator-contributed record via Wikimedia Commons,Bahrain,1,2012,2012
Creator-contributed record via Wikimedia Commons,Belarus,1,1945,1945
Creator-contributed record via Wikimedia Commons,Cambodia,1,2025,2025
Creator-contributed record via Wikimedia Commons,China,1,1999,1999
Creator-contributed record via Wikimedia Commons,Ecuador,1,1865,1865
Creator-contributed record via Wikimedia Commons,Finland,1,1980,1980
Creator-contributed record via Wikimedia Commons,France,1,1913,1913
Creator-contributed record via Wikimedia Commons,Israel / Palestine,1,1980,1980
Creator-contributed record via Wikimedia Commons,Laos,1,1952,1952
Creator-contributed record via Wikimedia Commons,Lithuania,1,1916,1916
Creator-contributed record via Wikimedia Commons,Maldives,1,2026,2026
Creator-contributed record via Wikimedia Commons,Mongolia,1,1990,1990
Creator-contributed record via Wikimedia Commons,Samoa,1,2025,2025
Creator-contributed record via Wikimedia Commons,Turkmenistan,1,1990,1990
Creator-contributed record via Wikimedia Commons,United Kingdom,1,1852,1852
Digital Public Library of America via Wikimedia Commons,Brazil,1,1914,1914
Digital Public Library of America via Wikimedia Commons,Chile,1,1914,1914
Digital Public Library of America via Wikimedia Commons,Cuba / transnational,1,1860,1860
Digital Public Library of America via Wikimedia Commons,Georgia,1,1950,1950
Digital Public Library of America via Wikimedia Commons,Iraq,1,2003,2003
Digital Public Library of America via Wikimedia Commons,Jordan,1,1841,1841
Digital Public Library of America via Wikimedia Commons,Latin America,1,1956,1956
Digital Public Library of America via Wikimedia Commons,Yugoslavia,1,1940,1940
Gallica / BnF APIs,"Angers, France",1,1802,1802
Gallica / BnF APIs,Belgium,1,1958,1958
Gallica / BnF APIs,"Bordeaux, France",1,1826,1826
Gallica / BnF APIs,"Port-au-Prince, Haiti",1,1825,1825
Gallica / BnF APIs,United States,1,1828,1828
Georgia State University Library Digital Collections / CONTENTdm,Palestine / transnational,1,1975,1975
Georgia State University Library Digital Collections / CONTENTdm,Puerto Rico,1,1972,1972
Georgia State University Library Digital Collections / CONTENTdm,South Africa,1,1982,1982
I Bolli via Wikimedia Commons,Bosnia and Herzegovina,1,1969,1969
I Bolli via Wikimedia Commons,Georgia,1,2003,2003
I Bolli via Wikimedia Commons,Lithuania,1,1993,1993
Indiana State Library via Wikimedia Commons,United States,1,1807,1807
Library of Congress Prints and Photographs API,Bangladesh,1,1973,1973
Library of Congress Prints and Photographs API,Brazil,1,1965,1965
Library of Congress Prints and Photographs API,Egypt,1,1965,1965
Library of Congress Prints and Photographs API,El Salvador,1,1975,1975
Library of Congress Prints and Photographs API,Jordan,1,1970,1970
Library of Congress Prints and Photographs API,Pakistan,1,1965,1965
Library of Congress Prints and Photographs API,Serbia,1,1975,1975
Library of Congress Prints and Photographs API,Syria,1,1965,1965
Library of Congress Prints and Photographs API,Thailand,1,1965,1965
Library of Congress Prints and Photographs API,Venezuela,1,1970,1970
Library of Congress loc.gov API,Chile,1,1974,1974
Library of Congress loc.gov API,Italy,1,1902,1902
Library of Congress loc.gov API,"New York, United States",1,1801,1801
Library of Congress loc.gov API,Turkey,1,1924,1924
Library of Congress loc.gov API,United Kingdom,1,1885,1885
Library of Congress via Wikimedia Commons,Argentina,1,1898,1898
Library of Congress via Wikimedia Commons,Australia / Indigenous,1,1914,1914
Library of Congress via Wikimedia Commons,Brazil,1,1932,1932
Library of Congress via Wikimedia Commons,Chile,1,1970,1970
Library of Congress via Wikimedia Commons,Colombia,1,1903,1903
Library of Congress via Wikimedia Commons,Democratic Republic of the Congo,1,2014,2014
Library of Congress via Wikimedia Commons,France,1,1915,1915
Library of Congress via Wikimedia Commons,Georgia,1,1872,1872
Library of Congress via Wikimedia Commons,Iran,1,1965,1965
Library of Congress via Wikimedia Commons,Korean Peninsula,1,1952,1952
Library of Congress via Wikimedia Commons,Mexico,1,1898,1898
Library of Congress via Wikimedia Commons,Nigeria,1,1966,1966
Library of Congress via Wikimedia Commons,Oman,1,1938,1938
Library of Congress via Wikimedia Commons,Palestine / transnational,1,1936,1936
Library of Congress via Wikimedia Commons,Poland,1,1909,1909
Library of Congress via Wikimedia Commons,Solomon Islands,1,1856,1856
Library of Congress via Wikimedia Commons,Sri Lanka,1,1892,1892
Library of Congress via Wikimedia Commons,Turkey,1,1917,1917
Malaysia Design Archive,Singapore,1,1959,1959
Museum of New Zealand Te Papa Tongarewa via Wikimedia Commons,Papua New Guinea,1,1972,1972
Nasjonalmuseet Design collection / DigitaltMuseum,Italy,1,1897,1897
Nationaal Museum van Wereldculturen via Wikimedia Commons,Egypt,1,1960,1960
POLONA / National Library of Poland via Wikimedia Commons,Palestine / transnational,1,1937,1937
POLONA / National Library of Poland via Wikimedia Commons,Poland,1,1945,1945
Pacific Community Digital Library,Hawaii,1,2019,2019
Pacific Community Digital Library,Tokelau,1,2005,2005
Private collection scan via Wikimedia Commons,Austria,1,1915,1915
Private collection scan via Wikimedia Commons,Bangladesh,1,1972,1972
Private collection scan via Wikimedia Commons,Botswana,1,1985,1985
Private collection scan via Wikimedia Commons,Burundi,1,1974,1974
Private collection scan via Wikimedia Commons,Chile,1,1982,1982
Private collection scan via Wikimedia Commons,Ecuador,1,1930,1930
Private collection scan via Wikimedia Commons,Kenya,1,1929,1929
Private collection scan via Wikimedia Commons,Myanmar,1,1937,1937
Private collection scan via Wikimedia Commons,Oman,1,1944,1944
Private collection scan via Wikimedia Commons,Philippines,1,1932,1932
Private collection scan via Wikimedia Commons,Taiwan,1,1955,1955
Private collection scan via Wikimedia Commons,Tonga,1,1897,1897
Private collection scan via Wikimedia Commons,United Kingdom,1,1911,1911
Royal Museums Greenwich via Wikimedia Commons,India,1,2014,2014
Royal Museums Greenwich via Wikimedia Commons,Tonga,1,1831,1831
Science History Institute via Wikimedia Commons,Egypt,1,1944,1944
Science History Institute via Wikimedia Commons,Iran,1,1865,1865
Science History Institute via Wikimedia Commons,Mexico,1,1919,1919
Science History Institute via Wikimedia Commons,Philippines,1,1946,1946
Seattle Public Library via Wikimedia Commons,United States,1,1968,1968
Smithsonian National Postal Museum via Wikimedia Commons,Georgia,1,1887,1887
Smithsonian National Postal Museum via Wikimedia Commons,Mozambique,1,1912,1912
Smithsonian National Postal Museum via Wikimedia Commons,Philippines,1,1906,1906
Smithsonian Open Access,Georgia,1,1850,1850
Smithsonian Open Access,United Kingdom,1,1840,1840
StampWorld via Wikimedia Commons,United Arab Emirates,1,1967,1967
StampWorld via Wikimedia Commons,United States,1,1969,1969
Temple University Libraries Digital Collections / CONTENTdm,United States,1,1994,1994
The Met Open Access,Mexico,1,1945,1945
V&A Collections API,Aotearoa New Zealand,1,1983,1983
V&A Collections API,Australia / Indigenous,1,1912,1912
V&A Collections API,India,1,1966,1966
V&A Collections API,Indonesia,1,1975,1975
V&A Collections API,Korean Peninsula,1,2009,2009
V&A Collections API,Norway,1,1951,1951
V&A Collections API,South Africa,1,2009,2009
Victoria and Albert Museum Collections API,Brazil,1,1972,1972
Victoria and Albert Museum Collections API,France,1,1897,1897
WNS Stamps via Wikimedia Commons,Romania,1,2007,2007
Wellcome Collection Catalogue API,Austria,1,1957,1957
Wellcome Collection Catalogue API,Denmark,1,1946,1946
Wellcome Collection Catalogue API,South Africa,1,1950,1950
Wikimedia Commons contributor record via Wikimedia Commons,Algeria,1,1965,1965
Wikimedia Commons contributor record via Wikimedia Commons,Australia,1,1800,1800
Wikimedia Commons contributor record via Wikimedia Commons,Austria,1,1814,1814
Wikimedia Commons contributor record via Wikimedia Commons,Bosnia and Herzegovina,1,2008,2008
Wikimedia Commons contributor record via Wikimedia Commons,Bulgaria,1,2013,2013
Wikimedia Commons contributor record via Wikimedia Commons,Burundi,1,1970,1970
Wikimedia Commons contributor record via Wikimedia Commons,Chile,1,2009,2009
Wikimedia Commons contributor record via Wikimedia Commons,Democratic Republic of the Congo,1,2013,2013
Wikimedia Commons contributor record via Wikimedia Commons,El Salvador,1,1987,1987
Wikimedia Commons contributor record via Wikimedia Commons,Indonesia,1,1931,1931
Wikimedia Commons contributor record via Wikimedia Commons,Iraq,1,2007,2007
Wikimedia Commons contributor record via Wikimedia Commons,Maldives,1,2014,2014
Wikimedia Commons contributor record via Wikimedia Commons,Mauritius,1,2013,2013
Wikimedia Commons contributor record via Wikimedia Commons,Nigeria,1,2013,2013
Wikimedia Commons contributor record via Wikimedia Commons,North Korea,1,1987,1987
Wikimedia Commons contributor record via Wikimedia Commons,Papua New Guinea,1,1908,1908
Wikimedia Commons contributor record via Wikimedia Commons,Solomon Islands,1,1976,1976
Wikimedia Commons contributor record via Wikimedia Commons,South Africa,1,1936,1936
Wikimedia Commons contributor record via Wikimedia Commons,Sri Lanka,1,2011,2011
Wikimedia Commons contributor record via Wikimedia Commons,Syria,1,2004,2004
Wikimedia Commons contributor record via Wikimedia Commons,Thailand,1,1976,1976
Wikimedia Commons contributor record via Wikimedia Commons,Tonga,1,1886,1886
Wikimedia Commons contributor record via Wikimedia Commons,Uganda,1,2009,2009
Wikimedia Commons contributor record via Wikimedia Commons,United Arab Emirates,1,1893,1893
Wikimedia Commons contributor record via Wikimedia Commons,Uruguay,1,1994,1994
Wikimedia Commons contributor record via Wikimedia Commons,Uzbekistan,1,1989,1989
Wikimedia Commons contributor record via Wikimedia Commons,Venezuela,1,1960,1960
Wikimedia Commons contributor record via Wikimedia Commons,Yemen,1,1969,1969
Yale University Art Gallery Linked Art,Denmark,1,2006,2006
Yale University Art Gallery Linked Art,France,1,2001,2001
Yale University Art Gallery Linked Art,Hungary,1,2000,2000
Yale University Art Gallery Linked Art,Mexico,1,2002,2002
Yale University Art Gallery Linked Art,Peru,1,2007,2007
Yale University Art Gallery Linked Art,Poland,1,1995,1995
Yale University Art Gallery Linked Art,Turkey,1,2000,2000
abccultural.com.ar via Wikimedia Commons,Argentina,1,1942,1942
agenciabrasil.ebc.com.br via Wikimedia Commons,Brazil,1,2010,2010
agi.ac.za via Wikimedia Commons,South Africa,1,2008,2008
ajinomoto.co.jp via Wikimedia Commons,Global / transnational,1,1914,1914
ajman.shop-pro.jp via Wikimedia Commons,France,1,1956,1956
americanart.si.edu via Wikimedia Commons,United States,1,1977,1977
anet.be via Wikimedia Commons,Global / transnational,1,1907,1907
api.records.nsw.gov.au via Wikimedia Commons,Australia / Indigenous,1,1938,1938
archivesonline.wcc.govt.nz via Wikimedia Commons,Aotearoa New Zealand,1,1981,1981
archiwumallegro.pl via Wikimedia Commons,Ukraine,1,2001,2001
art.state.gov via Wikimedia Commons,United States,1,1970,1970
asia.si.edu via Wikimedia Commons,China / Hong Kong,1,1905,1905
bali.kemenag.go.id via Wikimedia Commons,Indonesia,1,2022,2022
banisadr.com.fr via Wikimedia Commons,Iran,1,1979,1979
bbc.co.uk via Wikimedia Commons,Brazil,1,1932,1932
beeldbank.amsterdam.nl via Wikimedia Commons,Uruguay,1,1928,1928
bfa.gov.bd via Wikimedia Commons,Bangladesh,1,1959,1959
bgb.rs via Wikimedia Commons,Serbia,1,1930,1930
bildarchivaustria.at via Wikimedia Commons,Palestine / transnational,1,1933,1933
bjksdigital.museusegall.org.br via Wikimedia Commons,Brazil,1,1922,1922
bl.uk via Wikimedia Commons,Brazil,1,1867,1867
blogs.estadao.com.br via Wikimedia Commons,Brazil,1,1928,1928
books.google.co.uk via Wikimedia Commons,South Africa,1,1832,1832
books.google.com via Wikimedia Commons,Spain,1,1809,1809
books.google.com.ar via Wikimedia Commons,Argentina,1,1928,1928
britishnewspaperarchive.co.uk via Wikimedia Commons,Iran,1,1889,1889
buecher.de via Wikimedia Commons,Brazil,1,1942,1942
casarosada.gov.ar via Wikimedia Commons,Argentina,1,2008,2008
catalog.archives.gov via Wikimedia Commons,Korean Peninsula,1,1951,1951
centrodae.cl via Wikimedia Commons,Chile,1,1910,1910
cgi.ebay.com via Wikimedia Commons,Argentina,1,1937,1937
cgi.ebay.com via Wikimedia Commons,Global / transnational,1,1883,1883
chineseposters.net via Wikimedia Commons,China / Hong Kong,1,1956,1956
cifr.it via Wikimedia Commons,Indonesia,1,1882,1882
cinechile.cl via Wikimedia Commons,Chile,1,1941,1941
cloudmakingmachine.de via Wikimedia Commons,Iraq,1,2017,2017
collections.lib.uwm.edu via Wikimedia Commons,Nigeria,1,1961,1961
completestamp.co.nz via Wikimedia Commons,Aotearoa New Zealand,1,1940,1940
content.lib.washington.edu via Wikimedia Commons,Jordan,1,1900,1900
cup.com.hk via Wikimedia Commons,China / Hong Kong,1,1941,1941
customs.gov.au via Wikimedia Commons,Australia / Indigenous,1,2013,2013
dailymail.co.uk via Wikimedia Commons,Brazil,1,1854,1854
data.adic.co.kr via Wikimedia Commons,Korean Peninsula,1,1953,1953
dds.crl.edu via Wikimedia Commons,India,1,1858,1858
desa.pl via Wikimedia Commons,Poland,1,1900,1900
diamant24-fatenhamama.blogspot.ae via Wikimedia Commons,Egypt,1,1978,1978
dig.nmtl.gov.tw via Wikimedia Commons,Taiwan,1,1934,1934
digital.iai.spk-berlin.de via Wikimedia Commons,Argentina,1,1916,1916
digital.nls.uk via Wikimedia Commons,United Kingdom,1,1819,1819
digital.wienbibliothek.at via Wikimedia Commons,Morocco,1,1917,1917
digitalna.bgb.rs via Wikimedia Commons,Serbia,1,1933,1933
digitalrepository.trincoll.edu via Wikimedia Commons,Taiwan,1,1920,1920
dsal.uchicago.edu via Wikimedia Commons,India,1,1909,1909
eBay via Wikimedia Commons,Aotearoa New Zealand,1,1984,1984
eBay via Wikimedia Commons,Chile,1,1970,1970
eBay via Wikimedia Commons,China / Hong Kong,1,1999,1999
eBay via Wikimedia Commons,Indonesia,1,1960,1960
eBay via Wikimedia Commons,Jordan,1,1965,1965
eBay via Wikimedia Commons,Pakistan,1,2002,2002
eBay via Wikimedia Commons,Turkey,1,1987,1987
eBay via Wikimedia Commons,United States,1,1986,1986
eBay via Wikimedia Commons,Zimbabwe,1,1985,1985
ecx.images-amazon.com via Wikimedia Commons,Taiwan,1,1994,1994
editora.ufpr.br via Wikimedia Commons,Brazil,1,2005,2005
ejection-history.org.uk via Wikimedia Commons,Iran,1,1974,1974
emuseum.anmm.gov.au via Wikimedia Commons,Australia / Indigenous,1,1906,1906
enciclopedia.itaucultural.org.br via Wikimedia Commons,Brazil,1,1952,1952
enu.kz via Wikimedia Commons,Kazakhstan,1,2021,2021
epaper.ntu.edu.tw via Wikimedia Commons,Taiwan,1,1911,1911
estantevirtual.com.br via Wikimedia Commons,Brazil,1,1988,1988
filmweb.pl via Wikimedia Commons,Poland,1,1936,1936
find.natlib.govt.nz via Wikimedia Commons,Aotearoa New Zealand,1,1853,1853
finna.fi via Wikimedia Commons,Global / transnational,1,1970,1970
flickr.com via Wikimedia Commons,Armenia,1,2012,2012
flickr.com via Wikimedia Commons,Australia / Indigenous,1,2016,2016
flickr.com via Wikimedia Commons,Chile,1,1998,1998
flickr.com via Wikimedia Commons,Cuba / transnational,1,2015,2015
flickr.com via Wikimedia Commons,Ethiopia,1,2019,2019
flickr.com via Wikimedia Commons,Georgia,1,2021,2021
flickr.com via Wikimedia Commons,Indonesia,1,2015,2015
flickr.com via Wikimedia Commons,Iraq,1,2018,2018
flickr.com via Wikimedia Commons,Italy,1,1950,1950
flickr.com via Wikimedia Commons,Laos,1,1951,1951
flickr.com via Wikimedia Commons,Latin America,1,2014,2014
flickr.com via Wikimedia Commons,Lebanon,1,2001,2001
flickr.com via Wikimedia Commons,Moldova,1,2018,2018
flickr.com via Wikimedia Commons,Mozambique,1,1982,1982
flickr.com via Wikimedia Commons,Nepal,1,1959,1959
flickr.com via Wikimedia Commons,Palestine / transnational,1,2007,2007
flickr.com via Wikimedia Commons,Poland,1,1940,1940
flickr.com via Wikimedia Commons,Russia,1,1921,1921
flickr.com via Wikimedia Commons,Solomon Islands,1,1935,1935
flickr.com via Wikimedia Commons,Syria,1,2015,2015
flickr.com via Wikimedia Commons,Taiwan,1,2008,2008
flickr.com via Wikimedia Commons,Uruguay,1,2019,2019
flickr.com via Wikimedia Commons,Vietnam,1,2007,2007
flickr.com via Wikimedia Commons,Yemen,1,1962,1962
fondoeditorial.iep.org.pe via Wikimedia Commons,Peru,1,2014,2014
gen.scatteredmind.co.uk via Wikimedia Commons,Poland,1,1922,1922
google.nl via Wikimedia Commons,Brazil,1,1943,1943
gov.ph via Wikimedia Commons,Philippines,1,1910,1910
gutenberg.org via Wikimedia Commons,United Kingdom,1,1834,1834
hdl.loc.gov via Wikimedia Commons,Cuba / transnational,1,1868,1868
hindutamil.in via Wikimedia Commons,India,1,1937,1937
historia.de via Wikimedia Commons,Germany,1,1900,1900
history.org.uk via Wikimedia Commons,Mexico,1,1950,1950
ihm.nlm.nih.gov via Wikimedia Commons,Korean Peninsula,1,2013,2013
image.blog.livedoor.jp via Wikimedia Commons,Malaysia,1,1942,1942
jakarta.go.id via Wikimedia Commons,Indonesia,1,1900,1900
jbc.bj.uj.edu.pl via Wikimedia Commons,Poland,1,1930,1930
jevrejskadigitalnabiblioteka.rs via Wikimedia Commons,North Macedonia,1,1941,1941
korea.net via Wikimedia Commons,Korean Peninsula,1,2014,2014
ksiegarnia.bn.org.pl via Wikimedia Commons,Ukraine,1,1934,1934
kura.aucklandlibraries.govt.nz via Wikimedia Commons,Aotearoa New Zealand,1,1937,1937
lapantalladelira.com.ar via Wikimedia Commons,Argentina,1,1933,1933
lastdodo.fr via Wikimedia Commons,Syria,1,1916,1916
leodis.net via Wikimedia Commons,United Kingdom,1,1824,1824
library.yale.edu via Wikimedia Commons,Croatia,1,1899,1899
litnet.co.za via Wikimedia Commons,South Africa,1,1929,1929
luna.lib.uchicago.edu via Wikimedia Commons,Korean Peninsula,1,1974,1974
magicasruinas.com.ar via Wikimedia Commons,Argentina,1,1930,1930
maharashtrapost.gov.in via Wikimedia Commons,India,1,2000,2000
maoeraobjects.ac.uk via Wikimedia Commons,China / Hong Kong,1,1956,1956
maps.lib.utexas.edu via Wikimedia Commons,Timor-Leste,1,1999,1999
maps.lib.utexas.edu via Wikimedia Commons,United States,1,1943,1943
mbc.malopolska.pl via Wikimedia Commons,Poland,1,1939,1939
mdz-nbn-resolving.de via Wikimedia Commons,Germany,1,1821,1821
media.iwm.org.uk via Wikimedia Commons,Brazil,1,1939,1939
media.stampworld.com via Wikimedia Commons,Democratic Republic of the Congo,1,1963,1963
meijigakuin.ac.jp via Wikimedia Commons,Indonesia,1,1932,1932
memoria.bn.br via Wikimedia Commons,Brazil,1,1952,1952
memoria.bn.gov.br via Wikimedia Commons,Brazil,1,1947,1947
minagro.gov.ua via Wikimedia Commons,Ukraine,1,2016,2016
mintic.gov.co via Wikimedia Commons,Colombia,1,2021,2021
mkw98.republika.pl via Wikimedia Commons,Poland,1,1922,1922
mountainstamp.com via Wikimedia Commons,Zambia,1,2002,2002
museum.seoul.kr via Wikimedia Commons,Korean Peninsula,1,1962,1962
museummusikindonesia.id via Wikimedia Commons,Indonesia,1,1972,1972
museusdoestado.rj.gov.br via Wikimedia Commons,Brazil,1,2008,2008
muzejunr.io.ua via Wikimedia Commons,Ukraine,1,1917,1917
naa12.naa.gov.au via Wikimedia Commons,Australia / Indigenous,1,1940,1940
nla.gov.au via Wikimedia Commons,Australia / Indigenous,1,1953,1953
no.pinterest.com via Wikimedia Commons,Brazil,1,1933,1933
nordicposters.se via Wikimedia Commons,Mexico,1,1932,1932
novekino.pl via Wikimedia Commons,Ukraine,1,2024,2024
nps.gov via Wikimedia Commons,Mexico,1,2018,2018
obtienearchivo.bcn.cl via Wikimedia Commons,Chile,1,1985,1985
ole.com.ar via Wikimedia Commons,Argentina,1,2011,2011
oregonnews.uoregon.edu via Wikimedia Commons,China / Hong Kong,1,1922,1922
oregonnews.uoregon.edu via Wikimedia Commons,Democratic Republic of the Congo,1,1893,1893
original-briefmarken.de via Wikimedia Commons,Laos,1,1961,1961
otago.ourheritage.ac.nz via Wikimedia Commons,Aotearoa New Zealand,1,1911,1911
paperspast.natlib.govt.nz via Wikimedia Commons,Aotearoa New Zealand,1,1908,1908
parresia.com.ng via Wikimedia Commons,Nigeria,1,2021,2021
pbc.rzeszow.pl via Wikimedia Commons,Poland,1,1914,1914
pdfbangla24.blogspot.in via Wikimedia Commons,Bangladesh,1,1931,1931
permalink.snl.ch via Wikimedia Commons,Global / transnational,1,1921,1921
permalink.snl.ch via Wikimedia Commons,Oman,1,2025,2025
pinterest.com via Wikimedia Commons,India,1,1936,1936
plakatpolski.pl via Wikimedia Commons,Poland,1,1960,1960
pm.ukrposhta.ua via Wikimedia Commons,Ukraine,1,2019,2019
polona2.pl via Wikimedia Commons,Poland,1,1939,1939
press.uchicago.edu via Wikimedia Commons,Taiwan,1,2013,2013
pressacademy.ap.gov.in via Wikimedia Commons,India,1,1962,1962
preview.redd.it via Wikimedia Commons,Kuwait,1,2023,2023
prl.cba.pl via Wikimedia Commons,Poland,1,1949,1949
proceso.com.mx via Wikimedia Commons,Mexico,1,1995,1995
ptt-museum.dk via Wikimedia Commons,Turkey,1,1940,1940
purl.pt via Wikimedia Commons,Global / transnational,1,1881,1881
putradzynonthemap.pl via Wikimedia Commons,Poland,1,2024,2024
qalbum.archives.qld.gov.au via Wikimedia Commons,Australia / Indigenous,1,1930,1930
repository.ubn.ru.nl via Wikimedia Commons,Mexico,1,1842,1842
resolver.kb.nl via Wikimedia Commons,Egypt,1,1930,1930
resolver.kb.nl via Wikimedia Commons,Latin America,1,1891,1891
restosdecoleccao.blogspot.pt via Wikimedia Commons,Angola,1,1929,1929
roots.sg via Wikimedia Commons,Singapore,1,1930,1930
rynekisztuka.pl via Wikimedia Commons,Poland,1,1912,1912
sahistory.org.za via Wikimedia Commons,Democratic Republic of the Congo,1,1960,1960
sammlungonline.mkg-hamburg.de via Wikimedia Commons,Global / transnational,1,1883,1883
scroll.in via Wikimedia Commons,Pakistan,1,1958,1958
sfa.nasa.gov via Wikimedia Commons,Indonesia,1,1998,1998
si.edu via Wikimedia Commons,Mexico,1,1948,1948
si.edu via Wikimedia Commons,United States,1,1970,1970
sk.kz via Wikimedia Commons,Kazakhstan,1,2013,2013
sociedadfilatelica.cl via Wikimedia Commons,Chile,1,1947,1947
spcbl.org.bd via Wikimedia Commons,Bangladesh,1,1988,1988
stadtarchiv.muenchen.de via Wikimedia Commons,Brazil,1,1934,1934
state.gov via Wikimedia Commons,United States,1,2019,2019
swistak.pl via Wikimedia Commons,Brazil,1,1935,1935
szukajwarchiwach.gov.pl via Wikimedia Commons,Poland,1,1930,1930
tomaspresidente.cl via Wikimedia Commons,Chile,1,2013,2013
trc-leiden.nl via Wikimedia Commons,China / Hong Kong,1,1930,1930
