queue_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_class,protocol_lane,adapter_type,detected_protocols,adapter_hint,capture_priority_next,candidate_priority,recommended_text_policy_next,recommended_image_policy_next,rights_risk,next_action,image_capture_boundary,source_url,final_url,notes
P1V2-043,CSS0074,Zotero Public Groups,Global,Transregional,Global,bibliographic community index,RSS/Atom source feed,rss_atom_source_adapter,,aggregator_probe_then_source_return,P1 text/source enrichment,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,community_or_cultural_review;manual_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.zotero.org/groups/,https://www.zotero.org/groups/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
P1V2-044,CSS0113,National Digital Library of India,South Asia,India / South Asia,India,digital library,JSON-LD page metadata,html_jsonld_source_adapter,JSON-LD;PDF,html_jsonld_adapter,P1 text/source enrichment,P0,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://ndl.iitkgp.ac.in/,https://ndl.iitkgp.ac.in/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
P1V2-045,CSS0056,La Patria,Latin America,Southern Cone,Uruguay,graphic design archive,JSON-LD page metadata,html_jsonld_source_adapter,JSON-LD,html_jsonld_adapter,P1 adapter build,P1,record text and source extraction,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://lapatria.uy/,https://lapatria.uy/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-046,CSS0025,Taiwan Design Research Institute,East Asia,Taiwan,Taiwan,design institution,JSON-LD page metadata,html_jsonld_source_adapter,JSON-LD,html_jsonld_adapter,P1 adapter build,P1,text/context extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.tdri.org.tw/,https://www.tdri.org.tw/zh-TW,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-047,CSS0141,National Library of Kazakhstan,Eastern Europe / Central Asia,Libraries / poster archives,Kazakhstan,national library,JSON-LD page metadata,html_jsonld_source_adapter,JSON-LD;PDF,html_jsonld_adapter,P1 text/source enrichment,P0,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://nabrk.kz/,https://nabrk.kz/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-048,CSS0067,Getty Research Portal,Global,Transregional,Global,research portal,JSON-LD page metadata,html_jsonld_source_adapter,JSON-LD,html_jsonld_adapter,P1 adapter build,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://portal.getty.edu/,https://primo.getty.edu/primo-explore/search?vid=GETTY_PORTAL,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
P1V2-049,CSS0043,Arabic Design Archive,MENA,Arab world,Egypt / Arab world,graphic design archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;Static JS App,iiif_manifest_adapter,P1 adapter build,P0,record text and relation extraction,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://arabicdesignarchive.com/,https://arabicdesignarchive.com/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-050,CSS0032,Grafis Nusantara,Southeast Asia,Indonesia,Indonesia,graphic archive / design history,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;RSS/Atom;JSON-LD;WordPress REST,iiif_manifest_adapter,P1 adapter build,P0,archive text and source links,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://grafisnusantara.com/,https://grafisnusantara.com/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-051,CSS0039,Priya Paul Collection,South Asia,India,India,popular visual culture collection,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;JSON-LD;Static JS App,iiif_manifest_adapter,P1 adapter build,P0,record metadata/context text,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://artsandculture.google.com/partner/priya-paul-collection,https://artsandculture.google.com/partner/priya-paul-collection,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-052,CSS0042,SADAA,South Asia,Diaspora,South Asian diaspora,diaspora arts archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P1,archive description and source text,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.sadaa.org/,https://sadaa.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-053,CSS0126,University of Pretoria Repository,Africa,Africa / diaspora,South Africa,institutional repository,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;DSpace,dspace_oai_or_rest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://repository.up.ac.za/,https://repository.up.ac.za/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-054,CSS0128,Biblioteca Nacional Argentina,Latin America / Caribbean,National / community archives,Argentina,national library,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;WordPress REST,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.bn.gov.ar/,https://www.bn.gov.ar/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
P1V2-055,CSS0132,Biblioteca Nacional Digital de Chile,Latin America / Caribbean,National / community archives,Chile,national digital library,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.bibliotecanacionaldigital.gob.cl/,https://www.bibliotecanacionaldigital.gob.cl/bnd/612/w3-channel.html,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
P1V2-056,CSS0053,Fundación IDA,Latin America,Southern Cone,Argentina,design archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;JSON-LD,iiif_manifest_adapter,P1 adapter build,P0,metadata and archive text,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.fundacionida.org/,https://www.fundacionida.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-057,CSS0130,Hemeroteca Nacional Digital de Mexico,Latin America / Caribbean,National / community archives,Mexico,newspaper/periodical archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://hndm.iib.unam.mx/,https://hndm.iib.unam.mx/index.php/es/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
P1V2-058,CSS0094,NDL Digital Collections,East Asia,Japan / Korea,Japan,national digital library,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://dl.ndl.go.jp/,https://dl.ndl.go.jp/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
P1V2-059,CSS0134,Princeton Latin American Ephemera,Latin America / Caribbean,National / community archives,Latin America / Caribbean,ephemera archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://lae.princeton.edu/,https://lae.princeton.edu/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
P1V2-060,CSS0138,POLONA,Eastern Europe / Central Asia,Libraries / poster archives,Poland,national digital library,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://polona.pl/,https://polona.pl/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-061,CSS0063,Trove,Oceania,Australia,Australia,national library aggregator,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P1,metadata/OCR text,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://trove.nla.gov.au/,https://trove.nla.gov.au/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-062,CSS0139,e-rara,Eastern Europe / Central Asia,Libraries / poster archives,Switzerland / Europe,rare books portal,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;OAI-PMH;RSS/Atom,iiif_manifest_adapter,P1 adapter build,P1,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.e-rara.ch/,https://www.e-rara.ch/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-063,CSS0002,It's Nice That,Global,Independent web,United Kingdom / transnational,design media,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;RSS/Atom;WordPress REST,iiif_manifest_adapter,P1 adapter build,P1,article text snippets and cited designer/source extraction,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.itsnicethat.com/,https://www.itsnicethat.com/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-064,CSS0008,People's Graphic Design Archive,Global,Community archive,United States / transnational,community archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;RSS/Atom;PDF,iiif_manifest_adapter,P1 adapter build,P0,metadata and citation enrichment,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,community_or_cultural_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://peoplesgdarchive.org/,https://peoplesgdarchive.org/,Important non-museum comparator; not a replacement source.
P1V2-065,CSS0005,The Brand Identity,Global,Independent web,United Kingdom / transnational,branding archive / media,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;GraphQL;Static JS App,iiif_manifest_adapter,P1 adapter build,P1,project text and studio/source extraction,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://the-brandidentity.com/,https://the-brandidentity.com/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-066,CSS0075,UnderConsideration Brand New,Global,Independent / media,Transregional,design media archive,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF;RSS/Atom;WordPress REST;PDF,iiif_manifest_adapter,P1 adapter build,P2,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.underconsideration.com/brandnew/,https://www.underconsideration.com/brandnew/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-067,CSS0077,Walker Art Center Design,Global,Independent / media,Transregional,institutional design writing,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,IIIF,iiif_manifest_adapter,P1 adapter build,P2,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://walkerart.org/magazine/categories/design,https://www.walkerart.org/reader/design/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-068,CSS0148,Auckland Libraries Heritage Collections,Oceania / Indigenous,Australia / Aotearoa,Aotearoa New Zealand,library heritage collections,CONTENTdm source metadata,contentdm_metadata_adapter,IIIF;CONTENTdm;Static JS App,contentdm_source_adapter,P1 adapter build,P1,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,community_or_cultural_review;manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://kura.aucklandlibraries.govt.nz/,https://kura.aucklandlibraries.govt.nz/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
P1V2-069,CSS0137,Czech Digital Library,Eastern Europe / Central Asia,Libraries / poster archives,Czech Republic,Kramerius digital library,Kramerius / IIIF source metadata,kramerius_metadata_adapter,IIIF;Kramerius,kramerius_adapter,P1 adapter build,P0,medium,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.digitalniknihovna.cz/,https://www.digitalniknihovna.cz/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-070,CSS0123,UCT Digital Collections,Africa,Africa / diaspora,South Africa,university digital collections,Omeka source metadata,omeka_metadata_adapter,Omeka;Static JS App,omeka_api_adapter,P1 adapter build,P0,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,extract source-level metadata and rights evidence only,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://digitalcollections.lib.uct.ac.za/,https://ibali.uct.ac.za/bot-challenge?redirect_url=%2F,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-071,CSS0037,Design Center of the Philippines,Southeast Asia,Philippines,Philippines,design institution,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P1,event/report text,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://designcenter.gov.ph/,https://www.designcenter.gov.ph/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-072,CSS0029,National Library Board Singapore / BiblioAsia,Southeast Asia,Singapore,Singapore,library publication / heritage text,Static JS/headless metadata,headless_metadata_probe_only,Static JS App,headless_metadata_probe_only,P1 adapter build,P1,essay citation extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://biblioasia.nlb.gov.sg/,https://biblioasia.nlb.gov.sg/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-073,CSS0030,Roots.sg,Southeast Asia,Singapore,Singapore,heritage portal / collection,Static JS/headless metadata,headless_metadata_probe_only,Static JS App,headless_metadata_probe_only,P1 adapter build,P1,object/article metadata extraction,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.roots.gov.sg/,https://www.roots.gov.sg/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-074,CSS0090,CAFA Art Museum,East Asia,China / Taiwan / Hong Kong,China,museum,Static JS/headless metadata,headless_metadata_probe_only,Static JS App,headless_metadata_probe_only,P1 adapter build,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.cafamuseum.org/,https://www.cafamuseum.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
P1V2-075,CSS0086,China Design Museum,East Asia,China / Taiwan / Hong Kong,China,institutional archive,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P0,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://cdm.caa.edu.cn/,https://cdm.caa.edu.cn/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
P1V2-076,CSS0019,Ginza Graphic Gallery,East Asia,Japan,Japan,exhibition archive,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P0,exhibition text and designer extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.dnpfcp.jp/gallery/ggg/,https://www.dnpfcp.jp/gallery/ggg/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-077,CSS0023,Korea Design Foundation / Design DB,East Asia,Korea,South Korea,design database / institution,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P1,article/source text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.designdb.com/,https://www.designdb.com/?menuno=668,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-078,CSS0022,Seoul Design Foundation / DDP,East Asia,Korea,South Korea,design institution,Static JS/headless metadata,headless_metadata_probe_only,,static_js_or_html_probe,P1 text/source enrichment,P1,event and exhibition text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.ddp.or.kr/,https://ddp.or.kr/?menuno=228,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-079,CSS0100,Seoul Museum of Art,East Asia,Japan / Korea,Korea,museum,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://sema.seoul.go.kr/,https://sema.seoul.go.kr/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
P1V2-080,CSS0088,Shanghai Library,East Asia,China / Taiwan / Hong Kong,China,public library,Static JS/headless metadata,headless_metadata_probe_only,Static JS App,headless_metadata_probe_only,P1 adapter build,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.library.sh.cn/,https://www.library.sh.cn/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
P1V2-081,CSS0147,Te Papa Collections,Oceania / Indigenous,Australia / Aotearoa,Aotearoa New Zealand,museum collections,Static JS/headless metadata,headless_metadata_probe_only,Static JS App,headless_metadata_probe_only,P1 adapter build,P1,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,community_or_cultural_review;manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://collections.tepapa.govt.nz/,https://collections.tepapa.govt.nz/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
P1V2-082,CSS0018,Tokyo ADC,East Asia,Japan,Japan,professional association / awards,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P0,history/event text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.tokyoadc.com/,https://www.tokyoadc.com/new/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-083,CSS0020,ddd Gallery,East Asia,Japan,Japan,exhibition archive,Static JS/headless metadata,headless_metadata_probe_only,,html_source_probe_then_manual_rules,P1 text/source enrichment,P0,exhibition text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.dnpfcp.jp/gallery/ddd/,https://www.dnpfcp.jp/gallery/ddd/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-084,CSS0064,AIATSIS Collection,Oceania,Australia / Indigenous,Australia / Indigenous,Indigenous cultural archive,Static JS/headless metadata,headless_metadata_probe_only,ArchiveSpace/EAD;Static JS App,headless_metadata_probe_only,P1 adapter build,P1,metadata/context text,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,community_or_cultural_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://aiatsis.gov.au/collection,https://aiatsis.gov.au/collection,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-085,CSS0061,Graphic Front,Eastern Europe,Romania,Romania,graphic design archive,Static JS/headless metadata,headless_metadata_probe_only,,static_js_or_html_probe,P1 text/source enrichment,P1,record text and tags,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.graphicfront.ro/,https://www.graphicfront.ro/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
