query_index,macro,country,object_term,query,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
204,_infer,_infer,poster,"""1997"" ""poster""",empty,0,0,0,488,213.6
205,_infer,_infer,political poster,"""1997"" ""political poster""",completed,0,0,23,488,215.9
206,_infer,_infer,propaganda poster,"""1997"" ""propaganda poster""",completed,0,0,50,488,220.6
207,_infer,_infer,film poster,"""1997"" ""film poster""",completed,0,0,3,488,222.0
208,_infer,_infer,book cover,"""1997"" ""book cover""",completed,0,0,50,488,226.9
209,_infer,_infer,postage stamp,"""1997"" ""postage stamp""",completed,0,0,50,488,230.5
210,_infer,_infer,travel poster,"""1997"" ""travel poster""",completed,0,0,17,488,232.2
211,_infer,_infer,poster,"""1996"" ""poster""",failed,0,1,0,488,249.2
212,_infer,_infer,political poster,"""1996"" ""political poster""",completed,0,0,50,488,257.1
213,_infer,_infer,propaganda poster,"""1996"" ""propaganda poster""",completed,0,0,50,488,259.6
214,_infer,_infer,film poster,"""1996"" ""film poster""",completed,0,0,50,488,262.0
215,_infer,_infer,book cover,"""1996"" ""book cover""",completed,1,0,49,489,265.7
216,_infer,_infer,postage stamp,"""1996"" ""postage stamp""",completed,0,0,50,489,268.9
217,_infer,_infer,travel poster,"""1996"" ""travel poster""",completed,0,0,50,489,271.4
218,_infer,_infer,poster,"""1995"" ""poster""",completed,0,0,50,489,274.4
219,_infer,_infer,political poster,"""1995"" ""political poster""",completed,0,0,39,489,276.8
220,_infer,_infer,propaganda poster,"""1995"" ""propaganda poster""",completed,0,0,50,489,279.4
221,_infer,_infer,film poster,"""1995"" ""film poster""",completed,0,0,43,489,282.0
222,_infer,_infer,book cover,"""1995"" ""book cover""",failed,0,1,0,489,299.0
223,_infer,_infer,postage stamp,"""1995"" ""postage stamp""",completed,2,0,48,491,318.3
224,_infer,_infer,travel poster,"""1995"" ""travel poster""",completed,0,0,33,491,320.4
225,_infer,_infer,poster,"""1994"" ""poster""",completed,0,0,50,491,327.7
226,_infer,_infer,political poster,"""1994"" ""political poster""",completed,0,0,39,491,330.7
227,_infer,_infer,propaganda poster,"""1994"" ""propaganda poster""",completed,0,0,32,491,333.0
228,_infer,_infer,film poster,"""1994"" ""film poster""",completed,0,0,50,491,336.1
229,_infer,_infer,book cover,"""1994"" ""book cover""",completed,1,0,49,492,340.1
230,_infer,_infer,postage stamp,"""1994"" ""postage stamp""",completed,0,0,50,492,343.3
231,_infer,_infer,travel poster,"""1994"" ""travel poster""",completed,0,0,32,492,345.7
232,_infer,_infer,poster,"""1993"" ""poster""",empty,0,0,0,492,347.4
233,_infer,_infer,political poster,"""1993"" ""political poster""",failed,0,1,0,492,364.3
234,_infer,_infer,propaganda poster,"""1993"" ""propaganda poster""",completed,1,0,49,493,385.3
235,_infer,_infer,film poster,"""1993"" ""film poster""",completed,0,0,50,493,388.1
236,_infer,_infer,book cover,"""1993"" ""book cover""",completed,1,0,49,494,392.6
237,_infer,_infer,postage stamp,"""1993"" ""postage stamp""",completed,0,0,50,494,396.2
238,_infer,_infer,travel poster,"""1993"" ""travel poster""",completed,0,0,25,494,398.7
239,_infer,_infer,poster,"""1992"" ""poster""",completed,0,0,50,494,402.5
240,_infer,_infer,political poster,"""1992"" ""political poster""",completed,0,0,15,494,404.2
241,_infer,_infer,propaganda poster,"""1992"" ""propaganda poster""",completed,0,0,15,494,406.1
242,_infer,_infer,film poster,"""1992"" ""film poster""",completed,0,0,50,494,408.6
243,_infer,_infer,book cover,"""1992"" ""book cover""",completed,0,0,50,494,413.0
244,_infer,_infer,postage stamp,"""1992"" ""postage stamp""",failed,0,1,0,494,430.0
245,_infer,_infer,travel poster,"""1992"" ""travel poster""",completed,0,0,13,494,437.3
246,_infer,_infer,poster,"""1991"" ""poster""",empty,0,0,0,494,438.7
247,_infer,_infer,political poster,"""1991"" ""political poster""",completed,0,0,20,494,441.1
248,_infer,_infer,propaganda poster,"""1991"" ""propaganda poster""",completed,1,0,31,495,443.6
249,_infer,_infer,film poster,"""1991"" ""film poster""",completed,0,0,50,495,446.6
250,_infer,_infer,book cover,"""1991"" ""book cover""",completed,0,0,50,495,451.6
251,_infer,_infer,postage stamp,"""1991"" ""postage stamp""",completed,0,0,50,495,455.1
252,_infer,_infer,travel poster,"""1991"" ""travel poster""",completed,0,0,10,495,456.5
253,_infer,_infer,poster,"""1990"" ""poster""",empty,0,0,0,495,459.6
254,_infer,_infer,political poster,"""1990"" ""political poster""",completed,0,0,23,495,461.6
255,_infer,_infer,propaganda poster,"""1990"" ""propaganda poster""",failed,0,1,0,495,478.4
256,_infer,_infer,film poster,"""1990"" ""film poster""",completed,0,0,50,495,497.8
257,_infer,_infer,book cover,"""1990"" ""book cover""",completed,0,0,50,495,502.3
258,_infer,_infer,postage stamp,"""1990"" ""postage stamp""",completed,0,0,50,495,505.5
259,_infer,_infer,travel poster,"""1990"" ""travel poster""",completed,0,0,21,495,507.6
260,_infer,_infer,poster,"""1989"" ""poster""",completed,0,0,50,495,514.2
261,_infer,_infer,political poster,"""1989"" ""political poster""",completed,0,0,50,495,516.3
262,_infer,_infer,propaganda poster,"""1989"" ""propaganda poster""",completed,0,0,50,495,518.6
263,_infer,_infer,film poster,"""1989"" ""film poster""",completed,0,0,50,495,521.3
264,_infer,_infer,book cover,"""1989"" ""book cover""",completed,0,0,50,495,525.6
265,_infer,_infer,postage stamp,"""1989"" ""postage stamp""",completed,0,0,50,495,529.1
266,_infer,_infer,travel poster,"""1989"" ""travel poster""",failed,0,1,0,495,545.9
267,_infer,_infer,poster,"""1988"" ""poster""",empty,0,0,0,495,564.9
268,_infer,_infer,political poster,"""1988"" ""political poster""",completed,0,0,31,495,567.5
269,_infer,_infer,propaganda poster,"""1988"" ""propaganda poster""",completed,0,0,27,495,569.8
270,_infer,_infer,film poster,"""1988"" ""film poster""",completed,0,0,50,495,574.3
271,_infer,_infer,book cover,"""1988"" ""book cover""",completed,0,0,50,495,580.5
272,_infer,_infer,postage stamp,"""1988"" ""postage stamp""",completed,0,0,50,495,584.4
273,_infer,_infer,travel poster,"""1988"" ""travel poster""",completed,0,0,25,495,586.6
274,_infer,_infer,poster,"""1987"" ""poster""",empty,0,0,0,495,590.5
275,_infer,_infer,political poster,"""1987"" ""political poster""",completed,0,0,9,495,591.9
276,_infer,_infer,propaganda poster,"""1987"" ""propaganda poster""",completed,0,0,17,495,593.7
277,_infer,_infer,film poster,"""1987"" ""film poster""",failed,0,1,0,495,610.6
278,_infer,_infer,book cover,"""1987"" ""book cover""",completed,1,0,49,496,620.6
279,_infer,_infer,postage stamp,"""1987"" ""postage stamp""",completed,0,0,50,496,624.4
280,_infer,_infer,travel poster,"""1987"" ""travel poster""",completed,0,0,11,496,625.9
281,_infer,_infer,poster,"""1986"" ""poster""",completed,0,0,50,496,636.3
282,_infer,_infer,political poster,"""1986"" ""political poster""",completed,0,0,11,496,638.4
283,_infer,_infer,propaganda poster,"""1986"" ""propaganda poster""",completed,0,0,14,496,640.3
284,_infer,_infer,film poster,"""1986"" ""film poster""",completed,1,0,49,497,645.0
285,_infer,_infer,book cover,"""1986"" ""book cover""",completed,1,0,49,498,650.0
286,_infer,_infer,postage stamp,"""1986"" ""postage stamp""",completed,2,0,27,500,653.3
