table_schema	table_name	catalog_kind	constraint_name	definition	columns	referenced_schema	referenced_table	referenced_columns	deferrable	initially_deferred	trigger_function	trigger_events	expected_event_count	table_indexes	referenced_indexes	child_fk_leading_index_covered	pre_remediation_complexity	risk_priority
core	legacy_identity_split_successor	FOREIGN_KEY	legacy_identity_split_success_legacy_identity_resolution_i_fkey	FOREIGN KEY (legacy_identity_resolution_id) REFERENCES core.legacy_identity_resolution(legacy_identity_resolution_id) ON DELETE RESTRICT	legacy_identity_resolution_id	core	legacy_identity_resolution	legacy_identity_resolution_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX legacy_identity_split_successor_pkey ON core.legacy_identity_split_successor USING btree (legacy_identity_resolution_id, successor_archive_object_id) || CREATE UNIQUE INDEX legacy_identity_split_success_legacy_identity_resolution_id_key ON core.legacy_identity_split_successor USING btree (legacy_identity_resolution_id, successor_ordinal) || CREATE INDEX legacy_split_successor_object_idx ON core.legacy_identity_split_successor USING btree (successor_archive_object_id)	CREATE UNIQUE INDEX legacy_identity_resolution_pkey ON core.legacy_identity_resolution USING btree (legacy_identity_resolution_id) || CREATE UNIQUE INDEX legacy_identity_resolution_supersedes_resolution_id_key ON core.legacy_identity_resolution USING btree (supersedes_resolution_id) || CREATE INDEX legacy_identity_resolution_object_idx ON core.legacy_identity_resolution USING btree (target_archive_object_id) || CREATE INDEX legacy_identity_resolution_trace_edge_idx ON core.legacy_identity_resolution USING btree (target_trace_edge_release_id, target_trace_edge_corpus_version_id, target_trace_edge_subject_node_id, target_trace_edge_relation_id, target_trace_edge_object_node_id, target_trace_edge_projection_role)	t	INDEX_PROBE	P2
core	legacy_identity_split_successor	FOREIGN_KEY	legacy_identity_split_successo_successor_archive_object_id_fkey	FOREIGN KEY (successor_archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	successor_archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX legacy_identity_split_successor_pkey ON core.legacy_identity_split_successor USING btree (legacy_identity_resolution_id, successor_archive_object_id) || CREATE UNIQUE INDEX legacy_identity_split_success_legacy_identity_resolution_id_key ON core.legacy_identity_split_successor USING btree (legacy_identity_resolution_id, successor_ordinal) || CREATE INDEX legacy_split_successor_object_idx ON core.legacy_identity_split_successor USING btree (successor_archive_object_id)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	t	INDEX_PROBE	P2
core	object_identity_candidate	FOREIGN_KEY	object_identity_candidate_object_archive_object_id_fkey	FOREIGN KEY (object_archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	object_archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX object_identity_candidate_pkey ON core.object_identity_candidate USING btree (object_identity_candidate_id) || CREATE UNIQUE INDEX object_identity_candidate_subject_archive_object_id_object__key ON core.object_identity_candidate USING btree (subject_archive_object_id, object_archive_object_id, candidate_kind) || CREATE INDEX object_identity_candidate_reverse_idx ON core.object_identity_candidate USING btree (object_archive_object_id, candidate_kind, workflow_state)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	t	INDEX_PROBE	P2
core	object_identity_candidate	FOREIGN_KEY	object_identity_candidate_subject_archive_object_id_fkey	FOREIGN KEY (subject_archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	subject_archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX object_identity_candidate_pkey ON core.object_identity_candidate USING btree (object_identity_candidate_id) || CREATE UNIQUE INDEX object_identity_candidate_subject_archive_object_id_object__key ON core.object_identity_candidate USING btree (subject_archive_object_id, object_archive_object_id, candidate_kind) || CREATE INDEX object_identity_candidate_reverse_idx ON core.object_identity_candidate USING btree (object_archive_object_id, candidate_kind, workflow_state)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	t	INDEX_PROBE	P2
core	place	CONSTRAINT_TRIGGER	entity_subtype_from_place	CREATE CONSTRAINT TRIGGER entity_subtype_from_place AFTER INSERT OR DELETE OR UPDATE ON core.place DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION core.enforce_entity_subtype()					t	t	core.enforce_entity_subtype()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX place_pkey ON core.place USING btree (place_id)			ROW_EVENT_FUNCTION	P2
core	place	FOREIGN_KEY	place_place_id_fkey	FOREIGN KEY (place_id) REFERENCES core.entity(entity_id) ON DELETE RESTRICT	place_id	core	entity	entity_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX place_pkey ON core.place USING btree (place_id)	CREATE UNIQUE INDEX entity_pkey ON core.entity USING btree (entity_id) || CREATE INDEX entity_kind_state_idx ON core.entity USING btree (entity_kind, lifecycle_state)	t	INDEX_PROBE	P2
core	temporal_extent	CONSTRAINT_TRIGGER	entity_subtype_from_temporal_extent	CREATE CONSTRAINT TRIGGER entity_subtype_from_temporal_extent AFTER INSERT OR DELETE OR UPDATE ON core.temporal_extent DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION core.enforce_entity_subtype()					t	t	core.enforce_entity_subtype()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX temporal_extent_pkey ON core.temporal_extent USING btree (temporal_extent_id)			ROW_EVENT_FUNCTION	P2
core	temporal_extent	FOREIGN_KEY	temporal_extent_temporal_extent_id_fkey	FOREIGN KEY (temporal_extent_id) REFERENCES core.entity(entity_id) ON DELETE RESTRICT	temporal_extent_id	core	entity	entity_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX temporal_extent_pkey ON core.temporal_extent USING btree (temporal_extent_id)	CREATE UNIQUE INDEX entity_pkey ON core.entity USING btree (entity_id) || CREATE INDEX entity_kind_state_idx ON core.entity USING btree (entity_kind, lifecycle_state)	t	INDEX_PROBE	P2
provenance	assertion	CONSTRAINT_TRIGGER	accepted_assertion_from_assertion	CREATE CONSTRAINT TRIGGER accepted_assertion_from_assertion AFTER INSERT OR UPDATE ON provenance.assertion DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_accepted_assertion()					t	t	provenance.enforce_accepted_assertion()	INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion	CONSTRAINT_TRIGGER	assertion_shape_from_assertion	CREATE CONSTRAINT TRIGGER assertion_shape_from_assertion AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assertion_shape()					t	t	provenance.enforce_assertion_shape()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion	CONSTRAINT_TRIGGER	assertion_supersession_parent	CREATE CONSTRAINT TRIGGER assertion_supersession_parent AFTER INSERT ON provenance.assertion DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_provenance_supersession_parent()					t	t	provenance.enforce_provenance_supersession_parent()	INSERT	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion	CONSTRAINT_TRIGGER	assignment_support_from_assertion_status	CREATE CONSTRAINT TRIGGER assignment_support_from_assertion_status AFTER UPDATE ON provenance.assertion DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assignments_for_assertion()					t	t	provenance.enforce_assignments_for_assertion()	UPDATE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion	FOREIGN_KEY	assertion_assertion_predicate_id_fkey	FOREIGN KEY (assertion_predicate_id) REFERENCES provenance.assertion_predicate(assertion_predicate_id) ON DELETE RESTRICT	assertion_predicate_id	provenance	assertion_predicate	assertion_predicate_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	CREATE UNIQUE INDEX assertion_predicate_pkey ON provenance.assertion_predicate USING btree (assertion_predicate_id) || CREATE UNIQUE INDEX assertion_predicate_predicate_code_key ON provenance.assertion_predicate USING btree (predicate_code)	t	INDEX_PROBE	P2
provenance	assertion	FOREIGN_KEY	assertion_claimant_agent_id_fkey	FOREIGN KEY (claimant_agent_id) REFERENCES core.agent(agent_id) ON DELETE RESTRICT	claimant_agent_id	core	agent	agent_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	CREATE UNIQUE INDEX agent_pkey ON core.agent USING btree (agent_id)	f	INDEX_PROBE	P2
provenance	assertion	FOREIGN_KEY	assertion_supersedes_assertion_id_fkey	FOREIGN KEY (supersedes_assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	supersedes_assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
provenance	assertion_decision_evidence	CONSTRAINT_TRIGGER	accepted_assertion_from_decision_evidence	CREATE CONSTRAINT TRIGGER accepted_assertion_from_decision_evidence AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_decision_evidence DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_accepted_assertion()					t	t	provenance.enforce_accepted_assertion()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_decision_evidence_pkey ON provenance.assertion_decision_evidence USING btree (assertion_review_decision_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_decision_evidence_reverse_idx ON provenance.assertion_decision_evidence USING btree (evidence_item_id, assertion_review_decision_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion_decision_evidence	FOREIGN_KEY	assertion_decision_evidence_assertion_review_decision_id_fkey	FOREIGN KEY (assertion_review_decision_id) REFERENCES provenance.assertion_review_decision(assertion_review_decision_id) ON DELETE RESTRICT	assertion_review_decision_id	provenance	assertion_review_decision	assertion_review_decision_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_decision_evidence_pkey ON provenance.assertion_decision_evidence USING btree (assertion_review_decision_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_decision_evidence_reverse_idx ON provenance.assertion_decision_evidence USING btree (evidence_item_id, assertion_review_decision_id)	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)	t	INDEX_PROBE	P2
provenance	assertion_decision_evidence	FOREIGN_KEY	assertion_decision_evidence_evidence_item_id_fkey	FOREIGN KEY (evidence_item_id) REFERENCES provenance.evidence_item(evidence_item_id) ON DELETE RESTRICT	evidence_item_id	provenance	evidence_item	evidence_item_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_decision_evidence_pkey ON provenance.assertion_decision_evidence USING btree (assertion_review_decision_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_decision_evidence_reverse_idx ON provenance.assertion_decision_evidence USING btree (evidence_item_id, assertion_review_decision_id)	CREATE UNIQUE INDEX evidence_item_pkey ON provenance.evidence_item USING btree (evidence_item_id) || CREATE INDEX evidence_item_source_record_idx ON provenance.evidence_item USING btree (source_record_id) || CREATE INDEX evidence_item_content_hash_idx ON provenance.evidence_item USING btree (content_sha256) || CREATE INDEX evidence_item_supersedes_idx ON provenance.evidence_item USING btree (supersedes_evidence_item_id) || CREATE UNIQUE INDEX evidence_item_source_identity_unique ON provenance.evidence_item USING btree (source_asset_id, source_version_id, source_record_id, locator_scheme, internal_locator, span_start, span_end, content_sha256) NULLS NOT DISTINCT || CREATE UNIQUE INDEX evidence_item_source_triplet_unique ON provenance.evidence_item USING btree (evidence_item_id, source_asset_id, source_version_id)	t	INDEX_PROBE	P2
provenance	assertion_evidence	CONSTRAINT_TRIGGER	accepted_assertion_from_evidence	CREATE CONSTRAINT TRIGGER accepted_assertion_from_evidence AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_evidence DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_accepted_assertion()					t	t	provenance.enforce_accepted_assertion()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_evidence_pkey ON provenance.assertion_evidence USING btree (assertion_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_evidence_evidence_idx ON provenance.assertion_evidence USING btree (evidence_item_id, assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion_evidence	FOREIGN_KEY	assertion_evidence_assertion_id_fkey	FOREIGN KEY (assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_evidence_pkey ON provenance.assertion_evidence USING btree (assertion_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_evidence_evidence_idx ON provenance.assertion_evidence USING btree (evidence_item_id, assertion_id)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
provenance	assertion_evidence	FOREIGN_KEY	assertion_evidence_evidence_item_id_fkey	FOREIGN KEY (evidence_item_id) REFERENCES provenance.evidence_item(evidence_item_id) ON DELETE RESTRICT	evidence_item_id	provenance	evidence_item	evidence_item_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_evidence_pkey ON provenance.assertion_evidence USING btree (assertion_id, evidence_item_id, evidence_role) || CREATE INDEX assertion_evidence_evidence_idx ON provenance.assertion_evidence USING btree (evidence_item_id, assertion_id)	CREATE UNIQUE INDEX evidence_item_pkey ON provenance.evidence_item USING btree (evidence_item_id) || CREATE INDEX evidence_item_source_record_idx ON provenance.evidence_item USING btree (source_record_id) || CREATE INDEX evidence_item_content_hash_idx ON provenance.evidence_item USING btree (content_sha256) || CREATE INDEX evidence_item_supersedes_idx ON provenance.evidence_item USING btree (supersedes_evidence_item_id) || CREATE UNIQUE INDEX evidence_item_source_identity_unique ON provenance.evidence_item USING btree (source_asset_id, source_version_id, source_record_id, locator_scheme, internal_locator, span_start, span_end, content_sha256) NULLS NOT DISTINCT || CREATE UNIQUE INDEX evidence_item_source_triplet_unique ON provenance.evidence_item USING btree (evidence_item_id, source_asset_id, source_version_id)	t	INDEX_PROBE	P2
provenance	assertion_predicate	CONSTRAINT_TRIGGER	predicate_registry_fanout	CREATE CONSTRAINT TRIGGER predicate_registry_fanout AFTER UPDATE ON provenance.assertion_predicate DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_predicate_registry_fanout()					t	t	provenance.enforce_predicate_registry_fanout()	UPDATE	0	CREATE UNIQUE INDEX assertion_predicate_pkey ON provenance.assertion_predicate USING btree (assertion_predicate_id) || CREATE UNIQUE INDEX assertion_predicate_predicate_code_key ON provenance.assertion_predicate USING btree (predicate_code)			ROW_EVENT_FUNCTION	P2
provenance	assertion_predicate	FOREIGN_KEY	assertion_predicate_predicate_evidence_profile_id_fkey	FOREIGN KEY (predicate_evidence_profile_id) REFERENCES provenance.predicate_evidence_profile(predicate_evidence_profile_id) ON DELETE RESTRICT	predicate_evidence_profile_id	provenance	predicate_evidence_profile	predicate_evidence_profile_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_predicate_pkey ON provenance.assertion_predicate USING btree (assertion_predicate_id) || CREATE UNIQUE INDEX assertion_predicate_predicate_code_key ON provenance.assertion_predicate USING btree (predicate_code)	CREATE UNIQUE INDEX predicate_evidence_profile_pkey ON provenance.predicate_evidence_profile USING btree (predicate_evidence_profile_id) || CREATE UNIQUE INDEX predicate_evidence_profile_profile_version_profile_sha256_key ON provenance.predicate_evidence_profile USING btree (profile_version, profile_sha256)	f	INDEX_PROBE	P2
provenance	assertion_review_decision	CONSTRAINT_TRIGGER	accepted_assertion_from_decision	CREATE CONSTRAINT TRIGGER accepted_assertion_from_decision AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_review_decision DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_accepted_assertion()					t	t	provenance.enforce_accepted_assertion()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)			ROW_EVENT_FUNCTION	P2
provenance	assertion_review_decision	CONSTRAINT_TRIGGER	assertion_decision_supersession_parent	CREATE CONSTRAINT TRIGGER assertion_decision_supersession_parent AFTER INSERT ON provenance.assertion_review_decision DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_provenance_supersession_parent()					t	t	provenance.enforce_provenance_supersession_parent()	INSERT	0	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)			ROW_EVENT_FUNCTION	P2
provenance	assertion_review_decision	CONSTRAINT_TRIGGER	assertion_one_current_decision	CREATE CONSTRAINT TRIGGER assertion_one_current_decision AFTER INSERT ON provenance.assertion_review_decision DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_one_current_review_decision()					t	t	provenance.enforce_one_current_review_decision()	INSERT	0	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)			ROW_EVENT_FUNCTION	P2
provenance	assertion_review_decision	FOREIGN_KEY	assertion_review_decision_assertion_id_fkey	FOREIGN KEY (assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
provenance	assertion_review_decision	FOREIGN_KEY	assertion_review_decision_supersedes_decision_id_fkey	FOREIGN KEY (supersedes_decision_id) REFERENCES provenance.assertion_review_decision(assertion_review_decision_id) ON DELETE RESTRICT	supersedes_decision_id	provenance	assertion_review_decision	assertion_review_decision_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)	CREATE UNIQUE INDEX assertion_review_decision_pkey ON provenance.assertion_review_decision USING btree (assertion_review_decision_id) || CREATE UNIQUE INDEX assertion_review_decision_supersedes_decision_id_key ON provenance.assertion_review_decision USING btree (supersedes_decision_id) || CREATE INDEX assertion_review_effective_idx ON provenance.assertion_review_decision USING btree (assertion_id, decided_at DESC)	t	INDEX_PROBE	P2
provenance	assertion_subject_entity	CONSTRAINT_TRIGGER	assertion_shape_from_subject	CREATE CONSTRAINT TRIGGER assertion_shape_from_subject AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_subject_entity DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assertion_shape()					t	t	provenance.enforce_assertion_shape()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_subject_entity_pkey ON provenance.assertion_subject_entity USING btree (assertion_id) || CREATE INDEX assertion_subject_entity_target_idx ON provenance.assertion_subject_entity USING btree (entity_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion_subject_entity	FOREIGN_KEY	assertion_subject_entity_assertion_id_fkey	FOREIGN KEY (assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_subject_entity_pkey ON provenance.assertion_subject_entity USING btree (assertion_id) || CREATE INDEX assertion_subject_entity_target_idx ON provenance.assertion_subject_entity USING btree (entity_id)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
provenance	assertion_subject_entity	FOREIGN_KEY	assertion_subject_entity_entity_id_fkey	FOREIGN KEY (entity_id) REFERENCES core.entity(entity_id) ON DELETE RESTRICT	entity_id	core	entity	entity_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_subject_entity_pkey ON provenance.assertion_subject_entity USING btree (assertion_id) || CREATE INDEX assertion_subject_entity_target_idx ON provenance.assertion_subject_entity USING btree (entity_id)	CREATE UNIQUE INDEX entity_pkey ON core.entity USING btree (entity_id) || CREATE INDEX entity_kind_state_idx ON core.entity USING btree (entity_kind, lifecycle_state)	t	INDEX_PROBE	P2
provenance	assertion_subject_representation	CONSTRAINT_TRIGGER	assertion_shape_from_representation_subject	CREATE CONSTRAINT TRIGGER assertion_shape_from_representation_subject AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_subject_representation DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assertion_shape()					t	t	provenance.enforce_assertion_shape()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_subject_representation_pkey ON provenance.assertion_subject_representation USING btree (assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion_subject_representation	FOREIGN_KEY	assertion_subject_representation_assertion_id_fkey	FOREIGN KEY (assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_subject_representation_pkey ON provenance.assertion_subject_representation USING btree (assertion_id)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
provenance	assertion_subject_representation	FOREIGN_KEY	assertion_subject_representation_digital_representation_id_fkey	FOREIGN KEY (digital_representation_id) REFERENCES rights.digital_representation(digital_representation_id) ON DELETE RESTRICT	digital_representation_id	rights	digital_representation	digital_representation_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_subject_representation_pkey ON provenance.assertion_subject_representation USING btree (assertion_id)	CREATE UNIQUE INDEX digital_representation_pkey ON rights.digital_representation USING btree (digital_representation_id) || CREATE UNIQUE INDEX digital_representation_content_sha256_byte_length_evidence__key ON rights.digital_representation USING btree (content_sha256, byte_length, evidence_item_id) NULLS NOT DISTINCT	f	INDEX_PROBE	P2
provenance	assertion_subject_source_record	CONSTRAINT_TRIGGER	assertion_shape_from_source_record_subject	CREATE CONSTRAINT TRIGGER assertion_shape_from_source_record_subject AFTER INSERT OR DELETE OR UPDATE ON provenance.assertion_subject_source_record DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assertion_shape()					t	t	provenance.enforce_assertion_shape()	INSERT,UPDATE,DELETE	0	CREATE UNIQUE INDEX assertion_subject_source_record_pkey ON provenance.assertion_subject_source_record USING btree (assertion_id)			ROW_EVENT_FUNCTION	P2
provenance	assertion_subject_source_record	FOREIGN_KEY	assertion_subject_source_record_assertion_id_fkey	FOREIGN KEY (assertion_id) REFERENCES provenance.assertion(assertion_id) ON DELETE RESTRICT	assertion_id	provenance	assertion	assertion_id	f	f		INSERT,UPDATE	0	CREATE UNIQUE INDEX assertion_subject_source_record_pkey ON provenance.assertion_subject_source_record USING btree (assertion_id)	CREATE UNIQUE INDEX assertion_pkey ON provenance.assertion USING btree (assertion_id) || CREATE INDEX assertion_predicate_status_idx ON provenance.assertion USING btree (assertion_predicate_id, status) || CREATE INDEX assertion_supersedes_idx ON provenance.assertion USING btree (supersedes_assertion_id)	t	INDEX_PROBE	P2
