ordinal	pair_id	vocabulary_id_a	vocabulary_id_b	label_a	label_b	normalized_label_a	normalized_label_b	canonical_pair_key	structurally_excluded	pair_universe_hash
107	R16A-PAIR:fdc54931de4f24b88447b2fe6ef751419965d04198e2ad69a7c525ff2fa4941c	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	photography	piracy	photography	piracy	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
108	R16A-PAIR:2f45329a14278eb5d8df880e449b89ae80f91d0009e3ecd926e31c8e3ed72598	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	photography	cultural transfer	photography	cultural transfer	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
109	R16A-PAIR:f7bbcfaebbde840be27c2b672ded140ec2a98650635b4504bd5bd83ebdd9f20d	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	photography	propaganda	photography	propaganda	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
110	R16A-PAIR:0d7fb5b9f8f50a5aada942ffcb8a4d17c38f6e40f9f46a2e4f6db7573bfa2a73	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	photography	advertising	photography	advertising	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
111	R16A-PAIR:6fd295bb1168cdf985018db0ec996ab10baac8d7f94886ab0289bfeba76f255c	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	photography	material displacement	photography	material displacement	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
112	R16A-PAIR:61b0ef05eb2ca767f6ac7347f78cc23e9577608ef52b7be9cd1ec507858f65ec	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	photography	canonization	photography	canonization	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
113	R16A-PAIR:3ae55fb38a0647c53b702385797583c6d568d90cebe213614772ac9a6300e7ac	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	photography	imitation	photography	imitation	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
114	R16A-PAIR:dc3a38710fc927aa07b8a08bf2b67bfa16155b374ac83e5fe68ea789dabb622c	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	photography	rejection	photography	rejection	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
115	R16A-PAIR:e070952c5fbe23e5925470361fae9f6d73bdeb111beb4b49ec8523c1c1f1e76c	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	trade	adaptation	trade	adaptation	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
116	R16A-PAIR:f82795fcaba53ac0c255461d014e82b9e563362b645b4c65a58e27644e22c54c	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	trade	design diplomacy	trade	design diplomacy	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
117	R16A-PAIR:4278ea4f49f01a3ad340ad99e048b24da1d3cc50cff82a3c7c541d9d75ab1cf1	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	trade	craft	trade	craft	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
118	R16A-PAIR:98cd0d92bb191bf7ba84ded8b918d85c6c4ea18ac998b40e669778c97acc06ee	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	trade	self-exoticization	trade	self-exoticization	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
119	R16A-PAIR:c0229588b172496124223bf6396f7fe6163d1fb829a7d7f15868d288e2e05203	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	trade	typography	trade	typography	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
120	R16A-PAIR:6af5b6c74e783255796a0c3c3381d2e93532b2c448c27465ac9e11f10e5c1bfd	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	trade	institutionalization	trade	institutionalization	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
121	R16A-PAIR:dbd15ecef31545400b6af2249407d801efc9ed8eaea686fd9edf8cf2a14e0693	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	trade	cultural negotiation	trade	cultural negotiation	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
122	R16A-PAIR:277a43732747af9d90964f46f44a0e92938167305e04721935de313035c0f00c	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	trade	gendering	trade	gendering	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
123	R16A-PAIR:7ffafafc9e483b759fb0e339ef3a2a491c25b19a4d0a36a499fe065f4803ffb9	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	trade	education	trade	education	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
124	R16A-PAIR:ace59e4893e84c56b9bd4ea3a7e1ccdef0854579ec84567af4a24a71e90b44a8	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	trade	exhibition	trade	exhibition	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
125	R16A-PAIR:4884411b6140eb1ad038653faebf3f3e04889d9c22bf808f7697591cf9db9e84	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	trade	mediation	trade	mediation	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
126	R16A-PAIR:6263f2c7292a5166f92be8eecc1fe3d9f19038dff67834eff32bbe08f55977bc	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	trade	cultural transformation	trade	cultural transformation	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
127	R16A-PAIR:e79f8ad53053a50c4d34cafadf79a874e0289ee2418a9f20b804870b066e8d86	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	trade	mobile object	trade	mobile object	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
128	R16A-PAIR:12a798105e7ba689f5f932ed1bd709c6203d7e32adc89d5644392b7349b9adff	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	trade	production	trade	production	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
129	R16A-PAIR:53042462a181b7f7858458c84f5c514584eb92ae5519e9bfd53aaa8f177a863d	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	trade	consumption	trade	consumption	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
130	R16A-PAIR:0f3b161edf5dfd0ce0caa64d82a9d56b4bd9328586a57b56adc3f9a5e5214d4b	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	trade	professionalization	trade	professionalization	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
131	R16A-PAIR:e380e4217bcfae4640f9ba142899266c74afb165fedd87fc7a78773fb1f5fe7f	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	trade	commodification	trade	commodification	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
132	R16A-PAIR:3eb1f14455d9d1ae1d7ff70a4dceec51ea25d608b2b0725c404f4689d1ab4c06	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	trade	production site	trade	production site	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
133	R16A-PAIR:a5ba48362521c20f41bebbcb8842f50247587a15a7922414d213a7c6e2fda2a6	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	trade	piracy	trade	piracy	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
134	R16A-PAIR:d48d94785e1c55d478fc4a9f4a6115f08ba36f949718e4521638e9f31ca167ea	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	trade	cultural transfer	trade	cultural transfer	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
135	R16A-PAIR:e153332b67669fdaa24f256bfcf61135e56eb2894e48481afc71ae4327c81422	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	trade	propaganda	trade	propaganda	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
136	R16A-PAIR:e398555ce15119488ebc647fe885fff13ff8489cd594774c88649ca7bcc61247	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	trade	advertising	trade	advertising	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
137	R16A-PAIR:d5e528b9f1bf542546c032fbf339867a9f67b37e6bc747af014ce953a0f8d1db	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	trade	material displacement	trade	material displacement	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
138	R16A-PAIR:85ea10e7ac1e11a4588de2d670f8d69b8b759161a87d0175ef5dd389f2e88063	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	trade	canonization	trade	canonization	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
139	R16A-PAIR:71a6920528a60921ea9c9e0cb594eeb56415d566cc318d9b5b8f88a06824a6fe	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	trade	imitation	trade	imitation	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
140	R16A-PAIR:927c8952ee91e3ab428f2837ff2f4bc28e0aaeec9390dafbe9f43b6d96f675a1	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	trade	rejection	trade	rejection	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
141	R16A-PAIR:ea6a0a2ae380c4b0da738e61a41fd479889829aac8edc6679758b0cd76064d1d	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	adaptation	design diplomacy	adaptation	design diplomacy	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
142	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	adaptation	craft	adaptation	craft	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
143	R16A-PAIR:65b7e3c28542f69aad7fece1e66f1fb0f3ed7fbcb9351ac9ba31baf5b3870063	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	adaptation	self-exoticization	adaptation	self-exoticization	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
144	R16A-PAIR:ccab60f303b740850573b078a73074d90fb80b191f7101a41fac5cba1bfa3fac	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	adaptation	typography	adaptation	typography	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
145	R16A-PAIR:9ca37a62a4add888ee512590b6a4d40e426c5f8c910f5677387870e55cf46c54	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	adaptation	institutionalization	adaptation	institutionalization	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
146	R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	adaptation	cultural negotiation	adaptation	cultural negotiation	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
147	R16A-PAIR:47981c81d762a56a291f36d16fbb57dc4a91ee2f709dfc79e6a2150919b569f1	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	adaptation	gendering	adaptation	gendering	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
148	R16A-PAIR:32b6825a5559e9009fb93347247b3c901cad591292ed915d6202e4d7b6df0457	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	adaptation	education	adaptation	education	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
149	R16A-PAIR:2b4d65eee423e9642e8f957a5380e6b7fa0c6144a43b10c77564e28053b5a85e	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	adaptation	exhibition	adaptation	exhibition	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
150	R16A-PAIR:8b26b95dfcd11f294ab40097eb731a39c1eef3488863ae9c9ad65a16bafa82c6	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	adaptation	mediation	adaptation	mediation	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
151	R16A-PAIR:5a44a126d6427a159cc4d5d5d0e95750ff9020efdd1cace08c226566017858a5	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	adaptation	cultural transformation	adaptation	cultural transformation	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
