review_unit_id	review_unit_type	subject_id	plain_language_definition	source_ids	evidence_ids	bounded_context	role_structure	directionality	qualification	contestation	current_system_decision	alternative_decisions	reviewer_questions	reviewer_answer_status
REVIEW-GAP-005	VOCABULARY_GAP	GAP-005	transnational exchange mechanisms	COMP-SRC-023;COMP-SRC-024;COMP-SRC-025	COMP-EVID-024;COMP-EVID-025;COMP-EVID-026	Three bounded exhibition/design-history applications establish an institutionally organized diplomatic mechanism while preserving genealogy dependence.	COMP-EVID-024: subject=state exhibition organizers and designers; target=foreign publics and diplomatic counterparts; additional=pavilion;graphic media;tradecraft;audience reception | COMP-EVID-025: subject=state institutions and exhibition makers; target=international audience; additional=graphic design;facilities;policy experts | COMP-EVID-026: subject=state and exhibition intermediaries; target=Australian public and commercial counterparts; additional=exposition;goods;media;retail venue	INTENTIONAL_OUTWARD_WITH_NEGOTIATION_AND_CONTEXTUAL_RECEPTION;INTENTIONAL_OUTWARD;INTENTIONAL_OUTWARD_WITH_RECEPTION	No ordinary migration, trade, private collaboration, stylistic influence, or generic cross-border event.	No ordinary migration, trade, private collaboration, stylistic influence, or generic cross-border event.	SOURCE_ATTESTED_SPLIT_CANDIDATE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-GAP-006	VOCABULARY_GAP	GAP-006	coloniality structural semantics	COMP-SRC-026;COMP-SRC-027;COMP-SRC-028	COMP-EVID-027;COMP-EVID-028;COMP-EVID-029	Design and architectural histories support a source-bounded continuing condition, while adversarial scholarship rejects a uniform unitary model.	COMP-EVID-027: subject=imperial socioeconomic structures; target=Amazigh rugs and modernist interiors; additional=markets;exhibitions;consumers;knowledge categories | COMP-EVID-028: subject=historically constituted institutions and regimes; target=named architecture and urban setting; additional=government;memorialization;aesthetics;period | COMP-EVID-029: subject=dispersed racialized practices; target=specific political, economic, and epistemic sites; additional=methodology;knowledge;affected communities	STRUCTURAL_NON_EDGE	Never a universal Node, edge, transitive relation, stylistic label, or generic inequality marker.	Never a universal Node, edge, transitive relation, stylistic label, or generic inequality marker.	STRUCTURAL_ANNOTATION_CANDIDATE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-023	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-001	cultural transfer	COMP-SRC-011;COMP-SRC-012	COMP-EVID-012;COMP-EVID-013	Activation candidate only; no active vocabulary or grammar.	source;transferred content;carrier or institution;receiving actors and agency;receiving context;contested reception	SOURCE_BOUNDED_CONTESTED_TRANSFER_WITH_RECEIVING_AGENCY	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-024	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-002	cultural negotiation	COMP-SRC-013;COMP-SRC-014	COMP-EVID-014;COMP-EVID-015	Activation candidate only; no active vocabulary or grammar.	participants;contact zone;shared issue;power regime;acts of borrowing, adaptation, or rejection	MULTIDIRECTIONAL	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-025	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-003	cultural adaptation	COMP-SRC-015;COMP-SRC-016	COMP-EVID-016;COMP-EVID-017	Activation candidate only; no active vocabulary or grammar.	source work;adapter;target context;retained and modified features;adapted artifact	SOURCE_TO_ADAPTED_VERSION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-026	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-004	cultural transformation	COMP-SRC-017;COMP-SRC-018	COMP-EVID-018;COMP-EVID-019	Activation candidate only; no active vocabulary or grammar.	historical state C0;actors and forces;material evidence;time;historical state C1	STATE_T0_TO_STATE_T1	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-027	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-005	material displacement	COMP-SRC-019;COMP-SRC-020	COMP-EVID-020;COMP-EVID-021	Activation candidate only; no active vocabulary or grammar.	moved material;production site;designed destination;supply chain;labor and ecological effects	ORIGIN_TO_RECEIVING_CONTEXT	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-028	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-006	mobile object	COMP-SRC-021;COMP-SRC-022	COMP-EVID-022;COMP-EVID-023	Activation candidate only; no active vocabulary or grammar.	moved entity;origin;carrier;route;receiving context;reception change	ITINERARY_WITHOUT_TRANSITIVITY	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-029	NODE_ACTIVATION_CANDIDATE	R13-SPLIT-007	design diplomacy	COMP-SRC-023;COMP-SRC-024;COMP-SRC-025	COMP-EVID-024;COMP-EVID-025;COMP-EVID-026	Activation candidate only; no active vocabulary or grammar.	state or institution;designers and curators;designed media or exposition;negotiating counterpart;foreign public;contingent reception	INTENTIONAL_OUTWARD_WITH_NEGOTIATION_AND_CONTEXTUAL_RECEPTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-030	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-001	LINEAR_PATH	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-001	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-031	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-002	BINARY_FORK	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-002	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-032	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-003	BINARY_CONVERGENCE	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-003	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-033	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-004	QUALIFIED_PATH	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-004	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-034	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-005	REFLEXIVE_RETURN	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-005	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-035	INQUIRY_GRAMMAR_ACTIVATION_CANDIDATE	R13-INQUIRY-RULE-006	EVIDENCE_GAP_TREE	NOT_APPLICABLE_SYNTHETIC_TOPOLOGY	TREE-CONF-006	Activation candidate only; no active vocabulary or grammar.	strategy-specific inquiry operations and bounded navigation; no semantic edge roles	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-ACT-036	STRUCTURAL_ANNOTATION_CANDIDATE	R13-ANNOT-001	coloniality	COMP-SRC-026;COMP-SRC-027;COMP-SRC-028	COMP-EVID-027;COMP-EVID-028;COMP-EVID-029	Activation candidate only; no active vocabulary or grammar.	source;geography;period;mechanism;affected actors or objects;beneficiary or control structure;continuity claim	STRUCTURAL_NON_EDGE	Requires external human review and separate activation decision.	Default deny outside recorded scope.	ACTIVE_FALSE	RETAIN_CANDIDATE;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
