signal_id	family	signal_name	description	input_source	input_governance_state	direct_or_derived	derivation_level	coverage	cardinality	missing_rate	numerator_definition	denominator_definition	derivation_method	derivation_version	deterministic	explainable	public_safe	held_risk	pairwise_or_object_level	expected_fanout	computational_cost	materialization_risk	historical_relation	semantic_relation	known_failure_modes	status
SIG-GEOGRAPHY-RARITY	GOVERNED_GEOGRAPHY	Region rarity	Observed frequency band of governed geography values.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":93,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed geography value.	All authoritative public objects.	Band observed geography counts without an importance score.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Rare geography can reflect cataloguing or collection bias.	RESEARCH_ONLY
SIG-GEOGRAPHY-SAME	GOVERNED_GEOGRAPHY	Same-geography overlap	Pairwise overlap on a governed geography identifier.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":93,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed geography value.	All authoritative public objects.	Intersect governed geography sets.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	POTENTIALLY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Shared geography is not historical contact.	HIGH_POTENTIAL
SIG-INTERSECTION-BOUNDED-TRIPLE	FREQUENCY_INTERSECTION_CONCENTRATION	Bounded three-way support	Observed cells for the frozen high-value triple registry.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2399,"denominator":7995,"unit":"observed_positive_bounded_triple_cells"}	{"denominator":7995,"state":"SPECIFICATION_SPECIFIC_OBSERVABILITY"}	Public cohort evaluated by the bounded observed-cell registry.	All authoritative public objects.	Count only the frozen bounded triple specifications.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	BOUNDED_TRIPLE_REGISTRY	MEDIUM	MEDIUM	false	false	Sparse triples are vulnerable to tiny-cell overinterpretation.	RESEARCH_ONLY
SIG-INTERSECTION-CONDITIONAL-LIFT	FREQUENCY_INTERSECTION_CONCENTRATION	Conditional and lift diagnostics	P(A|B), P(B|A), and lift retained only as analysis diagnostics.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":6146,"denominator":7995,"unit":"observed_positive_pair_cells"}	{"denominator":7995,"state":"SPECIFICATION_SPECIFIC_OBSERVABILITY"}	Public cohort evaluated by the bounded observed-cell registry.	All authoritative public objects.	Derive conditional observed rates and lift with explicit marginals.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	BOUNDED_PAIR_REGISTRY	MEDIUM	MEDIUM	false	false	Lift is not calibrated probability, causality, or historical relation.	RESEARCH_ONLY
SIG-INTERSECTION-MEDIUM-THEME	FREQUENCY_INTERSECTION_CONCENTRATION	Medium-theme observed support	Count and support rate for observed medium-theme cells.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":40,"denominator":7995,"unit":"observed_positive_cells"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects jointly observable for the selected dimensions.	All authoritative public objects.	Emit observed cells only with public and joint-observable denominators.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	OBSERVED_CELLS_ONLY	LOW	LOW	false	false	Cell support is descriptive and not a recommendation score.	HIGH_POTENTIAL
SIG-INTERSECTION-PAIR-SUPPORT	FREQUENCY_INTERSECTION_CONCENTRATION	Observed pair support	Observed support across the bounded pair registry.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":6146,"denominator":7995,"unit":"observed_positive_pair_cells"}	{"denominator":7995,"state":"SPECIFICATION_SPECIFIC_OBSERVABILITY"}	Public cohort evaluated by the bounded observed-cell registry.	All authoritative public objects.	Count observed pair cells without Cartesian zero rows.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	BOUNDED_PAIR_REGISTRY	MEDIUM	MEDIUM	false	false	Different pair specifications have different observable cohorts.	HIGH_POTENTIAL
SIG-INTERSECTION-RARE-MULTI	FREQUENCY_INTERSECTION_CONCENTRATION	Rare multi-dimensional intersection	Observed low-count pair or bounded-triple cell candidate.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":4251,"denominator":7995,"unit":"eligible_observed_rare_pair_or_triple_cells"}	{"denominator":7995,"state":"SPECIFICATION_SPECIFIC_OBSERVABILITY"}	Public cohort evaluated by the bounded observed-cell registry.	All authoritative public objects.	Select eligible observed pair and bounded-triple cells within the frozen rarity-count ceiling.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	OBSERVED_RARE_CELLS_ONLY	MEDIUM	MEDIUM	false	false	Rare is descriptive only and does not imply significance.	HIGH_POTENTIAL
SIG-MISSINGNESS-COOCCURRENCE	MISSINGNESS_UNCERTAINTY	Uncertainty-state co-occurrence	Observed intersections among supported uncertainty states.	Missingness and uncertainty aggregate analysis	MIXED_PUBLIC_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":19,"denominator":7995,"unit":"observed_uncertainty_state_pair_cells"}	{"denominator":7995,"state":"OBJECTS_WITH_NO_ACTIVE_UNCERTAINTY_ARE_OBSERVED"}	Public cohort evaluated for supported uncertainty-state pairs.	All authoritative public objects.	Count observed state intersections without causal inference.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	OBSERVED_STATE_PAIRS_ONLY	LOW	LOW	false	false	Co-occurrence does not identify a cause or common mechanism.	RESEARCH_ONLY
SIG-MISSINGNESS-CREATOR	MISSINGNESS_UNCERTAINTY	Creator attribution state	Observed, unknown, or role-qualified unknown creator attribution.	Missingness and uncertainty aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3,"denominator":7995,"unit":"supported_classification_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_CLASSIFICATION_NOT_GENERIC_NULL_MISSINGNESS"}	Public objects explicitly classified for creator.	All authoritative public objects.	Classify explicit public attribution text with bounded rules.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Unknown attribution is not creator absence from history.	RESEARCH_ONLY
SIG-MISSINGNESS-GEOGRAPHY-MAPPING	MISSINGNESS_UNCERTAINTY	Geography mapping uncertainty	Mapped, aggregate-only, and unmapped classification.	Missingness and uncertainty aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3,"denominator":7995,"unit":"supported_classification_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_CLASSIFICATION_NOT_GENERIC_NULL_MISSINGNESS"}	Public objects explicitly classified for geography_mapping_state.	All authoritative public objects.	Preserve governed geography mapping states.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Aggregate-only and unmapped do not mean geographic absence.	SUPPORTING_SIGNAL
SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED	MISSINGNESS_UNCERTAINTY	Geography qualification flag	Whether a governed geography carries explicit qualification.	Missingness and uncertainty aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2,"denominator":7995,"unit":"boolean_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_FLAG_NOT_GENERIC_MISSINGNESS"}	All public objects evaluated for GEOGRAPHY:QUALIFIED; observed incidence is 467 of 7995.	All authoritative public objects.	Read the explicit governed qualification flag.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Qualification is context, not a scalar confidence penalty.	SUPPORTING_SIGNAL
SIG-MISSINGNESS-MOVEMENT-AVAILABILITY	MISSINGNESS_UNCERTAINTY	Movement-context availability	Observed versus no-published-movement-context classification.	Missingness and uncertainty aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2,"denominator":7995,"unit":"supported_classification_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_CLASSIFICATION_NOT_GENERIC_NULL_MISSINGNESS"}	Public objects explicitly classified for movement_context.	All authoritative public objects.	Classify governed movement-context availability without generic missingness.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	No published context must not be labelled missing movement.	SUPPORTING_SIGNAL
SIG-MISSINGNESS-RIGHTS-DELIVERY	MISSINGNESS_UNCERTAINTY	Rights and delivery state	Candidate public-safe rights or image-delivery diagnostic.	Internal source diagnostics	NOT_GOVERNED	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No governed public projection is available.	trace-exploration-round1-aggregate-v1	true	true	false	HIGH	OBJECT_LEVEL	UNSELECTED	NOT_EVALUATED	HIGH	false	false	Internal delivery states can expose restricted workflow information.	DEFER
SIG-MISSINGNESS-SINGLE-SCORE	MISSINGNESS_UNCERTAINTY	Single uncertainty score	Attempt to compress orthogonal uncertainty states into one score.	Missingness and uncertainty aggregate analysis	UNSUPPORTED_INFERENCE	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	Explicitly prohibited; retain the state vector.	trace-exploration-round1-aggregate-v1	false	true	false	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	UNSELECTED	NOT_EVALUATED	PROHIBITED	false	false	A scalar erases not-applicable and qualified distinctions.	REJECT
SIG-MISSINGNESS-TEMPORAL	MISSINGNESS_UNCERTAINTY	Temporal uncertainty class	Observed precision, approximate, range, or supported unknown state.	Missingness and uncertainty aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":5,"denominator":7995,"unit":"supported_classification_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_CLASSIFICATION_NOT_GENERIC_NULL_MISSINGNESS"}	Public objects explicitly classified for temporal_precision.	All authoritative public objects.	Preserve governed temporal precision classes.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Approximate and range are not generic null missingness.	SUPPORTING_SIGNAL
SIG-MODEL-CLUSTER	FREQUENCY_INTERSECTION_CONCENTRATION	Cluster candidate	Candidate clustering over multiple Exploration signals.	Exploration signal registry	UNSELECTED_MODEL	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No clustering method, features, scale, or validation selected.	trace-exploration-round1-aggregate-v1	true	true	false	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	UNSELECTED	NOT_EVALUATED	HIGH	false	false	Clusters can falsely imply canonical groups or historical communities.	DEFER
SIG-MODEL-RELATION-PROBABILITY	FREQUENCY_INTERSECTION_CONCENTRATION	Relation probability	Attempt to assign calibrated relation probability without a model.	Exploration signal registry	UNSUPPORTED_INFERENCE	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No calibrated probabilistic model exists.	trace-exploration-round1-aggregate-v1	false	true	false	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	UNSELECTED	NOT_EVALUATED	PROHIBITED	false	false	Uncalibrated percentages would misstate evidence and relation.	REJECT
SIG-SOURCE-CONCENTRATION	SOURCE_CORPUS_COMPOSITION	Source concentration	Top shares, HHI, and entropy over public source counts.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"assignmentCount":7995,"assignmentDenominator":7995,"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","governanceState":"PUBLIC_METADATA_DERIVED","hhi":0.2881509041962984,"normalizedEntropy":0.5992306679246528,"shannonEntropyNats":1.622746730779968,"shareDenominator":7995,"top1AssignmentCount":3505,"top1Share":0.43839899937460913,"top5AssignmentCount":7326,"top5Share":0.9163227016885553,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique source assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 7995 unique object-value assignments.	Compute deterministic top-k, HHI, and entropy diagnostics.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_GLOBAL_AND_BOUNDED_SUBSET_ROWS	LOW	LOW	false	false	Concentration describes this corpus, not the historical field.	HIGH_POTENTIAL
SIG-SOURCE-DIVERSITY	SOURCE_CORPUS_COMPOSITION	Source diversity candidate	Candidate compound interpretation of distinct-source and entropy diagnostics.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"assignmentCount":7995,"assignmentDenominator":7995,"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","governanceState":"PUBLIC_METADATA_DERIVED","hhi":0.2881509041962984,"normalizedEntropy":0.5992306679246528,"shannonEntropyNats":1.622746730779968,"shareDenominator":7995,"top1AssignmentCount":3505,"top1Share":0.43839899937460913,"top5AssignmentCount":7326,"top5Share":0.9163227016885553,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique source assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 7995 unique object-value assignments.	Inventory component diagnostics; do not combine into a score.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_CORPUS_SUMMARY	LOW	LOW	false	false	A single diversity score can hide source-size imbalance.	NEEDS_MORE_DATA
SIG-SOURCE-DOMINANT	SOURCE_CORPUS_COMPOSITION	Dominant source incidence	Largest observed source count and assignment share.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"assignmentCount":7995,"assignmentDenominator":7995,"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","governanceState":"PUBLIC_METADATA_DERIVED","hhi":0.2881509041962984,"normalizedEntropy":0.5992306679246528,"shannonEntropyNats":1.622746730779968,"shareDenominator":7995,"top1AssignmentCount":3505,"top1Share":0.43839899937460913,"top5AssignmentCount":7326,"top5Share":0.9163227016885553,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"195639201fcb4ccfc087caab230d3d5d23b640aee8218ed6042f79de0dc5aeef","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique source assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 7995 unique object-value assignments.	Select the maximum source count with deterministic tie handling.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_CORPUS_SUMMARY	LOW	LOW	false	false	Dominance can be a data-source artifact.	SUPPORTING_SIGNAL
SIG-SOURCE-FREQUENCY	SOURCE_CORPUS_COMPOSITION	Source frequency	Public-object count per normalized source.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed source value.	All authoritative public objects.	Count unique public objects per source.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_ROW_PER_SOURCE	LOW	LOW	false	false	Frequency reflects corpus composition, not source authority.	HIGH_POTENTIAL
SIG-SOURCE-NAME	SOURCE_CORPUS_COMPOSITION	Source name	Public-safe source attribution used for corpus composition analysis.	Normalized public descriptive metadata	PUBLIC_METADATA_ANALYSIS_ONLY	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed source value.	All authoritative public objects.	Normalize and hash public source attribution for analysis-only identity.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Source is not governed Context and can encode acquisition bias.	SUPPORTING_SIGNAL
SIG-SOURCE-RARE	SOURCE_CORPUS_COMPOSITION	Rare source	Descriptive lower-tail source-frequency class.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed source value.	All authoritative public objects.	Apply frozen observed-count rarity bands.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Rare does not mean important, obscure, or historically absent.	RESEARCH_ONLY
SIG-SOURCE-SAME	SOURCE_CORPUS_COMPOSITION	Same-source overlap	Pairwise equality of normalized source attribution.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed source value.	All authoritative public objects.	Compare normalized source identifiers for equality.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	POTENTIALLY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Same source is not evidence that objects are historically related.	RESEARCH_ONLY
SIG-SOURCE-SHARE	SOURCE_CORPUS_COMPOSITION	Source share	Source frequency divided by the authoritative public denominator.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":15,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed source value.	All authoritative public objects.	Divide each source count by all public objects.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_ROW_PER_SOURCE	LOW	LOW	false	false	Share does not establish source independence or representativeness.	HIGH_POTENTIAL
SIG-TEMPORAL-CONCENTRATION	GOVERNED_TEMPORAL	Temporal concentration	Distributional concentration across governed period buckets.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"assignmentCount":8033,"assignmentDenominator":8033,"denominator":7995,"dimensionConcentrationReceiptSha256":"f78098b10e222181e10d3a9d86b2c72c33f6881ce6f6e0c974c2d105908ef1f1","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":23,"denominator":8033,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"f78098b10e222181e10d3a9d86b2c72c33f6881ce6f6e0c974c2d105908ef1f1","governanceState":"PUBLIC_GOVERNED_DERIVED","hhi":0.12388228508851257,"normalizedEntropy":0.7771096246292455,"shannonEntropyNats":2.436622733167872,"shareDenominator":8033,"top1AssignmentCount":1898,"top1Share":0.23627536412299266,"top5AssignmentCount":5478,"top5Share":0.681937009834433,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"f78098b10e222181e10d3a9d86b2c72c33f6881ce6f6e0c974c2d105908ef1f1","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique decade assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 8033 unique object-value assignments.	Compute deterministic concentration diagnostics from decade counts.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_CORPUS_SUMMARY	LOW	LOW	false	false	Archive concentration can reflect acquisition or source bias.	RESEARCH_ONLY
SIG-TEMPORAL-DECADE	GOVERNED_TEMPORAL	Decade	Governed period-bucket assignments.	Governed Spacetime public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":23,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed decade value.	All authoritative public objects.	Read governed Spacetime period identifiers.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Ranges may span more than one decade.	HIGH_POTENTIAL
SIG-TEMPORAL-DISTANCE	GOVERNED_TEMPORAL	Temporal distance	Candidate distance between governed temporal observations.	Governed Spacetime public projection	UNSELECTED_MODEL	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No distance or adjacency policy selected.	trace-exploration-round1-aggregate-v1	true	true	false	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	UNSELECTED	NOT_EVALUATED	HIGH	false	false	Distance can be mistaken for historical proximity.	DEFER
SIG-TEMPORAL-EXTENT	GOVERNED_TEMPORAL	Recorded temporal extent	Inclusive governed start and end years.	Governed Spacetime public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2,"denominator":7995,"unit":"inclusive_endpoint_fields"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_CLASSIFICATION_NOT_GENERIC_NULL_MISSINGNESS"}	Public objects with governed start and end years.	All authoritative public objects.	Read governed inclusive temporal endpoints.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	TWO_ENDPOINTS_PER_OBJECT	LOW	LOW	false	false	Recorded extent is not necessarily production duration.	SUPPORTING_SIGNAL
